pesticide,usb_folder,folder_found,total_pdf_named_files,real_pdf_count,html_placeholder_count,other_count,read_error_count,curation_status,priority,recommended_next_action,sample_files
Penthiopyrad,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad,Yes,12,12,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Comparative Biological Half-Life of Penthiopyrad and Tebufenpyrad in Angelica Leaves and Establishment of Pre-Harvest Residue Limits (PHRLs)..pdf | Dissipation, Residue and Dietary Intake Risk Assessment of Penthiopyrad in Eggplants and Its Removal Using Various Household Processing Techniques..pdf | Dissipation, residue, stereoselectivity and dietary risk assessment of penthiopyrad and metabolite PAM on cucumber and tomato in greenhouse and field..pdf | Effect of microorganisms on degradation of fluopyram and tebuconazole in laboratory and field studies..pdf"
Mandipropamid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid,Yes,11,11,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Effects of Household Processing on Residues of the Chiral Fungicide Mandipropamid in Four Common Vegetables..pdf | Indigenous functional microbial degradation of the chiral fungicide mandipropamid in repeatedly treated soils Preferential changes in the R-enantiomer..pdf | Insights on the isolation, identification, and degradation characteristics of three bacterial strains against mandipropamid and their application potential for polluted soil remediation..pdf | Mandipropamid as a chemical inducer of proximity for in vivo applications..pdf"
Propamocarb,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb,Yes,11,11,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Analysis of genes and metabolites associated with propamocarb hydrochloride response in tobacco.pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Degradation of propamocarb-hydrochloride in tomatoes, potatoes and cucumber using HPLC-DAD and QuEChERS methodology..pdf | Expression and functional analysis of the Propamocarb-related gene CsDIR16 in cucumbers..pdf"
Fluxapyroxad,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad,Yes,9,9,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"A Nationwide Study of Residual Fate of Fluxapyroxad and Its Metabolites in Peanut Crops Across China Assessment of Human Exposure Potential..pdf | Accumulation and growth toxicity mechanisms of fluxapyroxad revealed by physiological, hepatopancreas transcriptome, and gut microbiome analysis in Pacific white shrimp (Litopenaeus vannamei)..pdf | Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf | Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf"
Acibenzolar-S-methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acibenzolar-S-methyl,Yes,8,8,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf | Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf | Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies.pdf | Modification of the existing maximum residue level for acibenzolar-S-methyl in hazelnuts..pdf
Spirodiclofen,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Spirodiclofen,Yes,7,7,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Dissipation Kinetics and Risk Assessment of Spirodiclofen and Tebufenpyrad in iAster scaberi Thunb..pdf | Enhanced degradation of spiro-insecticides and their leacher enol derivatives in soil by solarization and biosolarization techniques..pdf | In vitro metabolism of tebuconazole, flurtamone, fenhexamid, metalaxyl-M and spirodiclofen in Cannabis sativa L. (hemp) callus cultures..pdf | Pesticide degradation capacity of a novel strain belonging toiSerratia sarumaniii(GBS19) with its genomic profile.pdf"
Pinoxaden,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pinoxaden,Yes,6,6,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Aryldiones incorporating a [1,4,5]oxadiazepane ring. Part 2 chemistry and biology of the cereal herbicide pinoxaden..pdf | Degradation Characteristics of Pinoxaden by Acinetobacter and Prediction of Related Genes.pdf | Growth Stage of Alopecurus myosuroides Huds. Determines the Efficacy of Pinoxaden.pdf | Mechanism for the inhibition of the carboxyltransferase domain of acetyl-coenzyme A carboxylase by pinoxaden..pdf"
Quintozene,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Quintozene,Yes,6,6,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,Abiotic degradation of pentachloronitrobenzene by Fe(III) reactions on goethite and iron oxide nanoparticles..pdf | Application of gamma irradiation in ginseng for both photodegradation of pesticide pentachloronitrobenzene and microbial decontamination..pdf | Bioaccumulation and degradation of pentachloronitrobenzene in Medicago sativa..pdf | Biodegradation of pentachloronitrobenzene by Arthrobacter nicotianae DH19..pdf
Teflubenzuron,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Teflubenzuron,Yes,6,6,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,A broad-spectrum analysis of the effects of teflubenzuron exposure on the biochemical activities and microbial community structure of soil..pdf | Chitin Synthesis and Degradation in Crustaceans A Genomic View and Application..pdf | Environmental Impact of Xenobiotic Aromatic Compounds and Their Biodegradation Potential in iComamonas testosteronii..pdf | Identification of molecular interactions of pesticides with keratinase for their potential to inhibit keratin biodegradation..pdf
Isopyrazam,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Isopyrazam,Yes,5,5,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,Fungicide isopyrazam degradative response toward extrinsically added fungal and bacterial strains..pdf | Review of the existing maximum residue levels for isopyrazam according to Article 12 of Regulation (EC) No 3962005..pdf | Simultaneous Determination of the Residues of Isopyrazam Isomers and Their Metabolites in Soil and Tomatoes by Ultraperformance Liquid Chromatography-Tandem Mass Spectrometry..pdf | Surface water mineralization of isopyrazam according to OECD 309 observations on implementation of the new data requirement within agrochemical regulation..pdf
Propargite,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propargite,Yes,4,4,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Biodegradation of propargite by Pseudomonas putida, isolated from tea rhizosphere..pdf | Calculation of pesticide degradation in decaying cotton gin trash..pdf | Effect of storage, washing, and cooking on the stability of five pesticides in edible fungi of Agaricus bisporus A degradation kinetic stud.pdf | Setting of maximum residue limits for propargite in citrus fruits and tea..pdf"
Ametoctradin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Ametoctradin,Yes,3,3,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf | Modification of the existing maximum residue level for ametoctradin in honey..pdf | Modification of the existing maximum residue levels for ametoctradin in herbs and edible flowers..pdf
Fenamiphos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fenamiphos,Yes,3,3,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,"Analytical method validation, dissipation and safety evaluation of combination fungicides fenamidoneâ€‰+â€‰mancozeb and iprovalicarbâ€‰+â€‰propineb inon tomato..pdf | Determination of famoxadone, fenamidone, fenhexamid and iprodione residues in greenhouse tomatoes..pdf | Dynamics and residues of mixed formulation of fenamidone and mancozeb in gherkin field ecosystem..pdf"
Acetamiprid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetamiprid,Yes,2,2,0,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,Acetamiprid_10.1371_journal.pone.0082603.pdf | Acetamiprid_10.3389_fmicb.2020.01429.pdf
Malathion,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Malathion,Yes,51,2,49,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Alleviation_of_Malathion_Toxicity_Effect_by__i_Coffea_arabica__i__L__Oil_and__i_.pdf
Chlorothalonil,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlorothalonil,Yes,39,1,38,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,A_novel_hydrolytic_dehalogenase_for_the_chlorinated_aromatic_compound_chlorothal.pdf | A_pulsed_dose_study_evaluating_chronic_toxicity_of_chlorothalonil_to_fish__A_cas.pdf | Antibody_free_colorimetric_detection_of_chlorothalonil_in_cucumber__i_via__i__th.pdf | Biodegradation_of_agave_Comiteco_bagasse_by__i_Pleurotus__i__spp___a_source_of_c.pdf
Chlorpyrifos-methyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlorpyrifos-Methyl,Yes,73,1,72,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf
Dichlorvos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dichlorvos,Yes,49,1,48,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,_lt_i_gt_Andrographis_paniculata_lt__i_gt__aqueous_extract_exhibits_cardioprotec.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf
Endosulfan,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Endosulfan,Yes,48,1,47,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_single_monooxygenase__ese__is_involved_in_the_metabolism_of_the_organochloride.pdf | Acute_oral_toxicity_and_histopathological_study_of_combination_of_endosulfan_and.pdf | Atmospheric_Hydroxyl_Radical_Reaction_Rate_Coefficient_and_Total_Environmental_L.pdf
Glyphosate,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glyphosate,Yes,243,1,242,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Bacillus_aryabhattai__i__FACU__A_promising_bacterial_strain_capable_of_manipu.pdf | _i_Stenotrophomonas_pavanii__i__MY01_induces_phosphate_precipitation_of_Cu_II__a.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf
Imidacloprid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imidacloprid,Yes,76,1,75,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Ability_of__i_Lactobacillus_brevis__i__47f_to_Alleviate_the_Toxic_Effects_of_Imi.pdf | Absorption_and_Distribution_of_Imidacloprid_and_Its_Metabolites_in_Goldfish___i_.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf
Paraquat,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Paraquat,Yes,197,1,196,0,0,not_started,medium,Ready for evidence/pathway screening from readable PDFs.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Ginkgo_biloba__i__L__Leaf_Extract_Protects_HepG2_Cells_Against_Paraquat_Induc.pdf | _lt_i_gt_Francisella_tularensis_lt__i_gt__universal_stress_protein_contributes_t.pdf | A_BaTiO_sub_3__sub__WS_sub_2__sub__composite_for_piezo_photocatalytic_persulfate.pdf
