pesticide,usb_folder,folder_found,total_pdf_named_files,real_pdf_count,html_placeholder_count,other_count,read_error_count,curation_status,priority,recommended_next_action,sample_files
Fenitrothion,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fenitrothion,Yes,46,0,46,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Solanum_Nigrum__i__Fruit_Extract_Increases_Toxicity_of_Fenitrothion_A_Synthet.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Review_on_the_Degradation_of_Pollutants_by_Fenton_Like_Systems_Based_on_Zero_V.pdf
Dimethoate,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dimethoate,Yes,43,0,43,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Molecularly_Imprinted_Quartz_Crystal_Microbalance_Sensor_Based_on_Erbium.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf
Azoxystrobin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Azoxystrobin,Yes,36,0,36,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,1_Tetradecanol__Diethyl_Phthalate_and_Tween_80_Assist_in_the_Formation_of_Thermo.pdf | A_Leaf_Disc_Assay_for_Evaluating_the_Response_of_Tea___i_Camellia_sinensis__i___.pdf | Acute_exposure_to_a_commercial_formulation_of_Azoxystrobin_alters_antioxidant_en.pdf | An_Overview_of_Strobilurin_Fungicide_Degradation_Current_Status_and_Future_Persp.pdf
Lindane,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Lindane,Yes,35,0,35,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Adsorption_of_lindane__γ_hexachlorocyclohexane__on_nickel_modified_graphitic_car.pdf | Advanced_photocatalytic_materials_based_degradation_of_micropollutants_and_their.pdf
Chlorantraniliprole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlorantraniliprole,Yes,33,0,33,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_mechanism_based_approach_unveils_metabolic_routes_potentially_mediating_chlora.pdf | A_reference_gene_set_for_sex_pheromone_biosynthesis_and_degradation_genes_from_t.pdf | Biochemical_basis_of_synergism_between_pathogenic_fungus_Metarhizium_anisopliae_.pdf | Chitosan_Delivered_Chlorantraniliprole_for_Pest_Control__Preparation_Optimizatio.pdf
Pendimethalin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pendimethalin,Yes,32,0,32,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Assessment_of_the_ameliorative_effect_of_curcumin_on_pendimethalin_induced_genet.pdf | Azolla_pinnata_mitigates_pendimethalin_induced_immunotoxicity__oxidative_stress_.pdf | Causation_Analysis_and_Improvement_Strategy_for_Reduced_Pendimethalin_Herbicidal.pdf
Clothianidin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Clothianidin,Yes,31,0,31,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf
Dicamba,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dicamba,Yes,31,0,31,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,2_4_D_and_dicamba_resistance_mechanisms_in_wild_radish__subtle__complex_and_popu.pdf | A_Tetrahydrofolate_Dependent_Methyltransferase_Catalyzing_the_Demethylation_of_D.pdf | A_Three_Component_Enzyme_System_Catalyzes_the_O_Demethylation_of_the_Herbicide_D.pdf | Bacterial_Dispersal_Promotes_Biodegradation_in_Heterogeneous_Systems_Exposed_to_.pdf
Methomyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Methomyl,Yes,31,0,31,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | An_outbreak_of_food_borne_illness_due_to_methomyl_pesticide_intoxication_in_Kore.pdf | Applying_molecular_oxygen_for_organic_pollutant_degradation__Strategies__mechani.pdf | Beneficial_effects_of_folic_acid_on_the_kidneys_and_testes_of_adult_albino_rats_.pdf
Diquat,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Diquat,Yes,29,0,29,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Periplaneta__i___i_americana__i__Extract_Pretreatment_Alleviates_Oxidative_St.pdf | Absorption_and_excretion_of_diquat_and_paraquat_in_rats_.pdf | Analysis_of_Human_microRNA_Expression_Profiling_During_Diquat_Induced_Renal_Prox.pdf | Biodegradation_Capabilities_of_Paraquat_Degrading_Bacteria_Immobilized_on_Nanoce.pdf
Pyraclostrobin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pyraclostrobin,Yes,26,0,26,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,An_Overview_of_Strobilurin_Fungicide_Degradation_Current_Status_and_Future_Persp.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Detoxification_Esterase_StrH_Initiates_Strobilurin_Fungicide_Degradation_in__i_H.pdf | Dissipation__Residue_and_Human_Dietary_Risk_Assessment_of_Pyraclostrobin_and_Cya.pdf
Difenoconazole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Difenoconazole,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Cheminformatics_Study_Regarding_the_Human_Health_Risks_Assessment_of_the_Stere.pdf | Antifungal_Activity_of_Difenoconazole_Loaded_Microcapsules_against__i_Curvularia.pdf | Bioaccessibility_of_Difenoconazole_in_Rice_Following_Industry_Standard_Processin.pdf | Biodegradation_of_phenol_contaminated_soil_and_plant_growth_promotion_by__i_Myro.pdf
Emamectin benzoate,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Emamectin benzoate,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Application_of_Solid_Dispersion_Technique_to_Improve_Solubility_and_Sustain_Rele.pdf | Assessment_of_the_effect_of_sub_lethal_acute_toxicity_of_Emamectin_benzoate_in__.pdf | Comparative_analyses_of_the_effects_of_sublethal_doses_of_emamectin_benzoate_and.pdf | CRISPR_Cas9_Based_Functional_Characterization_of_SfUGT50A15_Reveals_Its_Roles_in.pdf
Fenpropathrin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fenpropathrin,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Punica_granatum__i___Pomegranate__Peel_Extract_Pre_Treatment_Alleviates_Fenpr.pdf | Ameliorative_effects_of_date_palm_kernel_extract_against_fenpropathrin_induced_m.pdf | Antioxidant_Role_of__i_PcGSTd1__i__in_Fenpropathrin_Resistant_Population_of_the_.pdf
Fenvalerate,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fenvalerate,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Aerobic_degradation_of_fenvalerate_by_a_Gram_positive_bacterium___i_Bacillus_fle.pdf | An_endocrine_disrupting_chemical__fenvalerate__induces_cell_cycle_progression_an.pdf | Biodegradation_and_metabolic_pathway_of_fenvalerate_by_Citrobacter_freundii_CD_9.pdf
Mesotrione,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mesotrione,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Aquatic_Macrophytes_in_the_Remediation_of_Atrazine_in_Water__A_Study_on_Herbicid.pdf | Atrazine__triketone_herbicides__and_their_degradation_products_in_sediment__soil.pdf | Bacillus_megaterium_strains_derived_from_water_and_soil_exhibit_differential_res.pdf
Metalaxyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Metalaxyl,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Applying_the_Crystalline_Sponge_Method_to_Agrochemicals__Obtaining_X_ray_Structu.pdf | Characterizing_the_Mechanisms_of_Metalaxyl__Bronopol_and_Copper_Sulfate_against_.pdf | Conclusion_on_the_peer_review_of_the_pesticide_risk_assessment_of_the_active_sub.pdf
Prochloraz,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Prochloraz,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Dissipation_and_Dietary_Risk_Assessment_of_Prochloraz_in_Strawberries_under_Gree.pdf | Dissipation_and_Distribution_of_Prochloraz_in_Bananas_and_a_Risk_Assessment_of_I.pdf
Thiacloprid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiacloprid,Yes,25,0,25,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Myzus_persicae__i__Management_through_Combined_Use_of_Beneficial_Insects_and_.pdf | A_Mechanistic_Approach_Toward_Enhanced_Remediation_Potential_of_Thiacloprid_by_Z.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Application_of_Fe_MOFs_in_Photodegradation_and_Removal_of_Air_and_Water_Pollutan.pdf
Acetochlor,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Acetochlor,Yes,24,0,24,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Biodegradation_of_di_n_Butyl_Phthalate_by_Achromobacter_sp__Isolated_from_Rural_.pdf | Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf | Characterization_of_a_Sequential_UV_Photolysis_Biodegradation_Process_for_Treatm.pdf
Bifenthrin,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Bifenthrin,Yes,24,0,24,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf | Bifenthrin_at_Sublethal_Concentrations_Suppresses_Mating_and_Laying_of_Female__i.pdf | Bifenthrin_induced_neurotoxicity_in_rats__involvement_of_oxidative_stress_.pdf | Bifenthrin_Residues_in_Table_Grapevine__Method_Optimization__Dissipation_and_Rem.pdf
Dinotefuran,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Dinotefuran,Yes,24,0,24,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Adverse_outcome_pathway_based_assessment_of_pulmonary_toxicity_from_the__i_in_vi.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf
Profenofos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Profenofos,Yes,24,0,24,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Abiotic_Degradation_of_the_Toxin_Simplexin_by_Soil_Collected_from_a__lt_i_gt_Pim.pdf | Aerobic_dichlorvos_degradation_by__i_Pseudomonas_stutzeri__i__smk__complete_path.pdf
Tebuconazole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Tebuconazole,Yes,24,0,24,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Attenuation_of_toxicity_and_occurrence_of_degradation_products_of_the_fungicide_.pdf | Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf | Dissipation_Kinetics_and_Risk_Assessment_of_Diniconazole__Dinotefuran__Metconazo.pdf
Thiabendazole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiabendazole,Yes,24,0,24,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Characterization_of_Acetamiprid_Biodegradation_by_the_Microbial_Consortium_ACE_3.pdf | Comparative_Degradation_of_a_Thiazole_Pollutant_by_an_Advanced_Oxidation_Process.pdf | Cyclins_A_and_B_associate_with_chromatin_and_the_polar_regions_of_spindles__resp.pdf | Efficient_Degradation_of_2_Mercaptobenzothiazole_and_Other_Emerging_Pollutants_b.pdf
Oxamyl,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Oxamyl,Yes,21,0,21,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Accelerated_degradation_of_fenamiphos_and_its_metabolites_in_soil_previously_tre.pdf | Carbamate_C_N_Hydrolase_Gene__i_ameH__i__Responsible_for_the_Detoxification_Step.pdf | Coating_Soybean_Seed_with_Oxamyl_for_Control_of_Heterodera_glycines_.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf
Heptachlor,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Heptachlor,Yes,20,0,20,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Anaerobic_biodegradation_of_chlorophenols_in_fresh_and_acclimated_sludge_.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf
Fludioxonil,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fludioxonil,Yes,19,0,19,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Fungicide__Fludioxonil__Formed_the_Polyploid_Giant_Cancer_Cells_and_Induced_Me.pdf | Aggressiveness_and_Patulin_Production_in__i_Penicillium_expansum__i__Multidrug_R.pdf | Combining_Culture_Dependent_and_Independent_Approaches_for_the_Optimization_of_E.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf
Indoxacarb,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Indoxacarb,Yes,19,0,19,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_systemic_study_of_indoxacarb_resistance_in_Spodoptera_litura_revealed_complex_.pdf | Behavioral_and_Transcriptomic_Analyses_in_the_Indoxacarb_Response_of_a_Non_Targe.pdf | Characterization_of_Indoxacarb_Resistance_in_the_Fall_Armyworm__Selection__Inher.pdf | Characterization_of_Spodoptera_littoralis__Lepidoptera__Noctuidae__resistance_to.pdf
Methamidophos,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Methamidophos,Yes,19,0,19,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Aflatoxin_B₁_degradation_by_a_Pseudomonas_strain_.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Biodegradation_of_Uric_Acid_by__i_Bacillus_paramycoides__i__YC02_.pdf
Flonicamid,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Flonicamid,Yes,18,0,18,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Biodegradation_of_flonicamid_by_Ensifer_adhaerens_CGMCC_6315_and_enzymatic_chara.pdf | Efficient_Biodegradation_of_the_Neonicotinoid_Insecticide_Flonicamid_by_Pseudami.pdf | Intergenerational_Sublethal_Effects_of_Flonicamid_on_Cotton_Aphid___i_Aphis_goss.pdf | Metabolic_Profiling_and_Comparative_Proteomic_Insight_in_Respect_of_Amidases_dur.pdf
Iprodione,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Iprodione,Yes,18,0,18,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,An_Amidase_Gene___i_ipaH__i___Is_Responsible_for_the_Initial_Step_in_the_Iprodio.pdf | Biodegradation_of_Iprodione_and_Chlorpyrifos_Using_an_Immobilized_Bacterial_Cons.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Carbamate_C_N_Hydrolase_Gene__i_ameH__i__Responsible_for_the_Detoxification_Step.pdf
Propiconazole,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propiconazole,Yes,18,0,18,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,A_Non_redundant_Function_of_MNS5__A_Class_I_α_1__2_Mannosidase__in_the_Regulatio.pdf | Biodegradation_mechanism_of_1H_1_2_4_triazole_by_a_newly_isolated_strain_Shinell.pdf | Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Degradation_Dynamics_and_Residue_Analysis_of_Four_Propiconazole_Stereoisomers_in.pdf
Sulfoxaflor,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Sulfoxaflor,Yes,18,0,18,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Differences_in_the_Sublethal_Effects_of_Sulfoxaflor_and_Acetamiprid_on_the__i_Ap.pdf | Efficient_Biodegradation_of_the_Neonicotinoid_Insecticide_Flonicamid_by_Pseudami.pdf | Impact_of_Sulfoxaflor_on_Brown_Marmorated_Stink_Bug__Developmental_and_Reproduct.pdf
Captan,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Captan,Yes,16,0,16,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Dislodgeable_Foliar_Residue_Measurements_and_Assessment_of_Dermal_Exposure_to_Ca.pdf | Effect_of_plasma_activated_water_and_buffer_solution_combined_with_ultrasound_on.pdf | Effects_of_1_3_butadiene__isoprene__and_their_photochemical_degradation_products.pdf
Chlordane,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Chlordane,Yes,16,0,16,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Alterations_in_macrophage_phagocytosis_and_inflammatory_tone_following_exposure_.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biodegradation_of_crystal_violet_by_the_white_rot_fungus_Phanerochaete_chrysospo.pdf
Pyrimethanil,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pyrimethanil,Yes,16,0,16,0,0,not_started,blocked,Files are HTML download placeholders; re-download real PDFs from DOI/journal/PMC.,Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Biomarkers_of_Exposure_to_Pyrimethanil_After_Controlled_Human_Experiments_.pdf | Changes_to_Soil_Microbiome_Resulting_from_Synergetic_Effects_of_Fungistatic_Comp.pdf | Conditions_Optimizing_and_Application_of_Laccase_mediator_System__LMS__for_the_L.pdf
