Microorganism,Culture_type,Pesticide,Evidence,Isolation_environment,Isolation_Location,Publication_Year,Enzyme,Enzyme_name_reported,Gene,Reference,Metabolite_or_product
Burkholderia cepacia strain 2a,Individual strain,"2,4-D",Experimental evidence,Not mentioned,Not mentioned,1998,,,Tn5530 (tfdA homolog),10.1006/plas.1997.1332,
Mixed microbe,Mixed culture - members not specified,"2,4-D",Enzymatic evidence,Agricultural soil,Not mentioned,2010,Dioxygenases,α-ketoglutarate-dependent dioxygenases,"rdpA, sdpA",10.1128/AEM.02270-09,
Thauera sp. DKT,Individual strain,"2,4-D",Experimental evidence,Sediment,Vietnam,2018,,,Not specified,10.1007/s10532-018-9848-7,
Achromobacter xylosoxidans pEST4011,Individual strain,"2,4-D",Experimental evidence,Not mentioned,Estonia,2000,,,"tfdA, tfdB, tfdC, tfdD, tfdE, tfdF",10.1016/S0378-1119(00)00329-2,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Enzymatic evidence,Not mentioned,Not mentioned,1987,Monooxygenases,"2,4-D monooxygenase",tfdA,10.1128/jb.169.7.2950-2955.1987,
Cupriavidus pinatubonensis JMP134,Individual strain,"2,4-D",Experimental evidence,Rhizosphere soil,Not mentioned,2012,,,"tfdB, tfdC, tfdD, tfdE, and tfdF",10.1007/s10482-011-9685-8,
Sphingomonas agrestis 58-1,Individual strain,"2,4-D",Experimental evidence,Soil,Japan,2009,,,"tfdA, cadA, and tfdAα",10.1016/j.jbiosc.2009.02.018,
Alcaligenes eutrophus JMP134,Individual strain,"2,4-D",Experimental evidence,Not mentioned,Not mentioned,1993,Monooxygenases,"2,4-Dichlorophenoxyacetate Monooxygenase",tfdA,10.1128/jb.175.7.2083-2086.1993,
Pseudomonas putida SM1443,Individual strain,"2,4-D",Experimental evidence,Activated sludge,Not mentioned,2010,,,"tfdA, tfdB, tfdC",10.1016/j.jhazmat.2010.04.002,
Cupriavidus sp. CY-1,Individual strain,"2,4-D",Experimental evidence,Soil,Japan,2015,,,tfdA,10.1371/journal.pone.0145057,
Achromobacter sp. QXH.,Individual strain,"2,4-D",Experimental evidence,Not mentioned,Not mentioned,2014,,,,10.1007/s00449-014-1350-y,
Pseudomonas putida PPO301,Individual strain,"2,4-D",Enzymatic evidence,Not mentioned,Not mentioned,1991,Monooxygenases,"2,4-dichlorophenoxyacetate (TFD) monooxygenase,",tfd,10.1128/aem.57.6.1790-1792.1991,
Pseudomonas fluorescens strain SM1,Individual strain,"2,4-D",Experimental evidence,Not mentioned,Not mentioned,2008,,,Not specified,10.1016/j.chemosphere.2007.11.023,
Pseudomonas sp.,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Iran,2016,,,Not specified,10.1007/s10661-016-5673-9,
Entrobacter sp.,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Iran,2016,,,Not specified,10.1007/s10661-016-5673-9,
Bacillus sp.,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Iran,2016,,,Not specified,10.1007/s10661-016-5673-9,
Seratia sp.,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Iran,2016,,,Not specified,10.1007/s10661-016-5673-9,
Staphylococcus sp.,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Iran,2016,,,Not specified,10.1007/s10661-016-5673-9,
Chryseobacterium sp.,Individual strain,"2,4-D",Experimental evidence,Activated sludge,Mexico,2013,,,Not specified,10.1016/j.biortech.2013.02.068,
Cupriavidus necator JMP134,Individual strain,"2,4-D",Experimental evidence,Laboratory culture,France (lab strains maintained in Paris),2017,,,Not specified,10.3389/fmicb.2017.00904,
Novosphingobium DY4,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,China,2015,,,"tfdA, tfdAa",10.1007/s10532-015-9724-7,
Bacillus licheniformis NCU CS-5,Individual strain,"2,4-D",Enzymatic evidence,Seed,China,2021,Hydrolases,lipase,,10.1016/j.ijbiomac.2021.01.214,
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Dioxygenases,"2,4-dichlorophenoxyacetate dioxygenase",tfdA,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Monooxygenases,"2,4-dichlorophenol 6-monooxygenase",tfdB,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Dioxygenases,"chlorocatechol-1,2-dioxygenase",tfdC,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Isomerases,Chloromuconate cycloisomerase,tfdD,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Hydrolases,Dienelactone hydrolase,tfdE,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Oxidoreductases,Maleylacetate reductase,tfdF,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Transferases,3-oxoadipate CoA transferase alphaSubunit,pcaI,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Transferases,3-oxoadipate CoA transferase betasubunit,pcaJ,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Engineered Escherichia coli strain BL-3164,Individual strain,"2,4-D",Experimental evidence,lab-constructed recombinant strain,Not Mentioned,2023,Hydrolases,beta-ketoadipyl-CoA thiolase,pcaF,10.1016/j.jhazmat.2023.131099,"2,4-dichlorophenol; 3,5-dichlorocatechol; 2,4-dichloro-cis,cis-muconate; Dienelactone; Maleylacetate; 3-oxoadipate; 3-oxoadipyl-CoA; Acetyl-CoA; Succinyl-CoA"
Cupriavidus pampae sp. nov. (strain CPDB6ᵀ),Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Argentina,2010,,,,10.1099/ijs.0.018341-0,
Rigidoporus sp. FMD21,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Argentina,2022,Oxidoreductases,Laccase,,10.1007/s10532-022-09982-1,
Fusarium sp.,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Argentina,2022,,,,10.1007/s10532-022-09982-1,
Verticillium sp.,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Argentina,2022,,,,10.1007/s10532-022-09982-1,
Cupriavidus sp. DSPF,Individual strain,"2,4-D",Experimental evidence,Agricultural soil,India,2025,Monooxygenases,"2,4-DCP monooxygenase",24DCPM,10.1128/spectrum.00560-25,
Arthrobacter sp.,Individual strain,"2,4-D",Enzymatic evidence,Soil,USA,1973,Isomerases,Dichloromuconate lactonizing enzyme,,10.1128/am.26.3.445-447.1973,
Cupriavidus gilardii T-1,Individual strain,"2,4-D",Experimental evidence,Agricultural soil,China,2017,,,,10.1021/acs.jafc.7b00544,
Cupriavidus oxalaticus X32,Individual strain,"2,4-D",Experimental evidence,Sewage sludge,China,2020,,,"tfdA–F, tfdT-S",10.1021/acs.jafc.9b05061,
Comamonas acidovorans strain MC1,Individual strain,"2,4-D",Experimental evidence,Contaminated soil,Germany,1999,Monooxygenases,Chlorophenol hydroxylase,"tfdB, tfdC",10.1016/S0944-5013(99)80021-4,
Comamonas koreensis CY01,Individual strain,"2,4-D",Experimental evidence,Sediment,China,2010,,,Not specified,10.1111/j.1574-6941.2009.00796.x,
Delftia acidovorans P4a,Individual strain,"2,4-D",Experimental evidence,Cotaminated soil,Germany,2003,,,TfdA–F,10.1099/mic.0.26260-0,
Alcaligenes eutrophus JMP134-derived (host),Individual strain,"2,4-D",Experimental evidence,Agricultural soil,USA,1996,,,TfdA,10.1128/aem.62.7.2470-2476.1996,
Pseudomonas putida SM1443 (donor),Individual strain,"2,4-D",Experimental evidence,Agricultural soil,UK,2005,,,TfdA–F,10.1016/j.femsec.2005.04.007,
Arthrobacter sp.,Individual strain,Propoxur,Experimental evidence,Soil,USA,1992,,,,10.1080/03601239209372800,
Burkholderia sp.,Individual strain,Ametoctradin,Experimental evidence,Soil,USA,2020,,,,10.3389/fmicb.2020.01898,M650F01; M650F02; M650F03; M650F04
Acinetobacter baumannii ZH-14,Individual strain,Permethrin,Experimental evidence,Contaminated soil,China,2013,,,,10.3389/fmicb.2018.00098,"3-Phenoxybenzenemethanol; 3-Phenoxybenzaldehyde; 1,2-Benzenedicarboxylic acid"
Pseudomonas aeruginosa strain PAO1,Individual strain,Permethrin,Experimental evidence,Contaminated soil,China,2025,Hydrolases,Esterase,estA,10.1016/j.envint.2024.109221,
Pseudomonas putida SPR 13,Individual strain,Propargite,Experimental evidence,Rhizosphere,India,2010,,,,10.1016/j.jhazmat.2009.09.050,
Pseudomonas putida SPR 8,Individual strain,Propargite,Experimental evidence,Rhizosphere,India,2021,,,,10.1016/j.jhazmat.2009.09.050,
Pseudomonas fluorescens,Individual strain,Isopyrazam,Experimental evidence,Commercial strain,Commercial strain,2020,,,,10.1002/jobm.201900687,"3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-hydroxy-9-isopropyl-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-isopropylidene-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1H-pyrazole-4-carboxylic acid; 3-difluoromethyl-1-methyl-1H-pyrazole-4-amide"
Bacillus subtilis,Individual strain,Isopyrazam,Experimental evidence,Commercial strain,Commercial strain,2020,,,,10.1002/jobm.201900687,"3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-hydroxy-9-isopropyl-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-isopropylidene-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1H-pyrazole-4-carboxylic acid; 3-difluoromethyl-1-methyl-1H-pyrazole-4-amide"
Trichoderma harzianum,Individual strain,Isopyrazam,Experimental evidence,Commercial strain,Commercial strain,2020,,,,10.1002/jobm.201900687,"3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-hydroxy-9-isopropyl-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-isopropylidene-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1H-pyrazole-4-carboxylic acid; 3-difluoromethyl-1-methyl-1H-pyrazole-4-amide"
Penicillium sp.,Individual strain,Isopyrazam,Experimental evidence,Commercial strain,Commercial strain,2020,,,,10.1002/jobm.201900687,"3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-hydroxy-9-isopropyl-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-isopropylidene-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide; 3-difluoromethyl-1H-pyrazole-4-carboxylic acid; 3-difluoromethyl-1-methyl-1H-pyrazole-4-amide"
Pseudomonas otitidis strain TD-8,Individual strain,Dithiocarbamate,Experimental evidence,Contaminated soil,Not Mentioned,2023,,,,10.1007/s11356-022-22731-4,
Pseudomonas stutzeri strain TD-18,Individual strain,Dithiocarbamate,Experimental evidence,Contaminated soil,Not Mentioned,2023,,,,10.1007/s11356-022-22731-4,
Acinetobacter pittobacter strain T4P20-1,Individual strain,Pinoxaden,Experimental evidence,Contaminated soil,Not Mentioned,2022,,,"psd, tgt, pyrF, hemF, phnX, folE",10.21203/rs.3.rs-1375498/v1,
Pseudomonas putida QTH3,Individual strain,Quintozene,Experimental evidence,Contaminated soil,China,2019,,,,10.1016/j.ecoenv.2019.109463,"2,3,4,5,6-pentachloroaniline; Pentachlorothioanisole; 2,3,5,6-tetrachloroaniline; 2,3,4,5-tetrachloroaniline; Catechol"
Cupriavidus sp. YNS-85,Individual strain,Quintozene,Experimental evidence,Contaminated soil,China,2011,Oxidoreductases,Nitro-reductase (possible),,10.1007/s11356-017-8640-2,
Arthrobacter nicotianae DH19,Individual strain,Quintozene,Experimental evidence,Agricultural soil,China,2016,,,,10.1111/lam.12476,"2,3,4,5,6-pentachloroaniline; 3,5-dichloroaniline; Aniline; Catechol; Adipic acid"
Bacillus brevis 625,Individual strain,Teflubenzuron,Experimental evidence,Contaminated soil,Russia,2001,,,,10.1081/PFC-100106185,"2,6-difluorobenzamide; 2,6-difluorobenzoic acid; 2,4-difluoro-3,5-dichloroaniline; 1,3-bis(2,4-difluoro-3,5-dichlorophenyl)urea"
Acinetobacter calcoaceticus 21,Individual strain,Teflubenzuron,Experimental evidence,Contaminated soil,Russia,2001,,,,10.1081/PFC-100106185,"2,6-difluorobenzamide; 2,6-difluorobenzoic acid; 2,4-difluoro-3,5-dichloroaniline; 1,3-bis(2,4-difluoro-3,5-dichlorophenyl)urea"
Alcaligenes sp. 1431,Individual strain,Teflubenzuron,Experimental evidence,Contaminated soil,Russia,2001,,,,10.1081/PFC-100106185,"2,6-difluorobenzamide; 2,6-difluorobenzoic acid; 2,4-difluoro-3,5-dichloroaniline; 1,3-bis(2,4-difluoro-3,5-dichlorophenyl)urea"
Pseudomonas sp. 10W,Individual strain,Teflubenzuron,Experimental evidence,Contaminated soil,Russia,2001,,,,10.1081/PFC-100106185,"2,6-difluorobenzamide; 2,6-difluorobenzoic acid; 2,4-difluoro-3,5-dichloroaniline; 1,3-bis(2,4-difluoro-3,5-dichlorophenyl)urea"
Trichoderma longbrachiatum,Individual strain,Dicofol,Enzymatic evidence,Not specified,Not specified,2014,Hydrolases,Cellulase,,10.1016/j.jes.2014.12.023,Dicofol enzymatic transformation products
Trichoderma longbrachiatum,Individual strain,Dicofol,Enzymatic evidence,Not specified,Not specified,2015,Hydrolases,Cellulase,,10.1016/j.jes.2015.03.015,
Serratia sarumanii strain GBS19,Individual strain,Spirodiclofen,Experimental evidence,Agricultural soil,Turkey,2025,,,,10.1007/s10532-025-10144-2,
Stenotrophomonas acidaminiphila G1,Individual strain,Dichlorvos,Experimental evidence,Activated sludge,China,2025,Hydrolases,Methyl parathion hydrolase,mpd,10.3390/ijms26199572,
Not specified,Individual strain,Dichlorvos,Experimental evidence,Contaminated soil,Nigeria,2019,Phosphatases,Phosphoesterases,opd-A and mpd,10.1016/j.chemosphere.2019.01.058,Dimethyl phosphate; Dichloroacetaldehyde
Not specified,Individual strain,Dichlorvos,Experimental evidence,Contaminated soil,Nigeria,2019,Dioxygenases,"Catechol 1,2-dioxygenase",afk1 and afk2,10.1016/j.chemosphere.2019.01.058,Dimethyl phosphate; Dichloroacetaldehyde
Trichoderma atroviride T23,Individual strain,Dichlorvos,Experimental evidence,Biocontrol fungal strain,China( strain source repository),2022,P450,Cytochrome P450 TaCyp548-2,TaCyp548-2,10.1016/j.chemosphere.2021.133173,
Trichoderma asperellum TJ01,Individual strain,Dichlorvos,Experimental evidence,Agricultural soil,China,2018,Oxidoreductases,Oxidoreductases,zfc1,10.1186/s12864-018-4960-y,
Trichoderma asperellum TJ01,Individual strain,Dichlorvos,Experimental evidence,Agricultural soil,China,2018,P450,Cytochrome P450s,,10.1186/s12864-018-4960-y,
Trichoderma asperellum TJ01,Individual strain,Dichlorvos,Experimental evidence,Agricultural soil,China,2018,Peroxidases,Peroxidases,,10.1186/s12864-018-4960-y,
Saccharomyces cerevisiae,Individual strain,Fluxapyroxad,Experimental evidence,Commercial biological yeast,Not specified,2020,,,,10.1038/s41598-020-78177-6,
Pseudomonas sp.,Individual strain,Fludioxonil,Experimental evidence,Estuarine sediment/ agricultural soil,Portugal,2020,,,,10.1016/j.jhazmat.2020.122545,
Ochrobactrum sp.,Individual strain,Fludioxonil,Experimental evidence,Estuarine sediment/ agricultural soil,Portugal,2020,,,,10.1016/j.jhazmat.2020.122545,
Comamonas sp.,Individual strain,Fludioxonil,Experimental evidence,Estuarine sediment/ agricultural soil,Portugal,2020,,,,10.1016/j.jhazmat.2020.122545,
Clostridium sp.,Individual strain,Fludioxonil,Experimental evidence,Activated sludge,Greece,2022,,,,10.1007/s11356-021-16452-3,
Oligotropha sp.,Individual strain,Fludioxonil,Experimental evidence,Activated sludge,Greece,2022,,,,10.1007/s11356-021-16452-3,
Pseudomonas sp.,Individual strain,Fludioxonil,Experimental evidence,Activated sludge,Greece,2022,,,,10.1007/s11356-021-16452-3,
Terrimonas sp.,Individual strain,Fludioxonil,Experimental evidence,Activated sludge,Greece,2022,,,,10.1007/s11356-021-16452-3,
Lactobacillus plantarum,Individual strain,Pirimiphos-Methyl,Experimental evidence,Food-origin lactic acid bacteria collection,China,2018,,,,10.1111/lam.12128,
Aspergillus flavus,Individual strain,Pirimiphos-Methyl,Experimental evidence,Wheat-straw treated with pesticides,Egypt,1999,,,,10.1007/BF02816226,
Aspergillus sydowii,Individual strain,Pirimiphos-Methyl,Experimental evidence,Wheat-straw treated with pesticides,Egypt,1999,,,,10.1007/BF02816226,
Aspergillus niger,Individual strain,Pirimiphos-Methyl,Experimental evidence,Wheat-straw treated with pesticides,Egypt,1999,,,,10.1007/BF02816226,
Aspergillus terreus,Individual strain,Pirimiphos-Methyl,Experimental evidence,Wheat-straw treated with pesticides,Egypt,1999,,,,10.1007/BF02816226,
Fusarium oxysporum,Individual strain,Pirimiphos-Methyl,Experimental evidence,Wheat-straw treated with pesticides,Egypt,1999,,,,10.1007/BF02816226,
Emericella nidulans,Individual strain,Pirimiphos-Methyl,Experimental evidence,Wheat-straw treated with pesticides,Egypt,1999,,,,10.1007/BF02816226,
Isolate CadI,Individual strain,Cadusafos,Experimental evidence,Contaminated soil,Greece,2005,,,,10.1016/j.femsec.2005.01.012,
Isolate CadII,Individual strain,Cadusafos,Experimental evidence,Contaminated soil,Greece,2005,,,,10.1016/j.femsec.2005.01.012,
Paenibacillus polymyxa,Individual strain,Fluazinam,Experimental evidence,Ginseng plant endophyte,China,2019,,,,10.1016/j.ecoenv.2018.10.093,
Phanerochaete chrysosporium (ATCC 24725),Individual strain,Isoxaflutole,Experimental evidence,Not specified,Not specified,2000,Oxidoreductases,Laccase,"EC 1.10.3.2, LiP, MnP",10.1021/jf000397q,
