paper_id,pdf_filename,title,year,doi,screening_decision,reason,evidence_category,organism_or_system,products_or_metabolites_reported,gene_or_enzyme_reported,database_use,integration_status
ACE-P11,Degradation and mineralization kinetics of acephate in humid tropic soils of Malaysia..pdf,Degradation and mineralization kinetics of acephate in humid tropic soils of Malaysia,2010,10.1016/j.chemosphere.2010.01.046,Include,Soil microbial/mineralization evidence; no isolate or pathway products except low methamidophos detection.,Environmental microbial degradation evidence,Humid tropical soils; bacteria and fungi counts measured,Methamidophos below 0.34 mg/kg; mineralization measured with 14C,No specific gene/enzyme,Evidence only; no reaction step unless marked community-level,Ready for manual review
ACE-P12,Degradation of Acephate and Its Intermediate Methamidophos Mechanisms and Biochemical Pathways.pdf,Degradation of acephate and its intermediate methamidophos: mechanisms and biochemical pathways,2020,10.3389/fmicb.2020.02045,Secondary only,"Review summarizing microorganisms, products, enzymes and genes; useful for missing-paper leads.",Review/background,Multiple,Multiple,"phosphotriesterase, paraoxonase 1, carboxylesterase; opd, mpd, ophc2 in review context",Missing-paper leads only,Not integrated
ACE-P13,"Degradation of acephate by Enterobacter asburiae, Bacillus cereus and Pantoea agglomerans isolated from diamondback moth Plutella xylostella (L), a pest of cruciferous crops..pdf","Degradation of acephate by Enterobacter asburiae, Bacillus cereus and Pantoea agglomerans isolated from diamondback moth Plutella xylostella",2016,,Include,Primary insect-gut isolate paper with LC-MS products.,Direct microbial degradation evidence,Enterobacter asburiae PXE; Bacillus cereus PX-B.C.Or; Pantoea agglomerans PX-Pt.ag.jor,"E. asburiae: methamidophos and O,O-dimethyl phosphoramidate; B. cereus: O,S-dimethyl phosphoramidothioate; Pantoea: unnamed compounds",No specific degradation gene/enzyme; enzyme systems inferred,Evidence + partial pathway steps,Ready for manual review
ACE-P14,"Dissipation kinetics, residue determination and consumer risk assessment of acephate on green pea by gas chromatography-electron capture detector..pdf",Dissipation kinetics and residue determination of acephate on green pea,2024,10.1002/bmc.5705,Exclude,Residue dissipation/risk assessment; not microbial pathway evidence.,Residue/dissipation,Green pea,Methamidophos residue,,Do not use for microbial pathway,Not integrated
ACE-P15,Effect of plasma-activated water and buffer solution combined with ultrasound on fungicide degradation and quality of cherry tomato during storage..pdf,Effect of plasma-activated water and buffer solution combined with ultrasound on fungicide degradation,,,Exclude,Wrong pesticide/process; physicochemical food treatment.,Abiotic/wrong pesticide,,,,Do not use,Not integrated
ACE-P16,"Efficient biodegradation of acephate by iPseudomonas pseudoalcaligenesi PS-5 in the presence and absence of heavy metal ions [Cu(II) and Fe(III)], and humic acid..pdf",Efficient biodegradation of acephate by Pseudomonas pseudoalcaligenes PS-5 in the presence and absence of heavy metal ions and humic acid,2017,10.1007/s13205-017-0900-9,Include,Primary microbial degradation paper with ESI-MS/FTIR pathway and no methamidophos formation.,Direct microbial pathway evidence,Pseudomonas pseudoalcaligenes PS-5,"No methamidophos detected; fragments/intermediates reported at m/z 147, 130, 113, 97, 80, 82, etc.",No specific gene; pathway enzymes not identified,Evidence + proposed pathway steps,Ready for manual review
ACE-P17,Enhanced photocatalytic degradation of acephate pesticide over MCM-41Cosub3subOsub4sub nanocomposite synthesized from rice husk silica gel and Peach leaves..pdf,Enhanced photocatalytic degradation of acephate pesticide,2020,10.1016/j.jhazmat.2020.122129,Exclude,Photocatalytic/abiotic degradation; outside microbial database scope.,Abiotic degradation,,Abiotic intermediates,,Do not use for microbial pathway,Not integrated
ACE-P18,Environmental behavior of the chiral organophosphorus insecticide acephate and its chiral metabolite methamidophos enantioselective transformation and degradation in soils..pdf,Environmental behavior of chiral acephate and methamidophos in soils,2013,10.1021/es401842f,Uncertain,Environmental soil degradation/chirality; not curated in first pass because organism/pathway detail is not primary microbial isolate evidence.,Environmental degradation,Soils,Methamidophos,,Possible later environmental evidence,Needs review
ACE-P19,Gas-phase mechanisms of degradation of hazardous organophosphorus compounds do they follow a common pattern of alkaline hydrolysis reaction as in phosphotriesterase.pdf,Gas-phase mechanisms of degradation of hazardous organophosphorus compounds,,,Exclude,Computational/chemical mechanism; not microbial primary evidence.,Abiotic/computational,,,phosphotriesterase comparison only,Background only,Not integrated
ACE-P20,Gut microbial degradation of organophosphate insecticides-induces glucose intolerance via gluconeogenesis..pdf,Gut microbial degradation of organophosphate insecticides induces glucose intolerance,2016,10.1186/s13059-016-1134-6,Exclude,Organophosphate gut microbiome paper; not acephate-specific pathway curation.,General OP microbiome,Gut microbiota,,,Background only,Not integrated
ACE-P21,"Hydrolysis and Photolysis Kinetics, and Identification of Degradation Products of the Novel Bactericide 2-(4-Fluorobenzyl)-5-(Methylsulfonyl)-1,3,4-Oxadiazole in Water..pdf",Hydrolysis and photolysis kinetics of a novel bactericide,,,Exclude,Wrong compound.,Wrong pesticide,,,,Do not use,Not integrated
ACE-P22,Insight Into Microbial Applications for the Biodegradation of Pyrethroid Insecticides..pdf,Insight into microbial applications for biodegradation of pyrethroid insecticides,2019,10.3389/fmicb.2019.01778,Exclude,"Review for pyrethroids, not acephate.",Review/wrong pesticide class,,,,Background only,Not integrated
ACE-P23,Kinetic Study of the Biodegradation of Acephate by Indigenous Soil Bacterial Isolates in the Presence of Humic Acid and Metal Ions..pdf,Kinetic study of the biodegradation of acephate by indigenous soil bacterial isolates in the presence of humic acid and metal ions,2020,10.3390/biom10030433,Include,"Primary microbial degradation paper with identified isolates, metabolites, kinetics.",Direct microbial pathway evidence,Pseudomonas azotoformans ACP1; Pseudomonas aeruginosa ACP2; Pseudomonas putida ACP3,Methamidophos; S-methyl O-hydrogen phosphorothioamidate; phosphenothioic S-acid; phosphenamide,No specific degradation gene/enzyme; 16S rRNA used for identification,Evidence + pathway steps,Ready for manual review
ACE-P24,Mechanisms of oxidative response during biodegradation of malathion by S. oneidensis MR-1..pdf,Mechanisms of oxidative response during biodegradation of malathion by S. oneidensis MR-1,2024,10.1007/s11356-024-32283-4,Exclude,Wrong pesticide; malathion.,Wrong pesticide,Shewanella oneidensis MR-1,,,Do not use,Not integrated
ACE-P25,Microbial Degradation of Pesticide Residues and an Emphasis on the Degradation of Cypermethrin and 3-phenoxy Benzoic Acid A Review..pdf,Microbial degradation of pesticide residues with emphasis on cypermethrin and 3-phenoxybenzoic acid,2018,10.3390/molecules23092313,Exclude,Review; not acephate-specific.,Review/wrong pesticide,,,,Background only,Not integrated
ACE-P26,MoS2 and MoS2 Nanocomposites for Adsorption and Photodegradation of Water Pollutants A Review.pdf,MoS2 and MoS2 nanocomposites for adsorption and photodegradation of water pollutants,,,Exclude,Abiotic review; not microbial acephate evidence.,Abiotic review,,,,Do not use,Not integrated
ACE-P27,Novel pathway of acephate degradation by the microbial consortium ZQ01 and its potential for environmental bioremediation..pdf,Novel pathway of acephate degradation by the microbial consortium ZQ01 and its potential for environmental bioremediation,2022,10.1016/j.jhazmat.2021.127841,Include,"Primary microbial consortium paper with optimized degradation, GC-MS metabolites, soil remediation data.",Direct microbial pathway evidence,"Microbial consortium ZQ01; genera Sinomonas, Pandoraea, Burkholderia-Caballeronia-Paraburkholderia implicated",Methamidophos; acetamide; acetic acid; methanethiol; dimethyl disulfide,Hydrolytic enzyme inferred; molecular/genetic work still needed,Evidence + pathway steps,Ready for manual review
ACE-P28,One-pot hydrothermal synthesis of a carbon quantum dotCaFesub2subOsub4sub hybrid nanocomposite for carcinogenic Congo red dye degradation..pdf,Carbon quantum dot/CaFe2O4 nanocomposite for Congo red dye degradation,,,Exclude,Wrong substrate; dye degradation.,Wrong substrate,,,,Do not use,Not integrated
ACE-P29,Photocatalytic decomposition of acephate in irradiated TiO2 suspensions..pdf,Photocatalytic decomposition of acephate in irradiated TiO2 suspensions,2008,10.1016/j.jhazmat.2008.07.077,Exclude,Abiotic photocatalysis; useful only for non-biological comparison.,Abiotic degradation,,Abiotic products,,Do not use for microbial pathway,Not integrated
ACE-P30,"Photocatalytic degradation of Acephate, Omethoate, and Methyl parathion by Fe3O4@SiO2@mTiO2 nanomicrospheres..pdf","Photocatalytic degradation of acephate, omethoate, and methyl parathion",2016,10.1016/j.jhazmat.2016.04.064,Exclude,Abiotic photocatalysis.,Abiotic degradation,,Abiotic intermediates,,Do not use for microbial pathway,Not integrated
ACE-P31,"Photocatalytic degradation of acephate in pak choi, Brassica chinensis, with Ce-doped TiO2..pdf",Photocatalytic degradation of acephate in pak choi with Ce-doped TiO2,2015,10.1080/03601234.2015.1000177,Exclude,Abiotic photocatalysis on plant material.,Abiotic degradation,Pak choi,Methamidophos and other products,,Do not use for microbial pathway,Not integrated
ACE-P32,Photocatalytic degradation of dimethoate in Bok choy using cerium-doped nano titanium dioxide..pdf,Photocatalytic degradation of dimethoate in Bok choy,,,Exclude,Wrong pesticide.,Wrong pesticide,,,,Do not use,Not integrated
ACE-P33,Photocatalytic degradation of organophosphate and phosphonoglycine pesticides using TiO2 immobilized on silica gel..pdf,Photocatalytic degradation of organophosphate and phosphonoglycine pesticides using TiO2,2009,10.1016/j.chemosphere.2009.04.055,Exclude,Abiotic photocatalysis includes acephate but not microbial evidence.,Abiotic degradation,,Abiotic products,,Do not use for microbial pathway,Not integrated
ACE-P34,Potential of the insecticides acephate and methamidophos to contaminate groundwater..pdf,Potential of acephate and methamidophos to contaminate groundwater,2000,,Exclude,Environmental fate/leaching focus; no microbial pathway curation in first pass.,Environmental fate,Soil/water,Methamidophos,,Possible context only,Not integrated
ACE-P35,Rapid Degradation of Rhodamine B through Visible-Photocatalytic Advanced Oxidation Using Self-Degradable Natural Perylene Quinone Derivatives-Hypocrellins..pdf,Rapid degradation of Rhodamine B,,,Exclude,Wrong substrate; dye.,Wrong substrate,,,,Do not use,Not integrated
ACE-P36,Residue analysis of acephate and its metabolite methamidophos in open field and greenhouse pakchoi (Brassica campestris L.) by gas chromatography-tandem mass spectrometry..pdf,Residue analysis of acephate and methamidophos in pakchoi,2009,10.1007/s10661-009-0979-5,Exclude,Residue/dissipation study; not microbial pathway evidence.,Residue/dissipation,Pakchoi,Methamidophos residue,,Do not use for microbial pathway,Not integrated
ACE-P37,Role of Insect Gut Microbiota in Pesticide Degradation A Review..pdf,Role of insect gut microbiota in pesticide degradation,2022,10.3389/fmicb.2022.870462,Exclude,"Review; useful for context, not primary curation.",Review/background,Insect gut microbiota,,,Background only,Not integrated
ACE-P38,Screening for Lactobacillus plantarum Strains That Possess Organophosphorus Pesticide-Degrading Activity and Metabolomic Analysis of Phorate Degradation.pdf,Screening Lactobacillus plantarum strains for organophosphorus degradation and phorate metabolomics,2018,10.3389/fmicb.2018.02048,Exclude,Wrong target pathway; phorate.,Wrong pesticide,Lactobacillus plantarum,,,Do not use,Not integrated
ACE-P39,Screening organophosphorus nerve agent degradation products in pesticide mixtures by GC-ICPMS..pdf,Screening organophosphorus nerve agent degradation products in pesticide mixtures,,,Exclude,"Analytical/nerve-agent degradation product screening, not microbial acephate pathway.",Analytical chemistry,,,,Do not use,Not integrated
ACE-P40,Sonochemical degradation of pesticides in aqueous solution investigation on the influence of operating parameters and degradation pathway - a systematic review..pdf,Sonochemical degradation of pesticides in aqueous solution: systematic review,,,Exclude,Abiotic review.,Abiotic review,,,,Do not use,Not integrated
ACE-P41,The fate of acephate and carbaryl in water..pdf,The fate of acephate and carbaryl in water,1979,10.1080/03601237909372157,Exclude,Abiotic hydrolysis/water fate; not microbial evidence.,Abiotic environmental fate,Water,Methamidophos low conversion,,Context only,Not integrated
ACE-P42,The mechanisms and process of acephate degradation by hydroxyl radical and hydrated electron..pdf,The mechanisms and process of acephate degradation by hydroxyl radical and hydrated electron,2018,10.1016/j.sjbs.2017.10.022,Exclude,Abiotic radical degradation.,Abiotic degradation,,Radical degradation products,,Do not use for microbial pathway,Not integrated
