pathway_id,pesticide,pathway_title,pathway_status,pathway_organism,step_order,substrate_name,substrate_identifier_type,substrate_identifier,product_name,product_identifier_type,product_identifier,transformation_type,gene,enzyme,pesticidedb_protein_id,ncbi_protein_accession,uniprot_accession,step_evidence_type,evidence_description,assay_type,metabolite_detection_method,source_doi,source_pmid,source_reference,evidence_scope,step_confidence,curator,review_status,notes,source_row,isolation_environment,isolation_location,publication_year,source_record_number
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Pseudomonas pickettii 712,,,,,,,,,tfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/aem.60.4.1116-1120.1994,,10.1128/aem.60.4.1116-1120.1994,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 35; reaction fields intentionally blank.,35,Agricultural soils,China,1994,11
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Cupriavidus campinensis BJ71,,,,,,,,,tfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s11274-014-1680-6,,10.1007/s11274-014-1680-6,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 36; reaction fields intentionally blank.,36,Agricultural soils,China,2014,12
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Ochrobactrum anthropi,,,,,,,,,tfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s11274-014-1680-6,,10.1007/s11274-014-1680-6,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 37; reaction fields intentionally blank.,37,Agricultural soils,China,2014,13
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Bacillus spp.,,,,,,,,,tfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s11274-014-1680-6,,10.1007/s11274-014-1680-6,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 38; reaction fields intentionally blank.,38,Agricultural soils,China,2014,14
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Stenotrophomonas sp.,,,,,,,,,tfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s11274-014-1680-6,,10.1007/s11274-014-1680-6,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 39; reaction fields intentionally blank.,39,Agricultural soils,China,2014,15
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Pseudomonas sp.,,,,,,,,,tfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s11274-014-1680-6,,10.1007/s11274-014-1680-6,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 40; reaction fields intentionally blank.,40,Agricultural soils,China,2014,16
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Arthrobacter sp.,,,,,,,,,"tfdC, tfdD, tfdE, tfdF",,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1021/jf60165a037,,10.1021/jf60165a037,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 41; reaction fields intentionally blank.,41,Soil ,USA,1969,17
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Arthrobacter sp.,,,,,,,,,tfD,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,, 10.1128/am.26.3.445-447.1973,, 10.1128/am.26.3.445-447.1973,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 42; reaction fields intentionally blank.,42,Soil ,USA,1973,18
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Pseudomonas cepacia,,,,,,,,,,"2,4-dichlorophenol hydroxylase",,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/0003-9861(91)90180-q,,10.1016/0003-9861(91)90180-q,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 43; reaction fields intentionally blank.,43,Soil,Not mentioned,1991,19
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Burkholderia cepacia strain 2a,,,,,,,,,Tn5530 (tfdA homolog),,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1006/plas.1997.1332,,10.1006/plas.1997.1332,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 44; reaction fields intentionally blank.,44,Not mentioned,Not mentioned,1998,20
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Mixed microbe,,,,,,,,,"rdpA, sdpA",α-ketoglutarate-dependent dioxygenases,,,,PURIFIED_OR_ENZYME_ASSAY_REVIEW,Enzymatic evidence,,,10.1128/AEM.02270-09,,10.1128/AEM.02270-09,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 45; reaction fields intentionally blank.,45,Agricultural soil,Not mentioned,2010,21
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Thauera sp. DKT,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10532-018-9848-7,,10.1007/s10532-018-9848-7,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 46; reaction fields intentionally blank.,46,Sediment,Vietnam,2018,22
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Achromobacter xylosoxidans pEST4011,,,,,,,,,"tfdA, tfdB, tfdC, tfdD, tfdE, tfdF",,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/S0378-1119(00)00329-2,,10.1016/S0378-1119(00)00329-2,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 47; reaction fields intentionally blank.,47,Not mentioned ,Estonia ,2000,23
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,tfdA," 2,4-D monooxygenase",,,,PURIFIED_OR_ENZYME_ASSAY_REVIEW,Enzymatic evidence,,,10.1128/jb.169.7.2950-2955.1987,,10.1128/jb.169.7.2950-2955.1987,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 48; reaction fields intentionally blank.,48,Not mentioned ,Not mentioned ,1987,24
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Cupriavidus pinatubonensis JMP134,,,,,,,,," tfdB, tfdC, tfdD, tfdE, and tfdF",,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10482-011-9685-8,,10.1007/s10482-011-9685-8,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 49; reaction fields intentionally blank.,49,Rhizosphere soil,Not mentioned ,2012,25
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Sphingomonas agrestis 58-1,,,,,,,,,"tfdA,
cadA, and tfdAα",,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jbiosc.2009.02.018,,10.1016/j.jbiosc.2009.02.018,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 50; reaction fields intentionally blank.,50,Soil,Japan,2009,26
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Alcaligenes eutrophus JMP134,,,,,,,,,tfdA,"2,4-Dichlorophenoxyacetate Monooxygenase",,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1128/jb.175.7.2083-2086.1993,,10.1128/jb.175.7.2083-2086.1993,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 51; reaction fields intentionally blank.,51,Not mentioned ,Not mentioned ,1993,27
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Pseudomonas putida SM1443,,,,,,,,,"tfdA, tfdB, tfdC",,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2010.04.002,,10.1016/j.jhazmat.2010.04.002,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 52; reaction fields intentionally blank.,52,Activated sludge,Not mentioned ,2010,28
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Cupriavidus sp. CY-1,,,,,,,,,tfdA,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1371/journal.pone.0145057,,10.1371/journal.pone.0145057,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 53; reaction fields intentionally blank.,53,Soil,Japan,2015,29
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Achromobacter sp. QXH.,,,,,,,,,,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s00449-014-1350-y,,10.1007/s00449-014-1350-y,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 54; reaction fields intentionally blank.,54,Not mentioned ,Not mentioned ,2014,30
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,"Pseudomonas putida
PPO301",,,,,,,,,tfd,"2,4-dichlorophenoxyacetate (TFD) monooxygenase,",,,,PURIFIED_OR_ENZYME_ASSAY_REVIEW,Enzymatic evidence,,,10.1128/aem.57.6.1790-1792.1991,,10.1128/aem.57.6.1790-1792.1991,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 55; reaction fields intentionally blank.,55,Not mentioned ,Not mentioned ,1991,31
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Pseudomonas fluorescens strain SM1,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.chemosphere.2007.11.023,,10.1016/j.chemosphere.2007.11.023,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 56; reaction fields intentionally blank.,56,Not mentioned ,Not mentioned ,2008,32
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Pseudomonas sp.,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10661-016-5673-9,,10.1007/s10661-016-5673-9,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 57; reaction fields intentionally blank.,57,Contaminated soil,Iran,2016,33
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",, Entrobacter sp.,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10661-016-5673-9,,10.1007/s10661-016-5673-9,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 58; reaction fields intentionally blank.,58,Contaminated soil,Iran,2016,34
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Bacillus sp.,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10661-016-5673-9,,10.1007/s10661-016-5673-9,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 59; reaction fields intentionally blank.,59,Contaminated soil,Iran,2016,35
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Seratia sp.,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10661-016-5673-9,,10.1007/s10661-016-5673-9,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 60; reaction fields intentionally blank.,60,Contaminated soil,Iran,2016,36
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Staphylococcus sp.,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10661-016-5673-9,,10.1007/s10661-016-5673-9,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 61; reaction fields intentionally blank.,61,Contaminated soil,Iran,2016,37
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Chryseobacterium sp.,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.biortech.2013.02.068,,10.1016/j.biortech.2013.02.068,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 62; reaction fields intentionally blank.,62,Activated sludge,Mexico,2013,38
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Cupriavidus necator JMP134,,,,,,,,,Not specified,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.3389/fmicb.2017.00904,,10.3389/fmicb.2017.00904,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 63; reaction fields intentionally blank.,63,Laboratory culture,France (lab strains maintained in Paris),2017,39
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Novosphingobium DY4,,,,,,,,,"tfdA, tfdAa",,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1007/s10532-015-9724-7,,10.1007/s10532-015-9724-7,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 64; reaction fields intentionally blank.,64,Contaminated soil,China,2015,40
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Bacillus licheniformis NCU CS-5,,,,,,,,,,lipase,,,,PURIFIED_OR_ENZYME_ASSAY_REVIEW,Enzymatic evidence,,,10.1016/j.ijbiomac.2021.01.214,,10.1016/j.ijbiomac.2021.01.214,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 65; reaction fields intentionally blank.,65,Seed,China,2021,41
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,tfdA,"2,4-dichlorophenoxyacetate dioxygenase",,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 66; reaction fields intentionally blank.,66,lab-constructed recombinant strain,Not Mentioned,2023,42
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,tfdB,"2,4-dichlorophenol 6-monooxygenase",,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 67; reaction fields intentionally blank.,67,lab-constructed recombinant strain,Not Mentioned,2023,43
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,tfdC,"chlorocatechol-1,2-dioxygenase",,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 68; reaction fields intentionally blank.,68,lab-constructed recombinant strain,Not Mentioned,2023,44
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,tfdD,Chloromuconate cycloisomerase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 69; reaction fields intentionally blank.,69,lab-constructed recombinant strain,Not Mentioned,2023,45
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,tfdE,Dienelactone hydrolase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 70; reaction fields intentionally blank.,70,lab-constructed recombinant strain,Not Mentioned,2023,46
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,tfdF,Maleylacetate reductase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 71; reaction fields intentionally blank.,71,lab-constructed recombinant strain,Not Mentioned,2023,47
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,pcaI,3-oxoadipate CoA transferase alphaSubunit,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 72; reaction fields intentionally blank.,72,lab-constructed recombinant strain,Not Mentioned,2023,48
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,pcaJ,3-oxoadipate CoA transferase betasubunit,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 73; reaction fields intentionally blank.,73,lab-constructed recombinant strain,Not Mentioned,2023,49
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Engineered Escherichia coli strain BL-3164,,,,,,,,,pcaF,beta-ketoadipyl-CoA thiolase,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1016/j.jhazmat.2023.131099,,10.1016/j.jhazmat.2023.131099,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 74; reaction fields intentionally blank.,74,lab-constructed recombinant strain,Not Mentioned,2023,50
PILOT_2_4_D_001,"2,4-D","2,4-D degradation pathway - literature curation pilot",,Cupriavidus pampae sp. nov. (strain CPDB6ᵀ),,,,,,,,,,,,,,EXPERIMENTAL_RECORD_REVIEW,Experimental evidence,,,10.1099/ijs.0.018341-0,,10.1099/ijs.0.018341-0,SOURCE_RECORD_ONLY_NOT_YET_ASSIGNED_TO_REACTION_STEP,,,NEEDS_FULL_TEXT_REVIEW,Seeded from curated source row 75; reaction fields intentionally blank.,75,Contaminated soil,Argentina,2010,51
