id,name,role,cas_number,pubchem_cid,smiles,inchikey,pubchem_url,structure_image_url,structure_status,description
67,2-aminobenzimidazole (2-AB),METABOLITE,,13624,C1=CC=C2C(=C1)NC(=N2)N,JWYUFVNJZUSCSM-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/13624,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/13624/PNG,structure_available,
202,2-chloro-N-(2-methyl-6-ethylphenyl) acetamide (CMEPA),METABOLITE,,137796804,CCC1=C(C(=C(C=C1)Cl)C)NC(=O)C,ZVADKYPLWUQOBT-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/137796804,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/137796804/PNG,structure_available,
166,2-methyl-3-biphenylyl methanol,METABOLITE,,596875,CC1=C(C=CC=C1C2=CC=CC=C2)CO,BGTLHJPGBIVQLJ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/596875,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/596875/PNG,structure_available,
88,2-oxo-4-[(hydroxy)(methyl)phosphinoyl]butyric acid,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
31,2-phenylhydrazinecarboxylic acid,METABOLITE,,22462813,C1=CC=C(C=C1)NNC(=O)O,POJYSQCMDUIYSB-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/22462813,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/22462813/PNG,structure_available,
190,"2-tert-butylimino-3-isopropyl-1,3,5-thiadiazinan-4-one (2-BI)",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
47,"3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide",METABOLITE,,115209,CC(C=C)(C(=O)NC1=CC(=CC(=C1)Cl)Cl)O,FBYYIBNYONAZCU-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/115209,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/115209/PNG,structure_available,
209,"3,4-dichloroaniline (3,4-DCA)",METABOLITE,,7257,C1=CC(=C(C=C1N)Cl)Cl,SDYWXFYBZPNOFX-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/7257,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/7257/PNG,structure_available,
132,"3,5,6-trichloro-2-pyridinol",METABOLITE,,23017,C1=C(C(=O)NC(=C1Cl)Cl)Cl,WCYYAQFQZQEUEN-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/23017,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/23017/PNG,structure_available,
46,"3,5-dichloroaniline",METABOLITE,,12281,C1=C(C=C(C=C1Cl)Cl)N,UQRLKWGPEVNVHT-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/12281,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/12281/PNG,structure_available,
105,"3,5-dichlorocatechol",METABOLITE,,26173,C1=C(C=C(C(=C1O)O)Cl)Cl,XSXYVLIPQMXCBV-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/26173,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/26173/PNG,structure_available,
143,"3,6-dichlorosalicylate",METABOLITE,,54686729,C1=CC(=C(C(=C1Cl)C(=O)O)[O-])Cl,FKIKPQHMWFZFEB-UHFFFAOYSA-M,https://pubchem.ncbi.nlm.nih.gov/compound/54686729,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/54686729/PNG,structure_available,
216,"3,6-dichlorosalicylic acid",METABOLITE,,18844,C1=CC(=C(C(=C1Cl)C(=O)O)O)Cl,FKIKPQHMWFZFEB-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/18844,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/18844/PNG,structure_available,
162,3-Phenoxybenzaldehyde,METABOLITE,,38284,C1=CC=C(C=C1)OC2=CC=CC(=C2)C=O,MRLGCTNJRREZHZ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/38284,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/38284/PNG,structure_available,
161,3-Phenoxybenzenemethanol,METABOLITE,,26295,C1=CC=C(C=C1)OC2=CC=CC(=C2)CO,KGANAERDZBAECK-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/26295,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/26295/PNG,structure_available,
160,"3-Phenoxybenzenemethanol + 2,2-dimethyl-3-(2,2-dichlorovinyl) cyclopropanecarboxylic acid",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
264,3-chloroaniline and downstream chlorocatechol products,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
171,3-chlorophenylacetic acid,METABOLITE,,15879,C1=CC(=CC(=C1)Cl)CC(=O)O,WFPMUFXQDKMVCO-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/15879,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/15879/PNG,structure_available,
170,3-chlorophenylacetic acid + alpha-cyano-3-phenoxybenzyl alcohol,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
101,3-difluoromethyl-1-methyl-1H-pyrazole-4-amide,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
98,"3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-hydroxy-9-isopropyl-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
99,"3-difluoromethyl-1-methyl-1H-pyrazole-4-carboxylic acid (9-isopropylidene-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl)-amide",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
100,3-difluoromethyl-1H-pyrazole-4-carboxylic acid,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
109,3-oxoadipate,METABOLITE,,5459800,C(CC(=O)[O-])C(=O)CC(=O)[O-],RTGHRDFWYQHVFW-UHFFFAOYSA-L,https://pubchem.ncbi.nlm.nih.gov/compound/5459800,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5459800/PNG,structure_available,
110,3-oxoadipyl-CoA,METABOLITE,,9543153,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O,VKKKAAPGXHWXOO-BIEWRJSYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/9543153,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/9543153/PNG,structure_available,
174,3-phenoxybenzaldehyde,METABOLITE,,38284,C1=CC=C(C=C1)OC2=CC=CC(=C2)C=O,MRLGCTNJRREZHZ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/38284,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/38284/PNG,structure_available,
169,"3-phenoxybenzaldehyde + butyl 1,2-phthalate",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
26,"4-amino-6-methyl-4,5-dihydro-2H-[1,2,4]triazin-3-one (AMDT) + nicotinaldehyde",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
23,"4-amino-6-methyl-4,5-dihydro-2H-[1,2,4]triazin-3-one (AMDT) + nicotinic acid",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
113,4-chloro-2-methylphenol,METABOLITE,,14855,CC1=C(C=CC(=C1)Cl)O,RHPUJHQBPORFGV-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/14855,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/14855/PNG,structure_available,
137,"4-hydroxy-2,5,6-trichloroisophthalonitrile",METABOLITE,,34217,C(#N)C1=C(C(=C(C(=C1Cl)C#N)Cl)Cl)O,MDQKYGOECVSPIW-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/34217,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/34217/PNG,structure_available,
172,4-hydroxyphenylacetic acid,METABOLITE,,127,C1=CC(=CC=C1CC(=O)O)O,XQXPVVBIMDBYFF-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/127,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/127/PNG,structure_available,
167,"4-trifluoromethoxyphenol + 2-chloro-6-fluorobenzyl alcohol + 3,5-dimethoxyphenol",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
127,5-hydroxy imidacloprid,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
25,6-hydroxynicotinic acid,METABOLITE,,72924,C1=CC(=O)NC=C1C(=O)O,BLHCMGRVFXRYRN-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/72924,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/72924/PNG,structure_available,
123,AMPA + Glyoxylate,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
2,Abamectin,PESTICIDE,,9920327,CC[C@H](C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C.C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C(C)C)C)O,IBSREHMXUMOFBB-JFUDTMANSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/9920327,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/9920327/PNG,structure_available,Parent pesticide represented in PesticideDB pathway evidence records.
35,Abamectin B1a,METABOLITE,,6434889,CC[C@H](C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,RRZXIRBKKLTSOM-XPNPUAGNSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6434889,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6434889/PNG,structure_available,
53,Acephate,PESTICIDE,,1982,CC(=O)NP(=O)(OC)SC,YASYVMFAVPKPKE-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/1982,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/1982/PNG,structure_available,
63,Acephate/methanethiol route,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
62,Acetamide + acetic acid,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
116,Acetamiprid,PESTICIDE,,213021,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,WCXDHFDTOYPNIE-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/213021,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/213021/PNG,structure_available,
199,Acetic acid,METABOLITE,,176,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/176,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/176/PNG,structure_available,
201,Acetochlor,PESTICIDE,,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,VTNQPKFIQCLBDU-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/1988,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/1988/PNG,structure_available,
111,Acetyl-CoA + Succinyl-CoA,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
3,Acibenzolar-S-methyl,PESTICIDE,,86412,CSC(=O)C1=C2C(=CC=C1)N=NS2,UELITFHSCLAHKR-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/86412,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/86412/PNG,structure_available,Parent pesticide represented in PesticideDB pathway evidence records.
94,Adipic acid,METABOLITE,,196,C(CCC(=O)O)CC(=O)O,WNLRTRBMVRJNCN-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/196,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/196/PNG,structure_available,
213,Aldrin and Dieldrin,PESTICIDE,,,,,,,no_single_structure_assigned,Combined pathway search label for aldrin/dieldrin evidence. Individual pathway nodes use specific compound records such as Dieldrin; no single SMILES string is assigned to this combined label.
154,Aldrin trans-diol,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
155,Aldrin trans-diol exo- and endo-phosphates,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
4,Ametoctradin,PESTICIDE,,15604010,CCCCCCCCC1=C(N2C(=NC=N2)N=C1CC)N,GGKQIOFASHYUJZ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/15604010,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/15604010/PNG,structure_available,Parent pesticide represented in PesticideDB pathway evidence records.
92,Aniline,METABOLITE,,6115,C1=CC=C(C=C1)N,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6115,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6115/PNG,structure_available,
204,Aniline + catechol,METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
282,Azinphos-Methyl,PESTICIDE,,2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,CJJOSEISRRTUQB-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/2268,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/2268/PNG,structure_available,
85,Azoxystrobin,PESTICIDE,,3034285,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,WFDXOXNFNRHQEC-GHRIWEEISA-N,https://pubchem.ncbi.nlm.nih.gov/compound/3034285,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/3034285/PNG,structure_available,
86,Azoxystrobin acid,METABOLITE,,66685656,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)O,IKCXDZCEWZARFL-FOWTUZBSSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/66685656,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/66685656/PNG,structure_available,
180,Bentazone,PESTICIDE,,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/2328,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/2328/PNG,structure_available,
52,"Benzoic acid + 2-hydroxy-2,4-pentadienoic acid",METABOLITE,,,,,,,no_single_structure_assigned,"No single SMILES/structure is assigned because this entry represents a mixture, grouped pathway products, or an unresolved transformation-product label rather than one discrete compound."
164,Bifenthrin,PESTICIDE,,6442842,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)[C@@H]3[C@@H](C3(C)C)/C=C(/C(F)(F)F)\Cl,OMFRMAHOUUJSGP-IRHGGOMRSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/6442842,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6442842/PNG,structure_available,
262,Boscalid,PESTICIDE,,213013,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl,WYEMLYFITZORAB-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/213013,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/213013/PNG,structure_available,
