batch,pesticide,pathway_name,microorganism,completeness,step_order,substrate,product,reaction_label,enzyme,gene,evidence_type,doi,reference_title,source_pdf,evidence_note
1,Abamectin,Abamectin B1a degradation by Stenotrophomonas maltophilia ZJB-14120,Stenotrophomonas maltophilia ZJB-14120,PARTIAL,3,Metabolite B (m/z 709.0),Metabolite C (m/z 485.0),Double-bond breakage and lactone-ring opening,Unassigned activity,,METABOLITE,10.1016/j.resmic.2015.04.002,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,"The paper proposes conversion of metabolite B to metabolite C by breaking C8-C9, cleaving C18-C19, and opening the lactone ring."
1,Abamectin,Abamectin B1a degradation by Stenotrophomonas maltophilia ZJB-14120,Stenotrophomonas maltophilia ZJB-14120,PARTIAL,4,Metabolite C (m/z 485.0),Metabolite D (m/z 292.7),C-O bond cleavage and demethylation,Unassigned activity,,METABOLITE,10.1016/j.resmic.2015.04.002,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,The paper proposes conversion of metabolite C to metabolite D by C10-C13 C-O bond breakage and demethylation.
2,Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,1,Teflubenzuron,"2,6-difluorobenzamide",Hydrolytic cleavage of phenylurea bridge,Unassigned microbial hydrolysis activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,"TLC, HPLC, MS and 19F NMR identified 2,6-difluorobenzamide as a microbial transformation product."
2,Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,2,"2,6-difluorobenzamide","2,6-difluorobenzoic acid",Amide hydrolysis,Unassigned microbial hydrolysis activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,"2,6-difluorobenzoic acid was identified and confirmed with a reference compound and 19F NMR."
2,Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,3,Teflubenzuron,"2,4-difluoro-3,5-dichloroaniline",Phenylurea-bridge cleavage,Unassigned microbial transformation activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,"2,4-difluoro-3,5-dichloroaniline was identified by mass spectrometry as a minor product."
2,Teflubenzuron,Teflubenzuron transformation by microbial strains,Bacillus brevis 625; Alcaligenes sp. 1431; Pseudomonas sp. 10W; Acinetobacter calcoaceticus 21,PARTIAL,4,Teflubenzuron,"1,3-bis(2,4-difluoro-3,5-dichlorophenyl)urea",Condensation/transformation product formation,Unassigned microbial transformation activity,,METABOLITE,10.1081/PFC-100106185,Transformation of the insecticide teflubenzuron by microorganisms,Transformation of the insecticide teflubenzuron by microorganisms..pdf,The condensed product was identified by high-resolution MS.
2,Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,1,Vinclozolin,"2-[[(3,5-dichlorophenyl)carbamoyl]oxy]-2-methyl-3-butenoic acid",Oxazolidinedione-ring opening,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,The paper reports this open-form butenoic acid derivative as a vinclozolin transformation product.
2,Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,2,"2-[[(3,5-dichlorophenyl)carbamoyl]oxy]-2-methyl-3-butenoic acid","3,5-dichloroaniline",Anilide/aniline product formation,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,"Mixed bacterial cultures converted vinclozolin through compound 2 toward 3,5-dichloroaniline."
2,Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,3,Vinclozolin,"3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide",Alternative ring-opening transformation,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,The paper reports a second pathway through the enanilide transformation product.
2,Vinclozolin,Vinclozolin chemical and biological transformation,Mixed bacterial cultures MA and MB; Corynebacterium sp.,PARTIAL,4,"3',5'-dichloro-2-hydroxy-2-methylbut-3-enanilide","3,5-dichloroaniline",Aniline product formation,Unassigned transformation activity,,METABOLITE,,Chemical and biological transformation of the fungicide vinclozolin,Chemical and biological transformation of the fungicide vinclozolin..pdf,"The paper reports conversion of the enanilide product toward 3,5-dichloroaniline."
2,Vinclozolin,Vinclozolin biodegradation by Rhodococcus sp. T1-1,Rhodococcus sp. T1-1,PARTIAL,1,Vinclozolin,"3,5-dichloroaniline",Biodegradation to dichloroaniline metabolite,Unassigned activity,,METABOLITE,PMID: 18309282,"Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline","Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline..pdf","3,5-dichloroaniline accumulated during vinclozolin degradation by Rhodococcus sp. T1-1."
2,Vinclozolin,Vinclozolin biodegradation by Rhodococcus sp. T1-1,Rhodococcus sp. T1-1,PARTIAL,2,"3,5-dichloroaniline",Phenol,Dichloroaniline degradation,Unassigned activity,,METABOLITE,PMID: 18309282,"Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline","Microbial biodegradation and toxicity of vinclozolin and its toxic metabolite 3,5-dichloroaniline..pdf","GC/MS detected phenol from degraded 3,5-dichloroaniline."
3,2-Phenylphenol,2-Phenylphenol degradation - Pseudomonas azelaica HBP1,Pseudomonas azelaica HBP1,PARTIAL,1,2-Hydroxybiphenyl,"2,3-Dihydroxybiphenyl",HbpA / 2-hydroxybiphenyl 3-monooxygenase,HbpA / 2-hydroxybiphenyl 3-monooxygenase,hbpA,GENETIC,10.1128/JB.183-1.270-279.2001; 10.1128/AEM.54.11.2683-2688.1988,2-Phenylphenol pathway evidence - Pseudomonas azelaica HBP1,Curated package row OPP-S01,Initial NADH-dependent ortho hydroxylation step.
3,2-Phenylphenol,2-Phenylphenol degradation - Pseudomonas azelaica HBP1,Pseudomonas azelaica HBP1,PARTIAL,2,"2,3-Dihydroxybiphenyl","2-Hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid",HbpC / extradiol meta-cleavage dioxygenase,HbpC / extradiol meta-cleavage dioxygenase,hbpC,GENETIC,10.1128/JB.183-1.270-279.2001,2-Phenylphenol pathway evidence - Pseudomonas azelaica HBP1,Curated package row OPP-S02,"Meta-cleavage product from 2,3-dihydroxybiphenyl."
3,2-Phenylphenol,2-Phenylphenol degradation - Pseudomonas azelaica HBP1,Pseudomonas azelaica HBP1,PARTIAL,3,"2-Hydroxy-6-oxo-6-phenyl-2,4-hexadienoic acid","Benzoic acid + 2-hydroxy-2,4-pentadienoic acid",HbpD / hydrolase,HbpD / hydrolase,hbpD,GENETIC,10.1128/JB.183-1.270-279.2001,2-Phenylphenol pathway evidence - Pseudomonas azelaica HBP1,Curated package row OPP-S03,Hydrolytic step described in hbpCAD figure.
3,Acephate,Acephate degradation - Pseudomonas aeruginosa Is-6,Pseudomonas aeruginosa strain Is-6,PARTIAL,1,Acephate,Methamidophos,Carboxylesterase proposed,Carboxylesterase proposed,,METABOLITE,10.1080/03601234.2013.836868,Acephate pathway evidence - Pseudomonas aeruginosa Is-6,Curated package row ACE-S01,Transient methamidophos detected by HPLC/ESI-MS.
3,Acephate,Acephate degradation - Pseudomonas aeruginosa Is-6,Pseudomonas aeruginosa strain Is-6,PARTIAL,2,Methamidophos,"O,S-dimethyl phosphorothioate (DMPT)",Methamidophos phosphoamide hydrolase proposed,Methamidophos phosphoamide hydrolase proposed,,METABOLITE,10.1080/03601234.2013.836868,Acephate pathway evidence - Pseudomonas aeruginosa Is-6,Curated package row ACE-S02,DMPT was detected in trace/transient amounts.
3,Acephate,Acephate degradation - Pseudomonas aeruginosa Is-6,Pseudomonas aeruginosa strain Is-6,PARTIAL,3,"O,S-dimethyl phosphorothioate (DMPT)",Phosphoric acid + CO2,Proposed/mineralization endpoint,,,PROPOSED,10.1080/03601234.2013.836868,Acephate pathway evidence - Pseudomonas aeruginosa Is-6,Curated package row ACE-S03,Final transformation proposed from mineralization logic; not all final products directly quantified.
3,Acephate,Acephate degradation - Bacillus paramycoides NDZ,Bacillus paramycoides NDZ,PARTIAL,1,Acephate,Methamidophos,Amidase proposed,Amidase proposed,,METABOLITE,10.1007/s11274-020-02931-1,Acephate pathway evidence - Bacillus paramycoides NDZ,Curated package row ACE-S04,Methamidophos identified by GC-MS as main metabolite.
3,Acephate,Acephate degradation - Bacillus paramycoides NDZ,Bacillus paramycoides NDZ,PARTIAL,2,Methamidophos,"O,S-dimethyl hydrogen phosphorothioate",Phosphotriesterase/amidase proposed,Phosphotriesterase/amidase proposed,,PROPOSED,10.1007/s11274-020-02931-1,Acephate pathway evidence - Bacillus paramycoides NDZ,Curated package row ACE-S05,Downstream route inferred; not all downstream compounds directly detected in NDZ culture.
3,Acephate,Acephate degradation - Insect gut isolates - Enterobacter asburiae PXE,Enterobacter asburiae PXE,PARTIAL,1,Acephate,"Methamidophos + O,O-dimethyl phosphoramidate",Detected metabolites in whole-cell isolate,,,METABOLITE,,Acephate pathway evidence - Insect gut isolates,Curated package row ACE-S06,LC-MS product assignment; DOI not found in provided PDF.
3,Acephate,Acephate degradation - Insect gut isolates - Bacillus cereus PX-B.C.Or,Bacillus cereus PX-B.C.Or,PARTIAL,1,Acephate,"O,S-dimethyl phosphoramidothioate",Detected metabolite in whole-cell isolate,,,METABOLITE,,Acephate pathway evidence - Insect gut isolates,Curated package row ACE-S07,LC-MS product assignment.
3,Acephate,Acephate degradation - Pseudomonas ACP isolates,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,PARTIAL,1,Acephate,Methamidophos,Detected metabolite in whole-cell isolates,,,METABOLITE,10.3390/biom10030433,Acephate pathway evidence - Pseudomonas ACP isolates,Curated package row ACE-S09,One of several products in MS/FTIR pathway.
3,Acephate,Acephate degradation - Pseudomonas ACP isolates,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,PARTIAL,2,Methamidophos,S-methyl O-hydrogen phosphorothioamidate,Detected metabolite/proposed pathway,,,METABOLITE,10.3390/biom10030433,Acephate pathway evidence - Pseudomonas ACP isolates,Curated package row ACE-S10,Major product listed with m/z 125.0.
3,Acephate,Acephate degradation - Pseudomonas ACP isolates,Pseudomonas azotoformans ACP1; P. aeruginosa ACP2; P. putida ACP3,PARTIAL,3,S-methyl O-hydrogen phosphorothioamidate,Phosphenothioic S-acid + phosphenamide,Detected metabolites/proposed pathway,,,PROPOSED,10.3390/biom10030433,Acephate pathway evidence - Pseudomonas ACP isolates,Curated package row ACE-S11,Products reported; exact step order should be checked against Figure 5 before final database integration.
3,Acephate,Acephate degradation - Microbial consortium ZQ01,Microbial consortium ZQ01,PARTIAL,1,Acephate,Methamidophos,Hydrolytic enzyme inferred,Hydrolytic enzyme inferred,,METABOLITE,10.1016/j.jhazmat.2021.127841,Acephate pathway evidence - Microbial consortium ZQ01,Curated package row ACE-S12,Part of novel pathway; enzyme/gene not assigned.
3,Acephate,Acephate degradation - Microbial consortium ZQ01,Microbial consortium ZQ01,PARTIAL,2,Acephate,Acetamide + acetic acid,Hydrolytic/oxidative reactions inferred,Hydrolytic/oxidative reactions inferred,,METABOLITE,10.1016/j.jhazmat.2021.127841,Acephate pathway evidence - Microbial consortium ZQ01,Curated package row ACE-S13,Acetamide and acetic acid detected; pathway includes C-N bond breakage and oxidation.
3,Acephate,Acephate degradation - Microbial consortium ZQ01,Microbial consortium ZQ01,PARTIAL,3,Acephate/methanethiol route,Methanethiol + dimethyl disulfide,Detected metabolites,,,PROPOSED,10.1016/j.jhazmat.2021.127841,Acephate pathway evidence - Microbial consortium ZQ01,Curated package row ACE-S14,Keep as proposed branch until exact reaction order is checked from figure/supplement.
4,Thiophanate-Methyl,Thiophanate-Methyl biodegradation by Enterobacter sp. TDS-1 and Bacillus sp. TDS-2,Enterobacter sp. TDS-1; Bacillus sp. TDS-2,PARTIAL,1,Thiophanate-methyl,Carbendazim (MBC),Conversion to primary benzimidazole metabolite,Enzyme not identified,,METABOLITE,10.1007/s10532-010-9430-4,Biodegradation kinetics of the benzimidazole fungicide thiophanate-methyl by bacteria isolated from loamy sand soil,Biodegradation kinetics of the benzimidazole fungicide thiophanate-methyl by bacteria isolated from loamy sand soil..pdf,The paper describes the common initial conversion of thiophanate-methyl to carbendazim and studies TM degradation by Enterobacter sp. TDS-1 and Bacillus sp. TDS-2.
4,Thiophanate-Methyl,Thiophanate-Methyl biodegradation by Enterobacter sp. TDS-1 and Bacillus sp. TDS-2,Enterobacter sp. TDS-1; Bacillus sp. TDS-2,PARTIAL,2,Carbendazim (MBC),2-aminobenzimidazole (2-AB),Carbendazim transformation to 2-aminobenzimidazole,Enzyme not identified,,METABOLITE,10.1007/s10532-010-9430-4,Biodegradation kinetics of the benzimidazole fungicide thiophanate-methyl by bacteria isolated from loamy sand soil,Biodegradation kinetics of the benzimidazole fungicide thiophanate-methyl by bacteria isolated from loamy sand soil..pdf,Analysis of degradation products in soil indicated transformation of carbendazim (MBC) to 2-aminobenzimidazole (2-AB).
4,Thiophanate-Methyl,Thiophanate-Methyl biodegradation during oyster mushroom cultivation,Pleurotus ostreatus var. florida cultivation system,PARTIAL,1,Thiophanate-methyl,Carbendazim,Biodegradation to primary metabolite,Enzyme not identified,,METABOLITE,10.1007/s11356-019-07050-5,Substrate sterilization with thiophanate-methyl and its biodegradation to carbendazim in oyster mushroom,Substrate sterilization with thiophanate-methyl and its biodegradation to carbendazim in oyster mushroom (Pleurotus ostreatus var. florida)..pdf,Residue analysis detected thiophanate-methyl and its primary metabolite carbendazim during oyster mushroom cultivation.
5,Mandipropamid,Mandipropamid degradation in Yangtze River water-sediment microcosm,Yangtze River water-sediment microcosm,PARTIAL,1,Mandipropamid,CGA 380778,Hydrolysis,Hydrolysis; enzyme not identified,,PROPOSED,10.1016/j.scitotenv.2023.164650,The enantioselective environmental fate of mandipropamid in water-sediment microcosms,"The enantioselective environmental fate of mandipropamid in water-sediment microcosms Distribution, degradation, degradation pathways and toxicity assessment..pdf",LC-TOF-MS/MS identified CGA 380778 as a sediment degradation product; Fig. 5 proposes hydrolysis from mandipropamid.
5,Mandipropamid,Mandipropamid degradation in Yangtze River water-sediment microcosm,Yangtze River water-sediment microcosm,PARTIAL,2,Mandipropamid,SYN 536638,Reduction,Reduction; enzyme not identified,,PROPOSED,10.1016/j.scitotenv.2023.164650,The enantioselective environmental fate of mandipropamid in water-sediment microcosms,"The enantioselective environmental fate of mandipropamid in water-sediment microcosms Distribution, degradation, degradation pathways and toxicity assessment..pdf",LC-TOF-MS/MS identified SYN 536638; text and Fig. 5 propose reduction at the alkynyl group of mandipropamid.
5,Mandipropamid,Mandipropamid degradation in Yangtze River water-sediment microcosm,Yangtze River water-sediment microcosm,PARTIAL,3,Mandipropamid,NOA 458422,Hydrolysis,Hydrolysis; enzyme not identified,,PROPOSED,10.1016/j.scitotenv.2023.164650,The enantioselective environmental fate of mandipropamid in water-sediment microcosms,"The enantioselective environmental fate of mandipropamid in water-sediment microcosms Distribution, degradation, degradation pathways and toxicity assessment..pdf",LC-TOF-MS/MS identified NOA 458422; Fig. 5 proposes hydrolysis from mandipropamid.
5,Mandipropamid,Mandipropamid degradation in Yangtze River water-sediment microcosm,Yangtze River water-sediment microcosm,PARTIAL,4,Mandipropamid,SYN 521195,Hydrolysis,Hydrolysis; enzyme not identified,,PROPOSED,10.1016/j.scitotenv.2023.164650,The enantioselective environmental fate of mandipropamid in water-sediment microcosms,"The enantioselective environmental fate of mandipropamid in water-sediment microcosms Distribution, degradation, degradation pathways and toxicity assessment..pdf",LC-TOF-MS/MS identified SYN 521195; text proposes methoxy hydrolysis to generate the phenol moiety.
5,Mandipropamid,Mandipropamid degradation in Yangtze River water-sediment microcosm,Yangtze River water-sediment microcosm,PARTIAL,5,SYN 521195,SYN 539678,Reduction,Reduction; enzyme not identified,,PROPOSED,10.1016/j.scitotenv.2023.164650,The enantioselective environmental fate of mandipropamid in water-sediment microcosms,"The enantioselective environmental fate of mandipropamid in water-sediment microcosms Distribution, degradation, degradation pathways and toxicity assessment..pdf",Fig. 5 proposes reduction from SYN 521195 to SYN 539678.
5,Mandipropamid,Mandipropamid degradation in Yangtze River water-sediment microcosm,Yangtze River water-sediment microcosm,PARTIAL,6,SYN 536638,NOA 458422,Hydrolysis,Hydrolysis; enzyme not identified,,PROPOSED,10.1016/j.scitotenv.2023.164650,The enantioselective environmental fate of mandipropamid in water-sediment microcosms,"The enantioselective environmental fate of mandipropamid in water-sediment microcosms Distribution, degradation, degradation pathways and toxicity assessment..pdf",Text and Fig. 5 propose hydrolysis from SYN 536638 to NOA 458422.
5,Mandipropamid,Mandipropamid degradation in Yangtze River water-sediment microcosm,Yangtze River water-sediment microcosm,PARTIAL,7,SYN 536638,SYN 539678,Hydrolysis,Hydrolysis; enzyme not identified,,PROPOSED,10.1016/j.scitotenv.2023.164650,The enantioselective environmental fate of mandipropamid in water-sediment microcosms,"The enantioselective environmental fate of mandipropamid in water-sediment microcosms Distribution, degradation, degradation pathways and toxicity assessment..pdf",Text and Fig. 5 propose hydrolysis from SYN 536638 to SYN 539678.
6,Ametoctradin,Ametoctradin biodegradation by soil-derived microbial consortia,Soil-derived microbial consortia; packed-bed microbial bioreactor,PARTIAL,1,Ametoctradin,M650F01,Microbial aliphatic-chain transformation,Enzyme not identified,,METABOLITE,10.3389/fmicb.2020.01898,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf,HPLC-MS/MS confirmed ametoctradin degradation and identified M650F01 as one of four major metabolites formed by soil microorganisms metabolizing the long aliphatic chain.
6,Ametoctradin,Ametoctradin biodegradation by soil-derived microbial consortia,Soil-derived microbial consortia; packed-bed microbial bioreactor,PARTIAL,2,Ametoctradin,M650F02,Microbial aliphatic-chain transformation,Enzyme not identified,,METABOLITE,10.3389/fmicb.2020.01898,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf,HPLC-MS/MS confirmed ametoctradin degradation and identified M650F02 as one of four major metabolites formed by soil microorganisms metabolizing the long aliphatic chain.
