pesticide,paper_title,doi,publication_year,microorganism_or_strain,evidence_category,source_pdf,pesticide_specific_context,biodegradation_term_hits,gene_enzyme_term_hits,pathway_metabolite_term_hits,pesticide_mentions,pesticide_degradation_contexts,microbial_contexts_near_pesticide,gene_enzyme_contexts_near_pesticide,curation_source_folder
Ametoctradin,ADOPTED: 4 November 2021,10.2903/j.efsa.2012.2921,2025,,Gene/enzyme and pathway/metabolite evidence,Modification of the existing maximum residue level for ametoctradin in honey..pdf,"EFSA) on 29 June 2021. The EMS proposed to raise the existing MRL from the limit of quantiﬁcation (LOQ) of 0.05 to 5 mg/kg. EFSA assessed the application and the evaluation report as required by Article 10 of the MRL regulation. Based on the conclusions derived by EFSA in the framework of Directive 91/414/EEC, the data evaluated under previous MRL assessment and the additional data provided by the EMS in the framework of this application, the following conclusions are derived. The metabolism of ametoctradin following foliar application was investigated in crops belonging to the groups of fruit, leafy and root crops. In the crops tested, the parent compound was the main residue, with evident presence of metabolites M650F03 and M650F04 in root crops from soil uptake. Studies investigating the effect of processing on the nature of ametoctradin (hydrolysis studies) demonstrated that the acti",95,14,80,147,13,5,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Ametoctradin/PesticideDB_curation_Ametoctradin_20260707
Ametoctradin,Modiﬁcation of the existing maximum residue levels for,10.2903/j.efsa,2025,,Gene/enzyme and pathway/metabolite evidence,Modification of the existing maximum residue levels for ametoctradin in herbs and edible flowers..pdf,"e limit of quantiﬁcation (LOQ) to 20 mg/kg. EFSA based its assessment on the evaluation report submitted by the EMS, the draft assessment report (DAR) and its addendum prepared under Directive 91/414/EEC, the Commission review report on ametoctradin, the conclusion on the peer review of the pesticide risk assessment of the active substance ametoctradin, the Joint Meeting on Pesticide Residues (JMPR) evaluation report as well as the conclusions from previous EFSA opinions and scientiﬁc report on ametoctradin. The metabolism of ametoctradin following foliar applications was investigated in crops belonging to the groups of fruits, root and leafy vegetables. Studies investigating the effect of processing on the nature of ametoctradin (hydrolysis studies) demonstrated that the active substance is stable. In rotational crops, the major residues identiﬁed were the soil metabolites M650F03 and M",38,9,51,110,14,5,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Ametoctradin/PesticideDB_curation_Ametoctradin_20260707
Ametoctradin,published: 25 August 2020,10.1002/jctb.6390,2026,,Gene/enzyme and pathway/metabolite evidence,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf,"ORIGINAL RESEARCH published: 25 August 2020 doi: 10.3389/fmicb.2020.01898 Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia Hunter D. Whittington 1 , Mahatam Singh 2 , Chanh Ta 2 , M. Andrea Azcárate-Peril 3 and José M. Bruno-Bárcena 1* 1 Department of Plant and Microbial Biology, North Carolina State University, Raleigh, NC, United States, 2 BASF Corporation, Research Triangle Park, NC, United States, 3 Department of Medicine, Division of Gastroenterology and Hepatology, and UNC Microbiome Core, Center for Gastrointestinal Biology and Disease, School of Medicine, University of No",169,72,78,72,40,32,11,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Ametoctradin/PesticideDB_curation_Ametoctradin_20260707
Fluxapyroxad,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/275772670",10.1007/s00128-015-1556-y,2015,,Gene/enzyme and pathway/metabolite evidence,Degradation of Fluxapyroxad in Soils and WaterSediment Systems Under Aerobic or Anaerobic Conditions..pdf,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/275772670 Degradation of Fluxapyroxad in Soils and Water/Sediment Systems Under Aerobic or Anaerobic Conditions Article in Bulletin of Environmental Contamination and Toxicology · May 2015 DOI: 10.1007/s00128-015-1556-y · Source: PubMed CITATIONS READS 24 325 6 authors, including: Shasha Li Xingang Liu Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences Institute of Plant Protection 18 PUBLICATIONS 803 CITATIONS 269 PUBLICATIONS 7,572 CITATIONS SEE PROFILE SEE PROFILE Fengshou Dong Yong-Quan Zheng Chinese Ac",47,5,14,62,30,10,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707
Fluxapyroxad,www.nature.com/scientificreports,10.1038/s41598-020-78177-6,2020,is able to degrade,Gene/enzyme and pathway/metabolite evidence,Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples..pdf,"www.nature.com/scientificreports OPEN Dissipation kinetics and biological degradation by yeast and dietary risk assessment of fluxapyroxad in apples Magdalena Podbielska*, Paulina Książek & Ewa Szpyrka The aim of this study was to investigate the dissipation kinetics of fluxapyroxad in apples, the influence of biological treatment with yeast, and the estimation of dietary exposure for consumers, both adults and children. The gas chromatography technique with the electron capture detector was used to analyse the fluxapyroxad residues. Samples of apples were prepared by the quick, easy, cheap, effective, rugged and safe (QuEChERS) m",42,16,15,63,23,20,7,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707
Fluxapyroxad,Investigation of Residue Dissipation of Fluxapyroxad and Its,10.3390/plants13172448,2024,,Gene/enzyme and pathway/metabolite evidence,Investigation of Residue Dissipation of Fluxapyroxad and Its Metabolites in Chinese Cabbage and Spring Scallion Using Different Application Methods..pdf,"plants Article Investigation of Residue Dissipation of Fluxapyroxad and Its Metabolites in Chinese Cabbage and Spring Scallion Using Different Application Methods Ji Won Lee 1 , Jin-Seong Kim 2 , Ji Hyun Park 1 , Hyun Ho Noh 1 , Min Seok Oh 1 , Jin-Hyo Kim 2, * and Kyeong-Ae Son 1, * 1 Residual Agrochemical Evaluation Division, National Institute of Agricultural Science, RDA, Wanju 55365, Republic of Korea; jwlee0928@korea.kr (J.W.L.) 2 Division of Applied Life Science, Institute of Agriculture and Life Science (IALS), Gyeongsang National University, Jinju 5282",46,5,42,80,27,12,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707
Fluxapyroxad,ADOPTED: 27 November 2019,10.2903/j.efsa,2025,,Gene/enzyme and pathway/metabolite evidence,Setting of import tolerances for fluxapyroxad in certain root crops and coffee beans..pdf,"xad in certain root crops and coffee beans Assessment The European Food Safety Authority (EFSA) received an application from BASF SE to set import tolerances for the active substance ﬂuxapyroxad in various crops. The detailed description of the notiﬁed uses of ﬂuxapyroxad in Brazil for coffee beans and in the United States for the group of other root and tuber vegetables (except sugar beets), which are the basis for the current maximum residue level (MRL) application, is reported in Appendix A. Fluxapyroxad is the ISO common name for 3-(diﬂuoromethyl)-1-methyl-20 -(3,4,5-triﬂuorophenyl)1H-pyrazole-4-carboxanilide (IUPAC). The chemical structures of the active substance and its main metabolite are reported in Appendix E. Fluxapyroxad is an active substance approved in accordance with Regulation (EC) No 1107/20091 by Regulation (EU) No 589/20122 which entered into force on 1 January 2013.",13,13,59,22,4,4,10,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707
Fluxapyroxad,Adopted: 11 March 2024,10.2903/j.efsa.2024.8696,2025,,Gene/enzyme and pathway/metabolite evidence,Modification of the existing maximum residue levels for fluxapyroxad in kakiJapanese persimmons and cultivated mushrooms..pdf,"e reasoned opinion. Based on the conclusions derived by EFSA in the framework of Directive 91/414/EEC, the data evaluated under previous MRL assessments, and the additional data provided by each EMS in the framework of the two applications, the following conclusions are derived. The metabolism of fluxapyroxad following foliar applications was investigated in crops belonging to the groups of fruit crops, cereals/grass and pulses/oilseeds and following seed treatment in cereals. The metabolism of fluxapyroxad in rotational crops was investigated in root/tuber, leafy and cereal crops after bare soil applications. Studies investigating the effect of processing on the nature of fluxapyroxad (hydrolysis studies) demonstrated that the a.s. is stable. Based on the metabolic pattern identified in metabolism studies, hydrolysis studies and the toxicological relevance of metabolites, the residue de",26,10,64,130,19,15,0,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707
Glufosinate-Ammonium,"3672 J. Agric. Food Chem. 1997, 45, 3672−3676",,1997,,Gene/enzyme and pathway/metabolite evidence,Persistence and leachability of glufosinate-ammonium in a northern Ontario terrestrial environment..pdf,"3672 J. Agric. Food Chem. 1997, 45, 3672−3676 Persistence and Leachability of Glufosinate-Ammonium in a Northern Ontario Terrestrial Environment Marvin J. Faber,† Gerald R. Stephenson,*,† and Dean G. Thompson‡ Department of Environmental Biology, University of Guelph, Guelph, Ontario N1G 2W1, Canada, and Canadian Forest Service, Sault St. Marie, Ontario P6A 5M7, Canada The degradation and leaching potential of the herbicide [14C]glufosinate-ammonium [the ammonium salt of DL-homoalanin-4-yl(methyl)phosphinic acid] in a northern Ontario forest environment were examined. The DT50 and maximum le",80,4,34,43,36,5,5,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707
Glufosinate-Ammonium,Accepted Manuscript,10.1001/jamaneurol.2013.6030,2018,,Gene/enzyme and pathway/metabolite evidence,Multiple effects of the herbicide glufosinate-ammonium and its main metabolite on neural stem cells from the subventricular zone of newborn mice..pdf,"Accepted Manuscript Title: Multiple effects of the herbicide glufosinate-ammonium and its main metabolite on neural stem cells from the subventricular zone of newborn mice Authors: Justyne Feat-Vetel, Vanessa Larrigaldie, Géraldine Meyer-Dilhet, Ameziane Herzine, Camille Mougin, Anthony Laugeray, Thierry Gefflaut, Olivier Richard, Valérie Quesniaux, Céline MontécotDubourg, Stéphane Mortaud PII: S0161-813X(18)30178-5 DOI: https://doi.org/10.1016/j.neuro.2018.10.001 Reference: NEUTOX 2402 To appear in: NEUTOX Received date: 17-5-2018 Revised date: 13-9-2018 Accepted date:",37,53,53,12,7,6,4,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707
Glufosinate-Ammonium,Environmental Pollution 257 (2020) 113564,10.1016/j.envpol.2019.113564,2020,,Gene/enzyme and pathway/metabolite evidence,Effects of L-Glufosinate-ammonium and temperature on reproduction controlled by neuroendocrine system in lizard (Eremias argus)..pdf,"ed soil group.) Fig. 5. The degradation of L-GLA in soil (a) and accumulation in testis, ovary and egg (b) during 90 days (n ¼ 4). Bars indicate standard deviation (SD). * represents a signiﬁcant difference compared to the T group at each sampling time. Different uppercase letters indicate a statistically signiﬁcant difference between different tissues in the HT group. Different lower case letters indicate a statistically signiﬁcant difference between different tissues in the T group. (L-GLA: L-Glufosinate-ammonium; T: L-GLA polluted soil group; H: high temperature without L-GLA soil group; HT: high temperature with L-GLA polluted soil group.) group, the highest L-GLA content was found in the testis. It is worth rose after exposure to L-GLA and increased further under high noting that in the T group, L-GLA content was increased signiﬁ- temperature condition, whereas decreased exposure to",12,26,36,7,1,0,2,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707
Glufosinate-Ammonium,Food Chemistry: X 15 (2022) 100383,10.1002/etc.5620170713,2022,,Gene/enzyme and pathway/metabolite evidence,"Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio)..pdf","Food Chemistry: X 15 (2022) 100383 Contents lists available at ScienceDirect Food Chemistry: X journal homepage: www.sciencedirect.com/journal/food-chemistry-x Accumulation, metabolites formation and elimination behavior of rac-glufosinate-ammonium and glufosinate-P in zebrafish (Danio rerio) Fei Wang , Qiao Lin , Xueqin Shi , Yunfang Li , Pengyu Deng , Yuping Zhang *, Deyu Hu * State Key Laboratory Breeding Base of Green Pesticide and Agricultural Bioengineering, Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Guizhou University, Guiyang 550025, PR China A R T I C L E I N F O A B S T R A C T Keywords: An efficient trace detection method for the determination of residues of the glufosinate enantio",49,5,43,104,24,8,8,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707
Glufosinate-Ammonium,Science of the Total Environment 823 (2022) 153791,10.1002/chir.22018,2022,,Gene/enzyme and pathway/metabolite evidence,Comparing toxicity and biodegradation of racemic glufosinate and L-glufosinate in green algae Scenedesmus obliquus..pdf,"ww.elsevier.com/locate/scitotenv Comparing toxicity and biodegradation of racemic glufosinate and L-glufosinate in green algae Scenedesmus obliquus Xiurou Meng, Fei Wang, Yunfang Li, Pengyu Deng, Deyu Hu, Yuping Zhang ⁎ State Key Laboratory Breeding Base of Green Pesticide and Agricultural Bioengineering, Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Guizhou University, Guiyang 550025, PR China H I G H L I G H T S G R A P H I C A L A B S T R A C T • L-glufosinate-ammonium was more toxic to S. obliquus than rac-glufosinate-ammo nium. • Rac-glufosinate and L-glufosinate had dif ferent effects on the toxicity of S. obliquus. • A residual analysis method for glufosinate enantiomers and their metabolites in S. obliquus system was established. • S. obliquus could promote the degradation of glufosinate-ammonium. • NAG was the main metabolite in the al",91,37,48,166,31,26,19,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Glufosinate-Ammonium/PesticideDB_curation_Glufosinate_Ammonium_20260707
Imazamox,Biol Fertil Soils (2002) 35:13–17,10.1007/s00374-001-0433-5,2002,,Gene/enzyme and pathway/metabolite evidence,Relationship between changes of soil microbial biomass content and imazamox and benfluralin degradation.pdf,"Biol Fertil Soils (2002) 35:13–17 DOI 10.1007/s00374-001-0433-5 O R I G I N A L PA P E R Costantino Vischetti · Cristiano Casucci · Piero Perucci Relationship between changes of soil microbial biomass content and imazamox and benfluralin degradation Received: 12 July 2001 / Published online: 19 January 2002 © Springer-Verlag 2002 Abstract The present research was carried out to deter- cals and soil chemical and physico-chemical properties mine the relationship between the soil microbial biomass (Bollag et al. 1992; Schaffer 1993). The response of the content and the persistence of imazamox and benfluralin microbial biomass and biochemical activities, such as enin three different soils, incubated in the laborator",12,5,2,28,13,20,3,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707
Imazamox,Anal Bioanal Chem (2007) 389:1459–1467,10.1007/s00216-007-1343-7,2007,,Gene/enzyme and pathway/metabolite evidence,Characterization of imazamox degradation by-products by using liquid chromatography mass spectrometry and high-resolution Fourier transform ion cyclotron resonance mass spectrometry..pdf,"Anal Bioanal Chem (2007) 389:1459–1467 DOI 10.1007/s00216-007-1343-7 ORIGINAL PAPER Characterization of imazamox degradation by-products by using liquid chromatography mass spectrometry and high-resolution Fourier transform ion cyclotron resonance mass spectrometry M. Harir & M. Frommberger & A. Gaspar & D. Martens & A. Kettrup & M. El Azzouzi & Ph. Schmitt-Kopplin Received: 8 March 2007 / Revised: 27 April 2007 / Accepted: 7 May 2007 / Published online: 7 June 2007 # Springer-Verlag 2007 Abstract The photodecomposition of imazamox, a herbi- formula assignments, the derived 2D van Krevelen diagram cide of",31,9,78,36,22,5,12,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707
Imazamox,"Cite This: Environ. Sci. Technol. 2019, 53, 5733−5740 pubs.acs.org/est",10.1021/acs.est.8b07209,2019,,Gene/enzyme and pathway/metabolite evidence,Behavior of the Chiral Herbicide Imazamox in Soils Enantiomer Composition Differentiates between Biodegradation and Photodegradation..pdf,"Article Cite This: Environ. Sci. Technol. 2019, 53, 5733−5740 pubs.acs.org/est Behavior of the Chiral Herbicide Imazamox in Soils: Enantiomer Composition Diﬀerentiates between Biodegradation and Photodegradation Ignaz J. Buerge,* Roy Kasteel, Astrid Bächli, and Thomas Poiger Plant Protection Chemistry, Agroscope, CH-8820 Wädenswil, Switzerland * S Supporting Information Downloaded via NOTTINGHAM TRENT UNIV on August 13, 2019 at 02:36:45 (UTC). ABSTRACT: Imazamox is a chiral herbicide that, in laboratory experiments in the dark, exhibits pronounced enantioselective biodegradation in certain soils. Imazamox also",153,8,19,65,33,16,7,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707
