pesticide,current_pathway_status,stepwise_arrow_count,folder_found,real_pdf_count,html_placeholder_count,top_candidate_papers,doi_candidates_from_queue,automated_evidence_signal,needed_information_for_kegg_like_arrow,recommended_next_action,sample_files_from_usb_folder
Azoxystrobin,Stepwise pathway integrated,1,Yes,0,36,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,1_Tetradecanol__Diethyl_Phthalate_and_Tween_80_Assist_in_the_Formation_of_Thermo.pdf | A_Leaf_Disc_Assay_for_Evaluating_the_Response_of_Tea___i_Camellia_sinensis__i___.pdf | Acute_exposure_to_a_commercial_formulation_of_Azoxystrobin_alters_antioxidant_en.pdf | An_Overview_of_Strobilurin_Fungicide_Degradation_Current_Status_and_Future_Persp.pdf
Bentazone,Stepwise pathway integrated,5,Yes,0,14,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Brief_Photocatalytic_Study_of_ZnO_Containing_Cerium_towards_Ibuprofen_Degradat.pdf | Adsorption_of_bentazone_in_the_profiles_of_mineral_soils_with_low_organic_matter.pdf | An_Overview_of_Photocatalytic_Membrane_Degradation_Development_.pdf | Bioaugmentation_has_temporary_effect_on_anaerobic_pesticide_biodegradation_in_si.pdf
Bifenthrin,Stepwise pathway integrated,2,Yes,0,24,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf | Bifenthrin_at_Sublethal_Concentrations_Suppresses_Mating_and_Laying_of_Female__i.pdf | Bifenthrin_induced_neurotoxicity_in_rats__involvement_of_oxidative_stress_.pdf | Bifenthrin_Residues_in_Table_Grapevine__Method_Optimization__Dissipation_and_Rem.pdf
Boscalid,Full-text re-download needed,0,Yes,0,14,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Dissipation_kinetics_and_biological_degradation_by_yeast_and_dietary_risk_assess.pdf | Dissipation_Residue_Behaviors_and_Dietary_Risk_Assessment_of_Boscalid_and_Pyracl.pdf
Buprofezin,Stepwise pathway integrated,1,Yes,0,13,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Buprofezin_Is_Metabolized_by_CYP353D1v2__a_Cytochrome_P450_Associated_with_Imida.pdf | Conclusion_regarding_the_peer_review_of_the_pesticide_risk_assessment_of_the_act.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_Acephate_and_Its_Intermediate_Methamidophos__Mechanisms_and_Bioch.pdf
Cadusafos,Full-text re-download needed,0,Yes,0,4,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_kinetics_and_physiological_studies_of_organophosphates_degrading_mic.pdf | Microbial_degradation_of_halogenated_aromatics__molecular_mechanisms_and_enzymat.pdf
Captan,Full-text re-download needed,0,Yes,0,16,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Dislodgeable_Foliar_Residue_Measurements_and_Assessment_of_Dermal_Exposure_to_Ca.pdf | Effect_of_plasma_activated_water_and_buffer_solution_combined_with_ultrasound_on.pdf | Effects_of_1_3_butadiene__isoprene__and_their_photochemical_degradation_products.pdf
Carbaryl,Stepwise pathway integrated,1,Yes,0,50,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_bispecific_nanobody_with_high_sensitivity_efficiency_for_simultaneous_determin.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_Novel_Paper_Based_Electrochemical_Biosensor_Based_on_N_O_Rich_Covalent_Organic.pdf
Carbendazim,Stepwise pathway integrated,1,Yes,0,47,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Daphnia_magna__i__Multigeneration_Exposure_to_Carbendazim__Gene_Transcription.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Cu_sub_2__sub_O_ZnO_PET_Composite_Membrane_for_the_Photocatalytic_Degrad.pdf | A_Sensitive_and_Selective_Electrochemical_Aptasensor_for_Carbendazim_Detection_.pdf
Carbofuran,Stepwise pathway integrated,1,No,0,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,
Carbosulfan,PDF folder missing,0,No,0,0,,,,Full-text paper PDFs or reliable source files with degradation products/intermediates.,Create or locate the pesticide PDF folder before pathway curation.,
Chlorantraniliprole,Full-text re-download needed,0,Yes,0,33,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_mechanism_based_approach_unveils_metabolic_routes_potentially_mediating_chlora.pdf | A_reference_gene_set_for_sex_pheromone_biosynthesis_and_degradation_genes_from_t.pdf | Biochemical_basis_of_synergism_between_pathogenic_fungus_Metarhizium_anisopliae_.pdf | Chitosan_Delivered_Chlorantraniliprole_for_Pest_Control__Preparation_Optimizatio.pdf
Chlordane,Full-text re-download needed,0,Yes,0,16,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Alterations_in_macrophage_phagocytosis_and_inflammatory_tone_following_exposure_.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biodegradation_of_crystal_violet_by_the_white_rot_fungus_Phanerochaete_chrysospo.pdf
Chlorothalonil,Stepwise pathway integrated,1,Yes,1,38,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_novel_hydrolytic_dehalogenase_for_the_chlorinated_aromatic_compound_chlorothal.pdf | A_pulsed_dose_study_evaluating_chronic_toxicity_of_chlorothalonil_to_fish__A_cas.pdf | Antibody_free_colorimetric_detection_of_chlorothalonil_in_cucumber__i_via__i__th.pdf | Biodegradation_of_agave_Comiteco_bagasse_by__i_Pleurotus__i__spp___a_source_of_c.pdf
Chlorpropham,Full-text re-download needed,0,Yes,0,11,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_multifunctional_enzyme_portfolio_for_α_chaconine_and_α_solanine_degradation_in.pdf | An_Amidase_Gene___i_ipaH__i___Is_Responsible_for_the_Initial_Step_in_the_Iprodio.pdf | Biodegradation_of_phenmedipham_by_novel__i_Ochrobactrum_anthropi__i__NC_1_.pdf | Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf
Chlorpyrifos-methyl,Stepwise pathway integrated,1,Yes,1,72,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf
Clothianidin,Full-text re-download needed,0,Yes,0,31,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf
Cyfluthrin/beta-cyfluthrin,Full-text re-download needed,0,Yes,0,48,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf
Cypermethrin,PDF folder missing,0,No,0,0,,,,Full-text paper PDFs or reliable source files with degradation products/intermediates.,Create or locate the pesticide PDF folder before pathway curation.,
Cyprodinil,Full-text re-download needed,0,Yes,0,12,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Conditions_Optimizing_and_Application_of_Laccase_mediator_System__LMS__for_the_L.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Effect_of_cyprodinil_and_fludioxonil_pesticides_on_bovine_liver_catalase_activit.pdf
Cyromazine,Stepwise pathway integrated,1,Yes,0,8,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,Assembly_Driven_Oxidative_Degradation_of_Melarsomine_Triggered_by_Cyanuric_Acid_.pdf | Bacterial_degradation_of_N_cyclopropylmelamine__The_steps_to_ring_cleavage_.pdf | Biodegradation_of_cyromazine_by_melamine_degrading_bacteria_.pdf | Role_of_Insect_Gut_Microbiota_in_Pesticide_Degradation__A_Review_.pdf
DDT,Stepwise pathway integrated,3,No,0,0,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,
Deltamethrin,Stepwise pathway integrated,3,Yes,0,72,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_novel_miRNA__miR_13664__targets_CpCYP314A1_to_regulate_deltamethrin_resistance.pdf | Absence_of_close_range_excitorepellent_effects_in_malaria_mosquitoes_exposed_to_.pdf
Dicamba,Stepwise pathway integrated,2,Yes,0,31,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,2_4_D_and_dicamba_resistance_mechanisms_in_wild_radish__subtle__complex_and_popu.pdf | A_Tetrahydrofolate_Dependent_Methyltransferase_Catalyzing_the_Demethylation_of_D.pdf | A_Three_Component_Enzyme_System_Catalyzes_the_O_Demethylation_of_the_Herbicide_D.pdf | Bacterial_Dispersal_Promotes_Biodegradation_in_Heterogeneous_Systems_Exposed_to_.pdf
Dichlobenil,Full-text re-download needed,0,Yes,0,8,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Biodegradation_of_nitriles_in_shale_oil_.pdf | Degradation_and_mineralization_of_nanomolar_concentrations_of_the_herbicide_dich.pdf | Degradation_of_Acetonitrile_by_Pseudomonas_putida_.pdf | Fungal_degradation_of_aromatic_nitriles__Enzymology_of_C_N_cleavage_by_Fusarium_.pdf
Dichlorvos,Stepwise pathway integrated,1,Yes,1,48,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_lt_i_gt_Andrographis_paniculata_lt__i_gt__aqueous_extract_exhibits_cardioprotec.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf
Dicofol,Full-text re-download needed,0,Yes,0,13,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_refined_method_for_analysis_of_4_4__dicofol_and_4_4__dichlorobenzophenone_.pdf | Biodegradation_of_DDT__1_1_1_trichloro_2_2_bis_4_chlorophenyl_ethane__by_the_whi.pdf | Burning_question__Rethinking_organohalide_degradation_strategy_for_bioremediatio.pdf | Degradation_of_endrin__aldrin__and_DDT_by_soil_microorganisms_.pdf
Difenoconazole,Stepwise pathway integrated,3,Yes,0,25,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,A_Cheminformatics_Study_Regarding_the_Human_Health_Risks_Assessment_of_the_Stere.pdf | Antifungal_Activity_of_Difenoconazole_Loaded_Microcapsules_against__i_Curvularia.pdf | Bioaccessibility_of_Difenoconazole_in_Rice_Following_Industry_Standard_Processin.pdf | Biodegradation_of_phenol_contaminated_soil_and_plant_growth_promotion_by__i_Myro.pdf
Dimethoate,Full-text re-download needed,0,Yes,0,43,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Molecularly_Imprinted_Quartz_Crystal_Microbalance_Sensor_Based_on_Erbium.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf
Dimethomorph,Full-text re-download needed,0,Yes,0,5,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Attenuation_and_soil_biodegradation_of_fungicides_by_using_vegetated_buffer_stri.pdf | Co_exposure_of_dimethomorph_and_imidacloprid__effects_on_soil_bacterial_communit.pdf | Degradation_strategies_of_pesticide_residue__From_chemicals_to_synthetic_biology.pdf | Dissipation_and_Safety_Analysis_of_Dimethomorph_Application_in_Lychee_by_High_Pe.pdf
Dinotefuran,Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Adverse_outcome_pathway_based_assessment_of_pulmonary_toxicity_from_the__i_in_vi.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf
Diphenylamine,Stepwise pathway integrated,1,Yes,0,52,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,1_6_α_L_Fucosidases_from__i_Bifidobacterium_longum__i__subsp___i_infantis__i__AT.pdf | 3_Chlorodiphenylamine_activates_cardiac_troponin_by_a_mechanism_distinct_from_be.pdf | Adsorption_of_DNA_to_sand_and_variable_degradation_rates_of_adsorbed_DNA_.pdf | Anomalous_efficiency_elevation_of_quantum_dot_light_emitting_diodes_induced_by_o.pdf
Diquat,Full-text re-download needed,0,Yes,0,29,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Periplaneta__i___i_americana__i__Extract_Pretreatment_Alleviates_Oxidative_St.pdf | Absorption_and_excretion_of_diquat_and_paraquat_in_rats_.pdf | Analysis_of_Human_microRNA_Expression_Profiling_During_Diquat_Induced_Renal_Prox.pdf | Biodegradation_Capabilities_of_Paraquat_Degrading_Bacteria_Immobilized_on_Nanoce.pdf
Dithiocarbamate,PDF folder missing,0,No,0,0,,,,Full-text paper PDFs or reliable source files with degradation products/intermediates.,Create or locate the pesticide PDF folder before pathway curation.,
Emamectin benzoate,Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Application_of_Solid_Dispersion_Technique_to_Improve_Solubility_and_Sustain_Rele.pdf | Assessment_of_the_effect_of_sub_lethal_acute_toxicity_of_Emamectin_benzoate_in__.pdf | Comparative_analyses_of_the_effects_of_sublethal_doses_of_emamectin_benzoate_and.pdf | CRISPR_Cas9_Based_Functional_Characterization_of_SfUGT50A15_Reveals_Its_Roles_in.pdf
Endosulfan,Stepwise pathway integrated,2,Yes,1,47,,,,"Curated substrate, product, and reaction labels are already available for the current database view.",No immediate action for the pathway sketch; continue literature expansion only if a more complete route is needed.,_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_single_monooxygenase__ese__is_involved_in_the_metabolism_of_the_organochloride.pdf | Acute_oral_toxicity_and_histopathological_study_of_combination_of_endosulfan_and.pdf | Atmospheric_Hydroxyl_Radical_Reaction_Rate_Coefficient_and_Total_Environmental_L.pdf
Endrin,Full-text re-download needed,0,Yes,0,12,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Bacterial_degradation_of_aromatic_compounds_.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf
Esfenvalerate,Full-text re-download needed,0,Yes,0,12,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_the_strobilurin_fungicide_mandestrobin_in_illuminated_water_sedim.pdf | Effects_of_the_insecticide_esfenvalerate_on_zooplankton_in_an_indoor_synthetic_m.pdf
Ethion,Full-text re-download needed,0,Yes,0,9,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Chitosan_TPP_encapsulated_quercetin_nanoparticles__amplified_protection_mechanis.pdf
Ethoprophos,Full-text re-download needed,0,Yes,0,9,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf | Effects_of_soil_pH_on_the_biodegradation_of_chlorpyrifos_and_isolation_of_a_chlo.pdf | Efficacy_of_Ethoprop_on_Meloidogyne_hapla_and_M__chitwoodi_and_Enhanced_Biodegra.pdf | Efficient_biodegradation_of_acephate_by__i_Pseudomonas_pseudoalcaligenes__i__PS_.pdf
