pmid,doi,year,title,journal,authors,publication_types,abstract,manual_review_status,database_match_status,matched_database_sections
42086709,10.1038/s41598-026-51780-9,2026,Life-stage-specific resistance to imidacloprid and thiamethoxam in COI-confirmed Bemisia tabaci MEAM1 and adult detoxification enzyme activity.,Scientific reports,Mohammad Nejad Havestin M; Sabahi Q; Amiri A; Sheikhi Garjan A; Bandani AR,Journal Article,"Neonicotinoids such as imidacloprid and thiamethoxam remain widely used for managing the whitefly, Bemisia tabaci, yet intensive applications have selected for resistance in many production systems. Here, we quantified stage-resolved susceptibility to imidacloprid and thiamethoxam across eggs, second-instar nymphs, and adults in five field populations of B. tabaci molecularly confirmed as MEAM1 by COI sequencing and phylogenetic analysis. The study further examined whether population-level resistance patterns were associated with detoxification enzyme activity measured in adults. Standardized leaf-dip bioassays on colonies reared on eggplant under controlled conditions were analyzed by probit methods to estimate LC50 values and resistance ratios (RRs) relative to a field-derived reference population (Marand). Across life stages, among-population differences were consistent, with Jiroft showing the highest LC50 and RR values. In adults, imidacloprid resistance in Jiroft approached ~ 60-fold, whereas thiamethoxam resistance reached ~ 24-fold. Second-instar nymphs showed lower RRs than adults but still exhibited meaningful resistance (imidacloprid RR ≈ 15-fold in Jiroft), and eggs also displayed elevated tolerance relative to the reference population. In adult biochemical assays, resistant populations showed increased cytochrome P450 monooxygenase and glutathione S-transferase activities and/or elevated carboxylesterase activity, consistent with a metabolic component to resistance. These results delineate a life-stage-resolved resistance profile within a single MEAM1 lineage and under the present assay framework, second-instar nymphs appeared to be the most operationally responsive stage for potential intervention, but are no longer fully susceptible in highly selected populations, underscoring the value of stage-explicit monitoring in intensive vegetable systems.",Needs manual review before database use,NEW_CANDIDATE,
42085734,10.1016/j.ecoenv.2026.120199,2026,Parasitic interactions modulate the physiological responses of Gammarus fossarum to the herbicide metazachlor.,Ecotoxicology and environmental safety,Nahar N; Asghar A; Schmidt TC; Sures B,Journal Article,"Parasites are ubiquitous in natural environments, yet their role in shaping host responses to chemical stressors remains largely underexplored in ecotoxicology. We investigated how natural infections by cystacanths of the acanthocephalan Polymorphus minutus and microsporidians modulate the toxicity of the chloroacetamide herbicide metazachlor (MTZ) in Gammarus fossarum during a high-exposure scenario. We exposed P. minutus- and/or microsporidia-infected and uninfected G. fossarum to 1 and 10 mg/L MTZ, assessing behavioral and physiological responses. We observed significantly higher mortality at 10 mg/L, with slightly lower values for P. minutus-infected individuals. Although locomotion was unaffected by MTZ or infection, both MTZ and parasites significantly influenced biochemical responses with significant interactions. We found distinct physiological response patterns associated with parasite infection and MTZ exposure. Two major infection-dependent response clusters were (i) coinfected (with P. minutus and microsporidians) and P. minutus-infected individuals, and (ii) uninfected and microsporidia-infected individuals, suggesting distinct physiological strategies for coping with parasites and MTZ. Coinfection and P. minutus appeared to elevate glutathione S-transferase (GST) and phenoloxidase (PO) activities compared to the other cluster at high MTZ and control, while catalase activity decreased. In contrast, microsporidia infection and the absence of parasites were associated with increased catalase activity at the highest MTZ treatment. Decreased GST activity across infection groups at high MTZ suggested reduced detoxification capacity, while MTZ induced depletion of glycogen and lipids indicated metabolic costs. The complex interactions observed between MTZ and parasites highlight the importance of considering multiple stressors when assessing the ecological impacts of environmental contaminants like MTZ.",Needs manual review before database use,NEW_CANDIDATE,
42083257,10.1093/etojnl/vgag114,2026,Cypermethrin and perfluorooctane sulfonate co-exposure: Synergistic immunotoxicity in ex vivo stimulated whole blood of Nile tilapia (Oreochromis niloticus).,Environmental toxicology and chemistry,Aparo R; Natale S; Iaria C; Peritore AF; Crupi R; Lanteri G; Capparucci F,Journal Article,"Environmental contaminants pose an increasing threat to aquatic organisms, with potential consequences for fish health, aquaculture, and food safety. This study investigated the cytotoxic and immunotoxic effects of perfluorooctane sulfonate (PFOS) and the synthetic pyrethroid cypermethrin (CYP) in Nile tilapia (Oreochromis niloticus) using ex vivo peripheral blood mononuclear cell (PBMC) cultures and whole blood assays. High concentrations of PFOS and CYP reduced PBMC viability in a concentration and time-dependent manner, with CYP exhibiting stronger cytotoxicity. Reactive oxygen species-related oxidative burst and reverse transcriptase quantitative polymerase chain reaction analyses revealed that PFOS (10 μM) and CYP (1 μM) induced oxidative stress and modulated the expression of antioxidant catalase, superoxide dismutase, glutathione peroxidase, glutathione S-transferase, and cytokine cytokines tumor necrosis factor-α, interleukin-1β, and transforming growth factor- β genes, indicating disruption of immune regulation. Importantly, co-exposure to subtoxic concentrations of PFOS (1 μM) and CYP (100 nM) elicited significant cytotoxic and immunotoxic responses, including reduced PBMC viability, increased myeloperoxidase and malondialdehyde levels, increased oxidative burst activity and nitrite production, and altered gene expression. These effects were comparable to those induced by lipopolysaccharide, a proinflammatory control, suggesting a potential interaction between the two contaminants. Although single exposures at these concentrations were largely inactive, the combined treatment revealed the enhanced toxic potential of chemical mixtures in aquatic environments. Overall, these findings emphasize the importance of evaluating combined exposures, as interactions between environmental contaminants may pose greater risks to fish health, aquaculture sustainability, and food safety than individual pollutants alone.",Needs manual review before database use,NEW_CANDIDATE,
42069273,10.1016/j.cbpc.2026.110558,2026,Toxic effects of acute atrazine exposure on the physiological functions and transcriptional levels in non-targeted marine invertebrates (Chlamys nobilis).,Comparative biochemistry and physiology. Toxicology & pharmacology : CBP,Sun J; Yan B; Liu Y; Lin Q; Wang W; Zhang H; Zheng H,Journal Article,"Atrazine (ATZ), the second most widely used pesticide globally, poses potential risks to non-target aquatic organisms. However, its toxicological impacts on the economically valuable Chlamys nobilis remain unknown. This study investigates the toxicological effects of ATZ on the economically important C. nobilis. We assessed tissue integrity, physiological functions, and transcriptional profiles following ATZ exposure. Mortality in C. nobilis was observed to be time- and dose-dependent. Gill tissue damage was first noted at 5 μg/L ATZ, with severity increasing at higher concentrations. Superoxide dismutase (SOD) and catalase (CAT) activities were significantly elevated at 5 μg/L and 50 μg/L compared to controls but declined at 500 μg/L (P < 0.05). Glutathione S-transferase (GST) activity increased in all exposed groups except at 500 μg/L, peaking at 5 μg/L (P < 0.05). Malondialdehyde (MDA) levels rose significantly at 0.5 μg/L and further increased with higher ATZ concentrations (P < 0.05). RNA-seq analysis revealed 167 and 282 differentially expressed genes (DEGs) at 0.5 μg/L and 50 μg/L, respectively, enriched in pathways related to the endocrine, sensory, and digestive systems. Our findings highlight the toxic effects of ATZ on C. nobilis and contribute to the environmental risk assessment of this pesticide.",Needs manual review before database use,NEW_CANDIDATE,
42069028,10.1016/j.etap.2026.105035,2026,Species-specific responses of bees to Flupyradifurone: Enzymatic stress biomarkers reveal higher sensitivity in Neotropical larvae compared to Apis mellifera.,Environmental toxicology and pharmacology,Dorigo AS; Miotelo L; Grella TC; Antonia Tavares D; Nocelli RCF; Malaspina O; de Souza Rosa-Fontana A,Journal Article,"Bees are essential pollinators facing increasing anthropogenic threats, particularly pesticide exposure. Flupyradifurone has sublethal impacts on non-Apis bees that remain poorly understood. This study incorporates Neotropical stingless bees as model organisms and uses field-realistic concentrations to evaluate physiological stress through enzymatic biomarkers, including acetylcholinesterase (AChE), carboxylesterase (CaE-3), glutathione S-transferase (GST), glucose-6-phosphate dehydrogenase (G6PDH), alkaline phosphatase (ALP), glucose oxidase (GOX), and glutathione reductase (GR) in larvae of Apis mellifera, Melipona scutellaris, and Scaptotrigona postica. In A. mellifera, only AChE activity decreased at the highest concentration. In M. scutellaris, AChE activity decreased at both concentrations, while GR increased at the lowest. S. postica was the most affected, showing increased GST and G6PDH at both concentrations and elevated ALP at the highest. These results reveal species-specific physiological responses, with stingless bees exhibiting more pronounced stress, highlighting the need to include native species in risk assessment frameworks.",Needs manual review before database use,NEW_CANDIDATE,
42068957,10.1016/j.jhazmat.2026.142190,2026,Molecular mechanism of PnGSTU2-mediated brassinosteroid signaling pathway to promote degradation of propiconazole residues in Panax notoginseng.,Journal of hazardous materials,Yu Y; Wan X; Zheng Z; Meng T; Guo L; An Y; Yang Q; Cui X,Journal Article,"Propiconazole (PPC), as a highly effective triazole fungicide, is widely used in disease management in Panax notoginseng. However, residues resulting from its improper application pose a serious threat to the quality and safety of the medicinal herb. Brassinosteroids (BRs) have been proven to effectively mitigate pesticide stress and facilitate its degradation, but their molecular regulatory mechanisms remain poorly understood. Glutathione S-transferases (GSTs) play a key role in plant detoxification and stress response. This study aims to decipher the functional roles and regulatory networks of the GST gene family in the BR-mediated degradation of PPC in P. notoginseng. Based on transcriptome analysis, 47 GST genes were identified in P. notoginseng, of which 17 possess complete conserved domains. The key differentially expressed gene PnGSTU2, which responds to both PPC and BR treatments, was identified. The tobacco transgenic line with overexpression of PnGSTU2 was successfully constructed. Physiological and molecular experiments showed that overexpression of PnGSTU2 significantly promotes the transport and degradation of PPC, increases endogenous BR content, improves photosynthetic parameters, and enhances the activity of antioxidant enzymes and the expression of glutathione metabolism-associated genes. Field trials further confirmed that BR treatment could reduce residues of multiple pesticides. This study provides the first systematic elucidation of the molecular mechanism by which PnGSTU2 promotes PPC degradation in P. notoginseng through positively modulating the BR signaling pathway and coordinated activation of antioxidant and detoxification metabolic pathways, offering novel strategies and genetic resources for the safe production of P. notoginseng and the green control of pesticide residues.",Needs manual review before database use,NEW_CANDIDATE,
42066024,10.1002/jsfa.70694,2026,trans-2-Hexenal exposure enhances disease resistance against Penicillium digitatum by stimulating phenylpropanoid biosynthesis and antioxidant capacity in postharvest citrus fruit.,Journal of the science of food and agriculture,Duan B; Zhu C; Meng K; Tan Y; Tao N,Journal Article,"BACKGROUND: trans-2-Hexenal (TH) is a promising alternative to chemical fungicide in controlling postharvest disease in fruits. This research sought to disclose how TH controls citrus green mold and induces fruit resistance through RNA-Seq, physiochemical and natural decay. RESULTS: TH effectively delayed green mold incidence in citrus fruits. RNA-Seq showed that multiple genes involved in the redox balance, ascorbic acid and aldehyde acid, and phenylpropanoid pathways were greatly influenced. In particular, the expression levels of genes involved in lignin and flavonoid biosynthesis - namely phenylalanine ammonia-lyase, cinnamate-4-hydroxylase, 4-coumarate-CoA ligase, peroxidase 31, cinnamoyl-CoA reductase 1, cinnamyl-alcohol dehydrogenase1, chalcone synthase2, flavanone 3- hydroxylase, and flavonol synthase - were increased by TH treatment, which thereby promoted flavonoids and lignin accumulation. Meanwhile, the antioxidant capacity of TH-treated citrus fruit was improved, as demonstrated by elevated levels of ascorbic acid and glutathione, and increased activities of enzymes and gene expression pertaining to the AsA-GSH cycle, including ascorbate peroxidase 2, glutathione reductases, monodehydroascorbate reductase 4, dehydroascorbate reductase 2, and glutathione s-transferase, resulting in reduction of H2O2. Correspondingly, the protective effects of TH on citrus fruits decreased its susceptibility to Penicillium digitatum. CONCLUSION: TH exposure at 5 μL L-1 induces disease resistance against P. digitatum by stimulating the biosynthesis of lignin and flavonoid, along with the AsA-GSH cycle in the peel of citrus fruit, thus improving antioxidant capacity and maintaining redox balance in the citrus fruit. These findings suggest that TH has potential for use as a protective measure against P. digitatum in citrus fruit. © 2026 Society of Chemical Industry.",Needs manual review before database use,NEW_CANDIDATE,
42053973,10.1021/acs.jafc.5c13032,2026,Synergistic Effects of Oxytetracycline on Pendimethalin Persistence and Ecological Risks in a Soybean-Soil System.,Journal of agricultural and food chemistry,Li H; Zhai W; Liu X; Liu D; Wang P; Zhou Z,Journal Article,"The frequent detection of oxytetracycline in agricultural soils may alter the environmental behavior and risks of coexisting pesticides. This study investigated the influence of oxytetracycline on the degradation and phytotoxicity of pendimethalin in a soil-soybean system. Results demonstrated that oxytetracycline at 50 mg/kg prolonged the half-life of pendimethalin in soil from 33.0 days to 40.8 days. Coexposure inhibited the activities of urease, dehydrogenase, and catalase in the soil. While pendimethalin alone showed no adverse effects on soybean growth, coexposure with oxytetracycline induced pronounced growth inhibition and enhanced oxidative stress. Ecological risk assessment confirmed significantly elevated risks to earthworms. Further analysis revealed suppressed CYP450 and GST activities in both soil and soybean plants, with more pronounced reductions observed in the plants. These findings indicate that the coexistence of antibiotic-herbicide can enhance herbicide persistence and increase environmental contamination risks.",Needs manual review before database use,NEW_CANDIDATE,
42047551,10.1021/acs.jafc.5c17635,2026,LrGSTU181 Contributes to Glufosinate Resistance in the Multiple Resistant,Journal of agricultural and food chemistry,Zeng Y; Qian H; Zhao H; Fu M; Pan L; Liu M,Journal Article,"Glufosinate is increasingly applied alongside glyphosate to control glyphosate-resistant weeds, a practice that has led to emerging resistance issues. Here, glufosinate resistance was confirmed in two multiple-resistant Lolium rigidum (glyphosate, ALS- and ACCase inhibitors) populations, NLR70 and WALR70 (RIs of 4.47 and 2.17, respectively), with no target-site GS resistance mutations. GST and P450 inhibitor studies identified distinct mechanisms: NBD-Cl reversed glufosinate resistance in both populations, while malathion reversed resistance only in population NLR70. Resistance in population NLR70 involved both the overexpression of LrGS1-2 and LrGS2 and the upregulation of LrGSTU181, CYP94B3, and possibly other GSTs and P450s. Whereas in population WALR70, resistance likely involved LrGSTU181 and possibly other GSTs. Transgenic validation demonstrated that LrGSTU181 contributes to glufosinate resistance and clodinafop-propargyl. These findings suggest a possible preadaptation scenario wherein detoxification genes selected under long-term herbicide pressure contribute to the evolution of resistance to chemically distinct herbicides.",Needs manual review before database use,NEW_CANDIDATE,
42036834,10.1080/08923973.2026.2662624,2026,"Myricetin attenuates atrazine-induced dysregulation of the hypothalamic-pituitary-adrenal axis of rats via anti-oxidative, anti-inflammatory, and anti-apoptotic mechanisms.",Immunopharmacology and immunotoxicology,Akpan MM; Ikeji CN; Arije CM; Mohammed KA; Salaudeen FA; Adedara IA; Owumi SE; Farombi EO,Journal Article,"BACKGROUND: The hypothalamic-pituitary-adrenal (HPA) axis is an important part of the stress response system that produces a biological reaction to stressful stimuli and can be activated by stressors such as atrazine. Atrazine (ATZ) is a common triazine herbicide used in the management of weeds in corn and sugarcane, and its persistence in the environment through runoff and leaching leads to frequent contamination of soil and water, with subsequent adverse health implications. Myricetin (MYR) is a biologically active compound with various pharmacological potentials against noxious agents. OBJECTIVE AND METHODS: This study evaluated the effects of MYR on the HPA axis of male Wistar rats sub-chronically exposed to atrazine (ATZ), gavaged with either atrazine (50 mg/kg), myricetin (20 mg/kg), or a combination of both for 45 consecutive days. RESULT: Exposure to ATZ increased serum levels of adrenocorticotropin-releasing hormone (ACTH) and corticosterone, and significantly decreased the activities of hypothalamic and adrenal antioxidant enzymes (catalase, glutathione S-transferase, glutathione peroxidase, reduced glutathione), and hypothalamic acetylcholinesterase (AChE). More so, ATZ-challenged rats showed increased levels of reactive oxygen species and lipid peroxidation, Nitric oxide, tumor necrosis factor-α, interleukin-1β, and caspase-3 in both tissues. Conversely, treatment with myricetin significantly restored the serum levels of ACTH and corticosterone, enhanced the antioxidant enzyme activities, reduced the oxidative-inflammatory and apoptotic markers in both tissues, and increased the hypothalamic AChE activity of the treated animals. Myricetin also reversed the histological abnormalities that atrazine elicited in the treated animals. CONCLUSION: Overall, MYR, through its antioxidant, anti-inflammatory, and anti-apoptotic properties, attenuated the ATZ-induced disruption of the HPA axis of rats.",Needs manual review before database use,NEW_CANDIDATE,
42036825,10.1002/ps.70794,2026,Asp-2078-Gly mutation confers ACCase-inhibiting herbicide resistance in Leptochloa chinensis (L.) Nees.,Pest management science,Qu X; Liu K; Sun P; Cui H; Chen J; Yu H; Zhang C; Li X,Journal Article,"BACKGROUND: Chinese sprangletop (Leptochloa chinensis (L.) Nees), a dominant weed species in Chinese rice fields, poses a significant threat to rice yield and quality because of its increasing resistance to herbicides. In particular, resistance to cyhalofop-butyl (Cyb) has become a major concern in weed control. The mechanism by which the Asp-2078-Gly mutation confers resistance to acetyl-CoA carboxylase (ACCase) inhibitors in L. chinensis remains unclear. In this study, we collected Cyb-resistant L. chinensis populations from rice-growing regions and characterized their resistance mechanisms. RESULTS: Through molecular analysis, we identified a resistant population harboring the Asp-2078-Gly mutation. Whole-plant dose-response experiments showed that the resistant (R) population exhibited varying levels of resistance compared with the susceptible (S) population: resistance indices values were 15.42 for FOP herbicides Cyb, 12.77 for metamifop, 11.50 for fenoxaprop-P-ethyl; 13.13 for the DIM herbicide clethodim; and 8.61 for the DEN herbicide pinoxaden. Quantitative real-time polymerase chain reaction (qRT-PCR) analysis revealed no significant difference in ACCase gene expression between the Asp-2078-Gly mutant and the susceptible (S) population, indicating that resistance to Cyb was not due to target enzyme overexpression. Furthermore, the resistance of the mutant was not alleviated by P450 or glutathione S-transferase inhibitors, suggesting non-metabolic mechanisms. CONCLUSION: Structural analysis confirmed that the Asp-2078-Gly mutation induces significant conformational changes in the herbicide-binding pocket, which reduces herbicide sensitivity and confers resistance. This study elucidates the resistance mechanism conferred by the Asp-2078-Gly mutation in L. chinensis, providing valuable insights for managing herbicide-resistant weeds. © 2026 Society of Chemical Industry.",Needs manual review before database use,NEW_CANDIDATE,
42034441,10.1016/j.pestbp.2026.107085,2026,Target-site and metabolic mechanisms confer broad resistance to PPO-inhibiting herbicides in Amaranthus retroflexus.,Pesticide biochemistry and physiology,Sun Z; Cao W; Wang S; Du L; Liu C; Li D; Li C; Feng Y,Journal Article,"Amaranthus retroflexus is among the most problematic and widely distributed weed species in soybean production systems across China. Fomesafen (FSA), a herbicide that blocks protoporphyrinogen oxidase (PPO), has been extensively used for its control. However, repeated applications of FSA have promoted the evolution of resistance in A. retroflexus. In this study, two resistant genotypes of A. retroflexus (R1 and R2) were identified, both exhibiting resistance indices (GR50 R/S) exceeding 20-fold relative to the wild type. The results of PPO enzyme activity assays were consistent with those obtained from whole-plant bioassays. Sequence analysis of the PPX2 gene revealed that genotype R2 harbored an Arg-128-Gly mutation. Inhibitors of CYP450 and GST significantly reversed resistance to FSA; however, CYP450 inhibitors produced a stronger reversal effect, whereas GST inhibitors were less effective. The reduced uptake and enhanced metabolic degradation of FSA observed in R2 (R128G) likely account for its high level of resistance. High-resolution LC-Q-TOF-MS/MS analysis identified four primary FSA metabolites in A. retroflexus (C13H7ClF3NO3, C14H7ClF3NO5, C15H11ClF3NO5S, C7H4ClF3O). To identify candidate resistance genes, transcriptome sequencing combined with RT-qPCR validation revealed two common CYP450 genes (ArCYP76AD1, ArCYP77A2) and one glucosyltransferase gene (ArUGT88B1) shared by both R1 and R2. Molecular docking analysis further supported ArCYP77A2 as candidate genes involved in resistance. Heterologous expression of ArCYP77A2 in Arabidopsis thaliana conferred resistance to FSA. These findings indicate the importance of CYP450 genes in non-target-site resistance to FSA in A. retroflexus through enhanced metabolic detoxification, although further functional characterization is still required.",Needs manual review before database use,NEW_CANDIDATE,
42014581,10.1007/s13744-026-01390-x,2026,Mosquitocidal Activity and Enzyme Inhibition of Citrus sinensis Essential Oil Against Anopheles gambiae: In Vivo and In Silico Insights.,Neotropical entomology,Solomon AO; Okunowo WO; Osuntoki AA; Ogunleye FA; Jimoh RO; Nnopu SO; Vanlare TO; Linus EC,Journal Article,"The growing resistance of Anopheles gambiae Giles, 1902 to synthetic insecticides poses a major challenge to malaria control, driving interest in botanical alternatives. This study assessed the mosquitocidal and enzyme-inhibitory potential of Citrus sinensis (L.) Osbeck, 1765 essential oil (CiSEO) and its primary constituents through in vivo bioassays and in silico analyses. Larvicidal and adulticidal activities were evaluated following World Health Organization (WHO) protocols, and biochemical assays measured acetylcholinesterase (AChE) and glutathione S-transferase (GST) inhibition, along with superoxide dismutase (SOD) and catalase (CAT) activities. Molecular docking and molecular dynamics (MD) simulations examined interactions with A. gambiae AChE and GST. CiSEO showed strong toxicity against larvae (LC50 = 45.68 µg/mL) and adults (LC50 = 10.06 µg/mL). Limonene and L-carvone were the most potent constituents, with LC50 values of 17.31 µg/mL and 6.53 µg/mL, respectively. CiSEO and some of its compounds significantly inhibited AChE and GST, while limonene, geraniol, L-carvone, and linalool increased SOD and CAT activities, suggesting induced oxidative stress. Docking identified L-carvone, citral, Naphthalene,1,2,3,5,6,8a hexahydro-4,7-dimethyl-1-methyl ethyl (NHDME), 1-methyl-4-(ethyl-ethylene trans-2-cyclohexen-1-ol (MEET), and 3-carene as strong AChE binders, and NHDME, geraniol, 3-carene, MEET, and limonene as top GST binders. MD simulations revealed MEET formed the most stable AChE complex, supported by low root mean square deviation (RMSD), root mean square fluctuation (RMSF), and radius of gyration values (Rg), and the highest hydrogen-bond (H-Bond) stability. These results demonstrate that CiSEO and its bioactive constituents possess potent mosquitocidal activity and target key detoxification and neural enzymes in A. gambiae. Their efficacy, combined with potential environmental safety, supports further development as eco-friendly alternatives for malaria vector control.",Needs manual review before database use,NEW_CANDIDATE,
42012804,10.1111/tpj.70890,2026,Genomic insights into herbicide resistance evolution in allopolyploid Monochoria korsakowii.,The Plant journal : for cell and molecular biology,Wang J; Du Y; Zhang L; Deng Y; Wang T; Xiong Z; Li Y; Qin P,Journal Article,"Monochoria korsakowii, a common broadleaf weed in rice paddies, has evolved resistance to acetolactate synthase-inhibiting herbicides (e.g., bensulfuron-methyl [BSM]). However, genomic information for M. korsakowii remains scarce. Here, the first chromosome-scale genome assembly of the allotetraploid M. korsakowii is presented. Comparative genomics reveals a complex genomic architecture that explains its enhanced adaptation to herbicides. No evidence of global subgenome dominance is found; instead, the two subgenomes exhibit functional specialization. Genes preferentially expressed in subgenome A are enriched in pathways related to maintaining energy and physiological homeostasis, whereas those in subgenome B are mainly associated with non-target-site pathways, particularly reactive oxygen species scavenging. Furthermore, sequence analysis shows that tandem duplicates are significantly enriched for herbicide metabolism-related functions, suggesting a potential role for tandem duplication in the evolution of herbicide resistance. Transcriptomic and functional analyses identify a glutathione S-transferase gene (MkoA03G003170) as a key factor conferring metabolic resistance to BSM. This study identifies polyploidy-induced genomic plasticity as a potential factor in resistance, providing a foundational genomic resource for understanding weed adaptation and developing sustainable management strategies.",Needs manual review before database use,NEW_CANDIDATE,
42012572,10.1007/s12640-026-00799-x,2026,"Trifloxystrobin-Induced Neurotoxicity in Wistar Rats: Biomarkers of Oxidative Stress, Cholinergic Dysfunction, and DNA Damage.",Neurotoxicity research,Chaabani H; Mnassri A; Rich S; Rjiba K; Massoudi I; Guedri Y; Mokni M; Abid S,Journal Article,"Trifloxystrobin (TFX), a broad-spectrum fungicide, inhibits mitochondrial Complex III. While widely used, its neurotoxic mechanisms in mammalian systems remain poorly characterized. This study investigated TFX-induced neurotoxicity in male Wistar rats following 28-day oral exposure to 3, 6, 12, and 24 mg/kg/bw (corresponding to NOAEL/2, NOAEL, NOAEL × 2, and NOAEL × 4). We evaluated dose-dependent effects on brain histopathology, cholinergic function, lipid metabolism, oxidative stress, and DNA integrity. TFX exposure induced significant histopathological alterations, including neurodegeneration, cellular infiltraion, and blood congestion. It also produced a dose-dependent impairment of cholinergic neurotransmission, indicated by suppressed acetylcholinesterase activity, which correlated with observed reduced motor activity and hindlimb strength. Furthermore, TFX disrupted lipid homeostasis by elevating total cholesterol, LDL-C, and HDL-C, while reducing triglycerides. Oxidative stress was evident through increased lipid peroxidation and protein carbonylation, accompanied by altered activities of key antioxidant enzymes (SOD, CAT, GPx, GST). The Comet assay confirmed dose-dependent DNA fragmentation, demonstrating TFX's genotoxic potential. These findings elucidate multiple pathways of TFX-induced neurotoxicity and highlight the need for further investigation into the long-term neurological risks of this fungicide.",Needs manual review before database use,NEW_CANDIDATE,
42009740,10.1038/s41598-026-45372-w,2026,"Biochemical and molecular responses of Spodoptera frugiperda to insecticide exposure: detoxification enzymes, gene expression, and genotoxic effects.",Scientific reports,El-Ansary RE; El-Lebody KA; Aburawash RA; Mahmoud SH; El-Sayed GM; Hussein MI,Journal Article,"Spodoptera frugiperda (fall armyworm) is a highly destructive agricultural pest with a remarkable ability to develop resistance to insecticides, posing a severe threat to global food security. Understanding the physiological and molecular responses of this species to insecticide exposure is crucial for improving resistance monitoring and developing effective management strategies. In this study, the toxicity and the associated biochemical, molecular, and genotoxic responses of third-instar S. frugiperda larvae were investigated following exposure to four commonly used insecticides: emamectin benzoate, indoxacarb, methomyl, and a binary mixture of acetamiprid + bifenthrin. Toxicity bioassays showed that emamectin benzoate was the most potent insecticide (LC50 = 0.188 ppm/L), whereas the binary mixture exhibited the highest resistance coefficient (RC = 12.86) relative to the recommended field dose. Biochemical analyses conducted over a seven-day exposure period, significant metabolic alterations were observed. Reduced acetylcholinesterase (AChE) and carboxylesterase (CarE) activities suggested neurotoxic stress, Whereas elevated glutathione S-transferase (GST) and peroxidase (POD) activities reflected enhanced detoxification and oxidative stress responses. Gene expression analyses revealed significant upregulation of SFCYP1, SFCYP2, SFCYP4, SFCYP5, SFRYR, and EF1α, while SFCYP3 was consistently downregulated, indicating activation of detoxification and stress-related pathways. Genotoxic effects were assessed using the comet assay, which demonstrated significant DNAdamage in hemocytes of treated larvae. This damage was characterized by increased tail length, tail DNApercentage, and tail moment, particularly in individuals exposed to emamectin benzoate. Collectively, these findings indicate that sublethal insecticides exposure not only disrupts enzymatic homeostasis but also induces genotoxic stress. These findings demonstrate that S. frugiperda exhibits complex adaptive physiological and molecular responses that may contribute to resistance development under sustained insecticide selection pressure. Overall, the results provide integrated biochemical and molecular insights that can support future investigation into insecticide response mechanisms and improve resistance monitoring strategies for this economically important pest.",Needs manual review before database use,NEW_CANDIDATE,
42009148,10.1016/j.etap.2026.105027,2026,"Synergistic effects of two commonly used personal care products, benzophenone-3 (BP-3) and N,N-diethyl-meta-toluamide (DEET), on amphibian survival and development.",Environmental toxicology and pharmacology,Peluso J; de la Torre M; Teglia CM; Gutierrez FA; Aronzon CM,Journal Article,"The UV filter benzophenone 3 (BP-3) and the insect repellent N,N-diethyl-meta-toluamide (DEET) are considered emerging contaminants due to the growing concern about their release in aquatic environments and possible risks. The single and mixture toxicity of BP-3 and DEET in embryos and larvae of Rhinella arenarum was assessed. Lethality bioassays were conducted, and biomarkers (catalase, glutathione S-transferase, reduced glutathione, lipid peroxidation, acetylcholinesterase, and butyrylcholinesterase) were analyzed at environmentally relevant concentrations (1 and 5 µg/L). Toxicity was time and stage-dependent, with embryos more sensitive than larvae. BP-3 was more toxic, (504h-LC50: 0.076 mg/L for embryos, 1.22 mg/L for larvae) than DEET (504h-LC50: 24.35 mg/L for embryos, 55.23 mg/L for larvae). Mixture exposure produced synergistic effects. Oxidative stress and cholinergic alterations were observed for both compounds. The 1 µg/L mixture potentiated GST and AChE responses. These results emphasize the need to monitor these contaminants and evaluate their ecological risks.",Needs manual review before database use,NEW_CANDIDATE,
41996798,10.1016/j.jhazmat.2026.142062,2026,Toxic effects induced by individual and combined exposures of glyphosate and POEA in honey bees.,Journal of hazardous materials,Gao Z; Zhou X; Liu D; Yuan H; Xu X; Zhu J; Sen Pang; Lu H,Journal Article,"Pesticide exposure remains a major driver of pollinator population decline. However, there is limited understanding of the combined toxicity of active ingredients and their adjuvants, particularly regarding its environmental risks to honey bees (Apis mellifera L.). In this study, we found that the POEA exhibited significantly higher toxicity than glyphosate. Acute toxicity tests showed that the 48-hour oral LD₅₀ for POEA and co-exposure with glyphosate was 51.306 μg·bee⁻¹ and 41.548 μg·bee⁻¹ , respectively, significantly lower than that of glyphosate (>200 μg·bee⁻¹). Both the adjuvant POEA and the co-exposure treatments with glyphosate were more toxic than glyphosate alone, while indicating a synergistic toxic effect of the co-exposure. Following chronic exposure to medium and high doses of Gly, POEA or co-exposure, it exhibited significant midgut damage and an increased rate of apoptotic cells. Further biochemical analysis revealed that the co-exposure induced oxidative stress (elevated SOD and MDA), suppressed immune (PPO) and detoxification (GST, CarE) enzyme activities, an effect which was significantly more pronounced than that induced by Gly or POEA individual exposure. Transcriptomic analysis to define the toxicity mechanisms revealed that all treatments disrupted the tricarboxylic acid cycle. Notably, the co-exposure uniquely upregulated phototransduction and visual perception pathways, implying a potential risk to foraging and homing behaviors. These findings demonstrate that POEA and its co-exposure with glyphosate threaten honey bee survival and cause tissue damage. This work provides critical methodologies and insights for improving pesticide risk assessments and guiding the rational use of adjuvants to safeguard pollinators.",Needs manual review before database use,NEW_CANDIDATE,
