pmid,doi,year,title,journal,authors,publication_types,abstract,manual_review_status
42308425,10.1021/acs.jafc.6c03165,2026,Indolylurea,Journal of agricultural and food chemistry,Cai X; Yang M; Ma G; Wu D; Pu X; Liu J; Xie X; Wang Z,Journal Article,"The turnip mosaic virus (TuMV) is an RNA virus that poses a significant threat to crops. The coat protein (CP) plays a crucial role in the viral life cycle, including mediating host infection and cell-to-cell movement, which makes it an ideal target for antiviral drug development. In this study, a series of structurally diverse synthetic indolylureas were screened against TuMV CP using high-throughput methods such as isothermal titration calorimetry (ITC) and microscale thermophoresis (MST). This led to the identification of compound SST21, which exhibits a high affinity for TuMV CP. Further experiments revealed that SST21 also binds to other homologous coat proteins from the Potyvirus genus, suggesting its potential as a broad-spectrum antiviral agent. Through molecular docking and point-mutation validation, the H183A residue in TuMV CP was identified as a key site for SST21 binding. In vivo experiments demonstrated that SST21 exhibits superior antiviral activity compared with ningnanmycin. Transmission electron microscopy observations indicated that SST21 disrupts the viral particle integrity. Additionally, omics analysis and defense enzyme activity assays showed that this compound was also found to modulate the plant immune responses. Together, these findings provide new insights into and experimental evidence for the development of novel plant antiviral strategies.",Needs manual review before database use
42307628,10.1021/acs.jnatprod.6c00195,2026,Structural Characterization of the l-Homo-Tyrosine β-Hydroxylase EcdG Involved in Echinocandin Biosynthesis Guides the Engineering of Its Homologous Protein GloM.,Journal of natural products,Liu W; Yang G; Tian Z; Fang P; Tang Z; Liu W,Journal Article,"β-Hydroxy-amino acids are key structural motifs of many bioactive natural products, but enzymatic β-hydroxylation of an aromatic amino acid appears to be uncommon. In known cases, this reaction typically occurs on a residue residing in a peptide scaffold or tethered on a carrier protein via a thioester linkage. EcdG, an α-ketoglutarate/Fe(II)-dependent dioxygenase involved in the biosynthesis of echinocandins, is an exception, catalyzing the stereoselective β-hydroxylation of a free l-homotyrosine amino acid. Here, we report a comprehensive structural and mechanistic study of EcdG and use knowledge gained from this study for functional modulation of the homologous protein GloM. High-resolution crystal structures of EcdG in complex with α-ketoglutarate and l-homotyrosine were determined. With the association of site-directed mutagenesis, the molecular basis for substrate recognition and the regio- and stereoselectivity of EcdG was revealed and then used to guide the engineering of GloM. The substrate specificity and oxidation capability of this homologous protein were altered, enabling selective transformation of the unnatural substrate l-homophenylalanine to either a β-hydroxyl product or a γ-keto product. This work provides mechanistic insights into a type of uncommon β-hydroxylase and expands the enzymatic toolbox for selective oxidative functionalization of a free aromatic amino acid.",Needs manual review before database use
42304611,10.1002/ps.71017,2026,Molecular mechanism of butylidenephthalide against Sclerotium rolfsii with affecting energy metabolism.,Pest management science,Mao X; Zhao X; Chen L; Zhang R; Ren S; Cao T; Wang Q; Liu H,Journal Article,"BACKGROUND: Given the resistance of plant pathogenic fungi to traditional chemical fungicides and the associated risks to human and environmental safety, there is an urgent need for safe and effective alternative fungicides. Butylidenephthalide, an active compound from Ligusticum chuanxiong essential oil, exhibits potent antifungal activity against Sclerotium rolfsii, a destructive plant pathogen that causes stem rot in peanuts. However, the molecular mechanism of butylidenephthalide against S. rolfsii remains unclear. RESULTS: Treatment with 20 mg L-1 butylidenephthalide caused cytoplasmic dissolution and intracellular leakage in S. rolfsii mycelia, indicating disruption of cellular structure. Enzyme activity assays revealed a significant reduction in malate dehydrogenase (MDH) activity, with a 91.03% decrease at 100 mg L-1. Additionally, butylidenephthalide induced an increase in hydrogen peroxide (H₂O₂) levels, indicating the induction of oxidative stress in S. rolfsii. Transcriptomic results indicated that a total of 1477 differentially expressed genes (DEGs) were detected in the mycelia of S. rolfsii treated with butylidenephthalide for 12 h, including 521 up- and 956 downregulated genes. Transcriptomic and metabolomic analyses revealed that butylidenephthalide treatment resulted in the enrichment of DEGs primarily in pathways related to energy metabolism, cell membrane metabolism, the antioxidant system, ATP-binding cassette (ABC) transporters and mitogen-activated protein kinases (MAPK) signaling. Additionally, butylidenephthalide interfered with the tricarboxylic acid (TCA) cycle and oxidative phosphorylation pathways, which are associated with mitochondrial function. CONCLUSION: Our results demonstrated the molecular mechanism of natural phthalide compound butylidenephthalide and application potential as an alternative agent to control S. rolfsii. © 2026 Society of Chemical Industry.",Needs manual review before database use
42303666,10.1038/s41598-026-55623-5,2026,Optimized atrazine biodegradation in Egyptian soils via native bacterial isolates and molecular insights using different statistical methods.,Scientific reports,Shamseldin A; Ibrahim ES; Sabery SA; Gozalan H,Journal Article,"Forty four bacterial candidates isolated from Egyptian atrazine polluted soil sites, were examined to select atrazine bio-degraders. Among them thirty four were proved their ability to use it as nitrogen source. Strains HA19 and A7 gave the highest efficient rate to biodegrade atrazine with efficiency of 81% and 81.3%. They were identified and belonging taxonomically to Klebsiella sp. and Ochrobactrum sp. according to sequencing of 16S rRNA and phylogenetic analysis. Both of them confirmed their possession of atrazine degrading genes like atzA, atzC and atzD while atzB was appeared as faint band with strain A7 only. HPLC analysis indicated that the two strains degraded atrazine via the pathway of producing deethylatrazine as an important intermediate. Thus interesting data revealed the possibility of acquisition of these strains for two couples of atrazine degrading mechanisms located on chromosomal and plasmid sites. Applying the advanced statistical method of response surface methodology (RSM) based on central composite design (CCD) model has contributed to increase the biodegradation process with both strains by a rate of (94.2%) and (96.7%) on respectively. For our knowledge this article is one of condensed work and applicable way that will introduce bio safety solution for bioremediating atrazine and reducing its toxicity in agricultural polluted fields, as there is little reports from Egypt published before concerning atrazine bioremediation.",Needs manual review before database use
42301304,10.1021/acs.jafc.5c17317,2026,Decoding Volatile Organic Compounds' Signatures of 14,Journal of agricultural and food chemistry,Panda NK; Purohit S; Mahanty A; Salaskar D; Mondal S; Pandit E; Bag MK; Mukherjee AK,Journal Article,"Volatile organic compounds (VOCs) produced by Trichoderma spp. play a pivotal role in the biocontrol of phytopathogens. In this study, VOC profiles were characterized from 14 isolates representing eight Trichoderma species, and their antifungal activity was evaluated against Sclerotium oryzae and Rhizoctonia solani. The isolates CRRI-T5 (T. atroviride) and NRRI-T27 (T. reesei) were found to be the most potent isolates. VOCs of potent isolates were enriched in short-chain esters, alcohols, ketones, lactones, and monoterpenes. Orthogonal partial least-squares (OPLS) analysis showed that compounds 2-heptanone, 6-pentyl-α-pyrone (6-PP), p-dichlorobenzene, δ-dodecalactone, and 1-octanol were linked to inhibition of both pathogens. 6-PP showed the strongest antifungal effect against both S. oryzae and R. solani, with 3-methyl-1-butanol showing activity against S. oryzae. Molecular docking studies showed that these compounds could inhibit the activities of the enzymes trehalase, pectate lyase, and cytochrome P450 (CYP51). This integrated approach helped to identify antifungal VOCs of Trichoderma strains.",Needs manual review before database use
42300228,10.1021/acs.jafc.6c02002,2026,Catalytic Promiscuity Underpins Metabolic Resistance to Auxinic Herbicides in,Journal of agricultural and food chemistry,Chayapakdee P; Hengphasatporn K; Yamaguchi T; Su D; Dimaano NG; Shigeta Y; Sunohara Y; Matsumoto H,Journal Article,"Auxinic herbicides remain essential for weed control, yet metabolic resistance to these herbicides is poorly understood. Here we show that catalytically promiscuous CYP81A P450s from Echinochloa phyllopogon detoxify auxinic herbicides. Arabidopsis thaliana expressing CYP81A12 or CYP81A21 showed decreased sensitivity to quinclorac. In an Escherichia coli whole-cell assay, these enzymes produced a putative hydroxylated quinclorac metabolite. Docking and 300 ns molecular dynamics simulations indicated that active CYP81As maintain quinclorac in a productive pose close to the heme, with pocket geometry and water exclusion enabling precise substrate-heme alignment, whereas the inactive CYP81A18 retains quinclorac farther from the catalytic center. Consistent with resistant E. phyllopogon, transgenic Arabidopsis expressing CYP81A12 or CYP81A21 produced less ethylene after quinclorac treatment, linking detoxification to suppressed auxinic phytotoxic responses. CYP81As also conferred resistance to florpyrauxifen-benzyl and 2,4-D, highlighting cross-resistance across auxinic chemistries. These findings reveal a structural basis for CYP81A-mediated catalytic promiscuity underlying metabolic resistance to auxinic herbicides.",Needs manual review before database use
42297623,10.1021/acs.jafc.6c03669,2026,Shikonin Targets Dihydroorotase to Inhibit the Growth and Virulence of Phytopathogenic Fungi.,Journal of agricultural and food chemistry,Wu Z; Li J; Zhu T; Li X; Liu J; Wang D,Journal Article,"Fungal diseases seriously threaten global crop production, highlighting the need for fungicides with novel modes of action. Here, we show that shikonin exerts antifungal activity by targeting dihydroorotase (DHOase). Shikonin significantly inhibited mycelial growth, spore germination, and appressorium formation in representative phytopathogenic fungi in vitro. Biophysical analyses showed that shikonin directly binds to the DHOase of Magnaporthe oryzae (MoPyr4), with dissociation constants of 3.084, 1.22, and 1.26 μM determined by MST, SPR, and ITC, respectively. Molecular docking and mutagenesis identified R90, N178, and H320 as key binding residues. Consistently, deletion of MoPYR4 in M. oryzae reduced sensitivity to shikonin. In planta, shikonin restricted invasive hyphal growth in rice cells and showed both protective and curative activities against rice blast disease. Shikonin also bound to and inhibited the DHOases of Fusarium graminearum and Fusarium oxysporum, indicating broad-spectrum antifungal potential. These findings identify fungal DHOase as a promising target for fungicide development.",Needs manual review before database use
42296755,10.1016/j.ijfoodmicro.2026.111880,2026,Mechanisms underlying the antifungal activity of diethylthiosulfinate against marrow squash wet rot caused by Fusarium solani.,International journal of food microbiology,Liu C; Zhang J; He H; Wang Q; Kong F; Wang C; Wang L; Wang X,Journal Article,"Fusarium solani is the primary etiological agent of post-harvest wet rot in marrow squashes, causing severe decay and economic losses. This study investigated the antifungal efficacy and underlying mechanisms of diethylthiosulfinate (DETS), a structural analogue of allicin, against F. solani. In vitro assays demonstrated that DETS exhibited potent fungicidal activity with a minimum inhibitory concentration (MIC) of 0.2 g·L-1, completely suppressing mycelial growth and conidial germination. Mechanistically, DETS disrupted fungal cell membrane integrity by inducing intracellular reactive oxygen species (ROS) accumulation and lipid peroxidation. Furthermore, it significantly inhibited the activity of pathogen-secreted cell wall-degrading enzymes (CWDEs) and antioxidant enzymes, thereby attenuating pathogenicity. In vivo, DETS treatment (0.2 g·L-1) effectively controlled decay in inoculated squash, reducing disease incidence to 18% and the disease index to 6% after 15 d of storage (significantly lower than the control group). This protective effect was attributed to the preservation of host cell wall structural integrity via the inhibition of fruit softening enzymes and the promotion of lignin accumulation. Collectively, these findings identify DETS as a promising, dual-action preservative for the sustainable management of post-harvest diseases in cucurbits.",Needs manual review before database use
42296460,10.1021/acs.jafc.6c02258,2026,Multiomics Analysis Reveals Coordinated Molecular and Physiological Changes during Light-Induced Primordium Initiation in,Journal of agricultural and food chemistry,Zhu S; Yang Y; Liu L; Cheng H; Xu S; Ding Y; Wen T; Li Y,Journal Article,"Light is a key cue for primordium initiation in basidiomycetes, but the downstream molecular coordination remains unclear. Here, we integrated DIA proteomics, untargeted LC-MS/MS metabolomics, enzymatic assays, and multistrain phenotyping to characterize light-associated primordium initiation in Lentinula edodes. Light-exposed primordium-forming tissues showed 1,521 differentially expressed proteins enriched in redox/cofactor metabolism, proteostasis, membrane/lipid remodeling, cell-wall reorganization, and translation. Metabolomics revealed coordinated changes in cofactor biosynthesis, ABC transporters, aminoacyl-tRNA metabolism, and sugar interconversion. Enzymatic assays showed increased NADPH oxidase and pyruvate decarboxylase activities, reduced superoxide dismutase, alcohol dehydrogenase, and Complex V activities, supporting redox remodeling and altered pyruvate-node metabolism while requiring future ROS and flux validation. Across 57 strains, directional illumination confined primordia to illuminated zones, reduced primordium number and total yield, but increased individual fruiting-body weight. These findings support a working ""Signal-Supply-Structure"" framework for fungal photomorphogenesis and light-regime optimization.",Needs manual review before database use
42295689,10.1007/s11030-026-11609-z,2026,"Design, synthesis, antibacterial activity evaluation, and mechanism of action study of novel pyrrolidine derivatives containing sulfonamide structures.",Molecular diversity,Xia T; Li L; Wang X; Li J; Chen Y; Yu L; Lv X; Bai S,Journal Article,"Bacterial biofilms serve as innate protective frameworks, sheltering embedded microbes to sustain their survival while potentially enhancing antimicrobial resistance by blocking bactericide penetration. While extensive research has focused on planktonic bacteria, biofilm recalcitrance remains understudied, leaving conventional antimicrobials often ineffective against these sessile communities. This underscores an urgent need for next-generation agents with specialized biofilm-inhibiting properties to enabling effective antibacterial therapy; in this study, we used pyrrolidine-3-carboxylic acid as a starting material to synthesize a series of sulfonamide-containing pyrrolidine derivatives via an active coupling reaction. Compound A14 exhibited the strongest activity, with an EC₅₀ value of 38.33 μg/mL against Xanthomonas oryzae pv. oryzae (Xoo). Mechanistic investigations revealed that A14 suppresses extracellular polymeric substance (EPS) biosynthesis and bacterial motility-key drivers of pathogenicity, biofilm development, and plant cell wall degradation. Conductivity measurements and protein leakage assays confirmed that A14 disrupts multiple Xoo physiological functions, positioning it as a promising antimicrobial candidate targeting core mechanisms of bacterial plant diseases.",Needs manual review before database use
42283884,10.1007/s10482-026-02354-2,2026,Computational identification of inhibitors from Aegle marmelos leaf extract targeting ergosterol biosynthesis ERG4/ERG24 enzyme and serine proteases for combatting mancozeb-resistant Fusarium.,Antonie van Leeuwenhoek,Aftabul Alam S; Chakraborty S; Baindara P; Mandal SM,Journal Article,"Fusarium species are major phytopathogens responsible for economically significant diseases such as vascular wilt, root rot, and necrosis in diverse crops. The increasing incidence of mancozeb-resistant strains has complicated disease management, underscoring the need for sustainable alternative or complementary strategies. In this study, phytochemicals from Aegle marmelos were evaluated against Fusarium spp. using an integrated computational approach combining molecular docking and molecular dynamics (MD) simulations. The ergosterol biosynthesis ERG4/ERG24 family enzyme (ERG) and serine protease (SEP) were selected for the first time as molecular targets to assess antifungal potential. Lupeol, not previously investigated in this context, was subjected to a 100 ns MD simulation to evaluate the stability and dynamic behaviour of the protein-ligand complexes. The simulation results revealed a good stability in the formation of complexes with lupeol, a finding that was further validated through Principal Component Analysis (PCA) and MMPBSA calculations. The ΔG binding values calculated by MMPBSA for the lupeol-ERG and lupeol-SEP interactions were found to be - 33.06 ± 3.10 and - 19.60 ± 3.43 kcal/mol, respectively. Complementary in vitro assays revealed that the combined application of A. marmelos leaf extract and mancozeb produced the highest inhibition of mycelial growth of Fusarium sp. strain AA1, accompanied by pronounced morphological deformities, including distorted and collapsed conidia. Collectively, this multi-level validation establishes a novel framework for developing plant-based antifungal strategies to combat mancozeb-resistant Fusarium. Moreover, the synergistic use of plant extract with reduced fungicide dosage offers a sustainable approach that may lower chemical inputs while advancing the development of eco-friendly antifungal strategies for agricultural applications.",Needs manual review before database use
42275093,10.1021/acs.jafc.6c02712,2026,ATP Synthase Subunit b Binds Cry2Ab and Mediates Its Toxicity in,Journal of agricultural and food chemistry,Yang X; Fu Y; Ye J; Zhao X; Bai X; Wang M; Jiang H; Yuan X,Journal Article,"The oriental fruit moth (Grapholita molesta), a worldwide fruit tree pest, can be effectively controlled by Bacillus thuringiensis (Bt), with the insect peritrophic membrane (PM) serving as a key target for such control. This study investigates the role of the key PM protein ATP synthase subunit b (GmolATPs-b) in the molecular mechanism of Cry2Ab toxin toxicity. GmolATPs-b was found to be highly expressed in fourth larval midguts, and its expression is downregulated upon Cry2Ab exposure. Ligand blotting, competitive experiments, and molecular docking confirmed specific binding between GmolATPs-b and activated Cry2Ab. Heterologous expression in Sf9 cells enhanced susceptibility to Cry2Ab, whereas larval RNAi knockdown reduced it. In vivo assays showed that cofeeding purified GmolATPs-b with Cry2Ab increased larval mortality. This study demonstrates that GmolATPs-b is a functional target of Cry2Ab, binding specifically to the toxin and enhancing its insecticidal effect, thus establishing a molecular basis for novel biopesticides against G. molesta.",Needs manual review before database use
42269938,10.1016/j.mimet.2026.107584,2026,Development and application of a fast and efficient CRISPR/Cas12f -based genetic toolkit in Bacillus cereus GW-01.,Journal of microbiological methods,Wei E; Tang Y; Lei Y; Liu S; Xu B; Du B; Wang Y; Liao Y,Journal Article,"Bacillus cereus GW-01, an efficient degrader of β-cypermethrin (β-CY), has a high safety profile and probiotic potential for regulating intestinal flora and fermented foods, which is difficult to genetically engineer for modification due to its restrictive modification system. This study successfully developed a CRISPR/enCas12f-based genome editing system, first selecting the plcR gene for proof-of-concept validation with 100% knockout efficiency. Subsequently, this system was utilized to delete the virulence gene nheABC in GW-01, yielding a safer probiotic strain. Compared with the wild-type strain GW-01, the probiotic-related indicators of the ΔnheABC mutant, including cell surface hydrophobicity, auto-aggregation ability and biofilm formation ability, were 80%, 90% and 2.9 (OD₅₉₅), respectively. There were no significant differences in these indicators between the mutant and the wild type. Meanwhile, the ΔnheABC mutant still maintained a high β-cypermethrin degradation efficiency of 80% at the concentration of 30 μg/mL. This work facilitates functional genomic research and genetic modification of Bacillus cereus GW-01. The established CRISPR/enCas12f system enables targeted gene deletion to explore gene functions and phenotypic mechanisms, and paves the way for its development into safe probiotics and excellent microbial chassis.",Needs manual review before database use
42268909,10.1371/journal.ppat.1014320,2026,A chemical bactericide dioctyldiethylenetriamine (Xinjunan) exerts a non-lethal effect by inhibiting RpfG activity to regulate the quorum sensing system.,PLoS pathogens,Jin L; Chen X; Pang C; Huang Y; Ji C; Zhang Y; Liu X; Sun Y,Journal Article,"Bacterial diseases pose a major threat to global agriculture and food security. Bactericides are highly effective in disease control due to their direct antibacterial effect. However, it causes ""life or death"" selection pressure on the target bacteria and can lead to bactericide resistance. Quorum sensing inhibitors exert indirect antibacterial effect that weakens their virulence and combined use of bactericides and quorum sensing inhibitors demonstrated more significant disease control than a single agent. In this study, dioctyldiethylenetriamine, a bactericide that has previously been proven to have a direct antibacterial effect, exhibited an indirect antibacterial effect that weakened bacterial virulence. Using transposon sequencing, we found that the quorum sensing system, which is closely related to virulence in Xanthomonas oryzae pv. oryzae (Xoo, PXO99A), was significantly affected by dioctyldiethylenetriamine. It was further found that RpfG, which is responsible for transduction of the quorum sensing signal molecules in PXO99A, was significantly inhibited at both transcriptional and translational levels after dioctyldiethylenetriamine treatment, resulting in impaired phosphodiesterase activity, which in turn caused bacterial quorum quenching (QQ). QQ not only weakened the virulence of the bacteria, but also reduced their motility, which could effectively prevent the bacteria from escaping the direct antibacterial effect of dioctyldiethylenetriamine, thus providing a more effective control effect. Finally, we found that the QQ induced by dioctyldiethylenetriamine appeared to be specific, occurring in a subset of bacteria containing RpfG. The interspecific competitiveness within the same ecological niche also appeared to be weakened, which was accompanied with QQ. These findings have enriched our understanding of the antibacterial mechanism of bactericides and provided a theoretical basis for the scientific and rational use of bactericides as well as the development of ""RpfG-based"" indirect antibacterial agents with both efficient antibacterial activity and ecological safety.",Needs manual review before database use
42267947,10.1021/acs.jafc.5c14425,2026,"Design, Synthesis, and Fungicidal Activity of Pyrimidinamine Derivatives as Novel Complex I Inhibitors.",Journal of agricultural and food chemistry,Jia WF; Xia YS; Lu QH; Wang W; Lv EM; Zhang JW; Jin S; Xu YQ,Journal Article,"To develop novel fungicides targeting complex I, a series of pyrimidinamine derivatives bearing a dichloropropene ether moiety were designed and synthesized via the intermediate derivatization method. Their structures were confirmed by 1H/13C NMR, elemental analysis, HRMS, and single-crystal X-ray diffraction. Bioassays showed that several compounds exhibited excellent activity against wheat powdery mildew. Notably, compound 3 (EC50 = 0.440 mg/L) was significantly more potent than propiconazole (EC50 = 5.99 mg/L) and diflumetorim (EC50 = 4.12 mg/L). Structure-activity relationships were analyzed and further supported by molecular docking. DFT calculations indicated higher reactivity and stronger protein-binding ability for compound 3, consistent with its bioactivity. Transcriptome analysis of Blumeria graminis revealed differentially expressed genes (DEGs) enriched in pathways related to complex I, suggesting it as the potential target. Overall, compound 3 could be a promising agrochemical fungicide candidate for further development.",Needs manual review before database use
42264769,10.1016/j.pestbp.2026.107175,2026,Transcriptomic and physiological evidence for magnolol antifungal activity against fusarium oxysporum f. sp. cubense tropical race 4.,Pesticide biochemistry and physiology,Zhang W; Liu Y; Ahmad M; Huang H; Liu S; Xiang D; Liu Y; Huang H,Journal Article,"Banana Fusarium wilt, caused by Fusarium oxysporum f. sp. cubense Tropical Race 4 (Foc TR4), ranks among the most devastating soil-borne fungal diseases. Prolonged use of single-target fungicides can lead to environmental contamination, resistance evolution, and limited efficacy due to the narrow range of target sites. Therefore, discovering an environmentally friendly fungicide with a novel mechanism of action and multiple targets is crucial for achieving sustainable disease management of banana Fusarium wilt. In this study, six plant-derived compounds were screened for antifungal activity, identifying magnolol (MAG) as the most effective inhibitor, with an EC50 value of 18.17 μg·mL-1. MAG significantly suppressed mycelial growth and conidial germination in vitro and markedly reduced disease incidence and severity in banana seedlings. Integrated transcriptomic and physiological analyses revealed that MAG disrupts membrane integrity, redox homeostasis, and energy metabolism, accompanied by suppression of RNA processing and ribosome biogenesis. Ultrastructural damage, membrane depolarization, and the study of antioxidant enzyme activity further confirmed the severe membrane disruption and the induction of ROS accumulation. Moreover, MAG exhibited broad-spectrum antifungal activity against multiple Fusarium oxysporum formae speciales and Foc races. Collectively, these findings highlight the multi-target antifungal mechanism of MAG, positioning it as a promising and eco-friendly candidate for controlling banana Fusarium wilt, offering a sustainable alternative to conventional chemical treatments. The broad-spectrum activity and low toxicity of MAG make it a potentially key component in future disease management strategies, particularly in reducing pesticide dependence and environmental pollution.",Needs manual review before database use
42264765,10.1016/j.pestbp.2026.107170,2026,"Synergistic toxicity of abamectin with nanoplastics in rainbow trout mediated by gut-liver axis disruption: Insights into oxidative stress, metabolic dysregulation, and microbiota change.",Pesticide biochemistry and physiology,Shang Y; Zhao S; Wang Z; Ye Q; Dong X; Gan L; An M; Jiang H,Journal Article,"Abamectin (ABM), a widely used pesticide in aquaculture, may interact with pervasive environmental contaminants like nanoplastics (NPs), potentially altering its toxicity to non-target organisms. This study investigated the synergistic effects and underlying mechanisms of polystyrene NPs and ABM at environmentally relevant concentrations in juvenile rainbow trout (Oncorhynchus mykiss) during a 28-day exposure. Compared to ABM alone, co-exposure with NPs induced significantly greater synergistic toxicity. This was evidenced by exacerbated intestinal barrier dysfunction, including downregulation of tight junction proteins (Occludin, Claudin-23, ZO-1) and a shift in the gut microbiota characterized by the enrichment of potential pathogens, such as Neochlamydia. In the liver, the combined exposure markedly enhanced oxidative stress and inflammatory responses. Untargeted metabolomics further revealed that the co-exposure disturbed fundamental metabolic pathways more profoundly than either contaminant alone, particularly affecting amino acid, carbohydrate, and nucleotide metabolism. Critically, correlation analyses integrated gut microbiota dysbiosis with hepatic metabolic disorders, supporting a pivotal role for gut-liver axis disruption in the synergistic toxicity. Our findings demonstrate that NPs can act as an aggravating factor, significantly potentiating the physiological and toxicological impacts of ABM on fish via interconnected intestinal and hepatic pathways. This study provides crucial mechanistic insights for the risk assessment of pesticide interactions with emerging contaminants in aquatic environments.",Needs manual review before database use
42264762,10.1016/j.pestbp.2026.107165,2026,Streptochlorin from Streptomyces youssoufiensis YMF3.862 as a potential ecological fungicide for controlling Fusarium head blight on wheat.,Pesticide biochemistry and physiology,Chen M; Ma CX; Dieuveille MG; Zhang XM; Wang L; Ma L; Cao Y; Yang ZX,Journal Article,"Fusarium head blight (FHB), caused by Fusarium graminearum, is one of the most devastating fungal diseases of cereal crops, resulting in substantial yield losses and mycotoxin contamination. In this study, streptochlorin, which showed broad-spectrum antifungal activity against phytopathogens, was isolated from the fermentation supernatant of Streptomyces youssoufiensis YMF3.862. Streptochlorin displayed strong antifungal activity against F. graminearum PH-1 and caused crumpling and collapse of PH-1 conidia and mycelia, as well as conidial devitalization. Transcriptomic analysis suggested that streptochlorin might affect the biosynthesis of the cell membrane and cell wall, and impair peroxisome function, leading to increased ROS. Streptochlorin destroyed the integrity of both the cell wall and the cell membrane, increased intracellular ROS levels, disrupted energy metabolism by inhibiting succinate dehydrogenase (SDH) and NADH oxidase (NOX), and reduced DON production by inhibiting trichothecene gene expression. Furthermore, application of 40 μg/mL streptochlorin provided significant control efficacy against FHB and reduced DON production in both wheat spikelets and grains. These findings suggest that streptochlorin could be used as a potential ecological fungicide for controlling FHB.",Needs manual review before database use
42264756,10.1016/j.pestbp.2026.107158,2026,miR-13a-3p regulates susceptibility to Bacillus thuringiensis Cry1Ac protoxin in Ostrinia furnacalis by targeting OfβGRP3 and suppressing melanization.,Pesticide biochemistry and physiology,Li S; Li F; Wang Z; Fang L; Gao Z; Bi H; Ling S; Feng C,Journal Article,"The melanization cascade, activated by pattern recognition receptors such as β-1,3-glucan recognition proteins (βGRPs), is a key insect immune response implicated in resistance to pathogenic bacteria. However, its post-transcriptional regulation in response to Bacillus thuringiensis (Bt) infection remains poorly characterized. Here, we report that in the Asian corn borer, Ostrinia furnacalis, the core immune receptor gene OfβGRP3 is a direct target of miR-13a-3p. OfβGRP3 expression was induced by Bt Cry1Ac protoxin and functioned as a positive regulator of hemolymph phenoloxidase (PO) activity. In contrast, miR-13a-3p was suppressed by Cry1Ac protoxin and post-transcriptionally downregulated OfβGRP3 via binding to its coding sequence. Functionally, knockdown of OfβGRP3 or overexpression of miR-13a-3p significantly decreased PO activity and increased larval susceptibility to Cry1Ac protoxin. Conversely, inhibition of miR-13a-3p enhanced PO activity and Cry1Ac tolerance. Our findings reveal a novel miRNA-mediated regulatory circuit that fine-tunes the melanization response, significantly influencing Bt Cry1Ac toxicity and offering a potential target for improving pest control strategies.",Needs manual review before database use
42264755,10.1016/j.pestbp.2026.107157,2026,Identification and functional analysis of two novel tpp genes in Bacillus thuringiensis HSY91.,Pesticide biochemistry and physiology,Yang P; Lin Q; Feng X; Wang Y; Liu X; Zhang W,Journal Article,"Bacillus thuringiensis (Bt) is a widely used biocontrol agent, and while research has heavily focused on the coleopteran-active binary toxins Tpp1/Tpp2, other members of the tpp family with insecticidal activity remain largely unexplored. In this study, two novel tpp-like genes, designated tpp92Aa1 and tpp92Ab1, were identified from the Bt HSY91 strain isolated from the Dongzhai Port Nature Reserve, Hainan. Phylogenetic analysis revealed a shared evolutionary origin within the Tpp family, with highly conserved C-terminal pore-forming domains but significant sequence variation in N-terminal motifs. Bioassays against larvae of Spodoptera frugiperda, Plutella xylostella, Ostrinia furnacalis, and Aedes aegypti demonstrated that both Tpp proteins only exhibited toxicity against A. aegypti larvae (Tpp92Aa1: LC50 = 1.84 μg/mL; Tpp92Ab1: LC50 = 1.62 μg/mL), with synergistic mosquitocidal activity observed in combination with Cyt2Aa1. Using a crystal-free Bt mutant expression system, we confirmed that Tpp92Aa1 and Tpp92Ab1 form typical spherical crystals, exhibiting robust thermal stability, resistance to trypsin digestion, and hemolytic activity. These findings enhance our understanding of Tpp protein diversity and their potential for targeted mosquito control.",Needs manual review before database use
42264748,10.1016/j.pestbp.2026.107148,2026,The G143S substitution of cytochrome b confers field resistance to pyraclostrobin in Glomerella cingulata.,Pesticide biochemistry and physiology,Jiang X; Yang Q; Man Y; Ma Y; Lu Y; Liu N; Wang C; Lian S,Journal Article,"Glomerella leaf spot (GLS), caused by Glomerella cingulata, poses a serious threat to apple production. Although the QoI fungicide pyraclostrobin has demonstrated high efficacy in controlling GLS, prolonged and intensive use has led to increasingly severe resistance issues. In this study, we report the first detection of pyraclostrobin resistance in field isolates of G. cingulata in Shandong Province, China, associated with the G143S mutation in Cytochrome b (Cytb). No significant differences in biological fitness were observed between the pyraclostrobin-resistant (G143S) and sensitive isolates in terms of mycelial growth, sporulation, virulence, and stress tolerance. Molecular docking analysis revealed that the G143S substitution decreased the binding affinity between pyraclostrobin and Cytb. Additionally, the G143S mutation conferred cross-resistance to other QoI fungicides, but no cross-resistance was observed with tebuconazole or bromothalonil. These findings provide critical insights for rational and sustainable management of GLS.",Needs manual review before database use
