pesticidedb_protein_id,uniprot_accession,ncbi_protein_accession,status,source_url,local_path
PDBP0187,V5REL3,AHB33639.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0187.pdb
PDBP0200,A0A650APE9,QGN75354.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0200.pdb
PDBP0201,A0A6B9PUU8,QHD56029.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0201.pdb
PDBP0208,P37333,WP_011494299.1,already_exists,,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0208.pdb
PDBP0209,C0LA90,,downloaded,https://alphafold.ebi.ac.uk/files/AF-C0LA90-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0209.pdb
PDBP0210,H9ZVH5,,downloaded,https://alphafold.ebi.ac.uk/files/AF-H9ZVH5-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0210.pdb
PDBP0211,O52063,WP_011117177.1,downloaded,https://alphafold.ebi.ac.uk/files/AF-O52063-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0211.pdb
PDBP0212,P0A433,,downloaded,https://alphafold.ebi.ac.uk/files/AF-P0A433-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0212.pdb
PDBP0213,P0A434,,downloaded,https://alphafold.ebi.ac.uk/files/AF-P0A434-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0213.pdb
PDBP0214,P72156,WP_011117157.1,downloaded,https://alphafold.ebi.ac.uk/files/AF-P72156-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0214.pdb
PDBP0215,P83309,,downloaded,https://alphafold.ebi.ac.uk/files/AF-P83309-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0215.pdb
PDBP0216,P83310,,downloaded,https://alphafold.ebi.ac.uk/files/AF-P83310-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0216.pdb
PDBP0217,P95442,WP_011117160.1,downloaded,https://alphafold.ebi.ac.uk/files/AF-P95442-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0217.pdb
PDBP0218,Q45423,,downloaded,https://alphafold.ebi.ac.uk/files/AF-Q45423-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0218.pdb
PDBP0219,Q52NW7,,downloaded,https://alphafold.ebi.ac.uk/files/AF-Q52NW7-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0219.pdb
PDBP0220,Q841S6,,downloaded,https://alphafold.ebi.ac.uk/files/AF-Q841S6-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0220.pdb
PDBP0228,P51697,,downloaded,https://alphafold.ebi.ac.uk/files/AF-P51697-F1-model_v6.pdb,/Users/nana/Desktop/PepDB/PepDatabase/media/protein_structures/pdb/PDBP0228.pdb
