pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_protein_accession,year,doi,uniprot_accession,sequence_available,collection_category,annotation_basis
Acetamiprid,Streptomyces canus CGMCC 13662,Purified (Kinetics),Hydrolase,Nitrile hydratase,,AnhE,MH921424,2019,10.1021/acs.jafc.8b06513,,,,
Acetamiprid,Streptomyces canus CGMCC 13662,Purified (Kinetics),Hydrolase,Nitrile hydratase,,AnhA,MH921425,2019,10.1021/acs.jafc.8b06513,,,,
Acetamiprid,Ensifer meliloti CGMCC 7333,Whole-cell / Crude,Hydrolase,Nitrile hydratase,,Nhase α-subunit,KF601242,2014,10.1021/jf503557t,,,,
Acetamiprid,Ensifer meliloti CGMCC 7333,Whole-cell / Crude,Hydrolase,Nitrile hydratase,,Nhase β-subunit,KF601243,2014,10.1021/jf503557t,,,,
Acetamiprid,Ensifer meliloti CGMCC 7333,Whole-cell / Crude,Hydrolase,Nitrile hydratase,,Nhase-accessory,KF601244,2014,10.1021/jf503557t,,,,
Acetamiprid,Ensifer adhaerens CGMCC 6315,Purified (Activity),Hydrolase,Nitrile hydratase,,pnhA-α-subunit,MH998515,2019,10.1021/acs.jafc.8b06154,,,,
Acetamiprid,Ensifer adhaerens CGMCC 6315,Purified (Activity),Hydrolase,Nitrile hydratase,,pnhA-β-subunit,MH998516,2019,10.1021/acs.jafc.8b06154,,,,
Acetamiprid,Pigmentiphaga sp. D-2,Purified (Product ID),Amidase,Amidase ,,AceAB,MK424478,2020,10.1128/AEM.02425-19,,,,
Chlorothalonil,Ochrobactrum sp. CTN-11,Whole-cell / Crude,Dehalogenase,Hydrolytic dehalogenase,,gst-like gene,FJ769803,2010,10.1007/s00284-010-9603-8,,,,
Chlorothalonil,Paracoccus sp. XF-3,Purified (Activity),Dehalogenase,Hydrolytic dehalogenase,,Chd,KM051531,2015,10.1016/j.jbiosc.2015.03.013,,,,
Chlorothalonil,Pseudomonas sp. CTN-3,Purified (Activity),Dehalogenase,Hydrolytic Dehalogenase,,Chd,GQ292539,2010,10.1128/JB.01547-09,,,,
Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),Dehalogenase,HCH dehydrochlorinase,,linX and linA1,AY150579 ,2002,10.1128/AEM.68.12.6021-6028.2002,,,,
Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),Dehalogenase,HCH dehydrochlorinase,,linA2,AY150580,2002,10.1128/AEM.68.12.6021-6028.2002,,,,
Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),Dehalogenase,HCH dehydrochlorinase,,linB,AY150581,2002,10.1128/AEM.68.12.6021-6028.2002,,,,
Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),Dehalogenase,HCH dehydrochlorinase,,linC,AY150582 ,2002,10.1128/AEM.68.12.6021-6028.2002,,,,
Lindane,Sphingomonas paucimobilis B90,Recombinant (Activity),Dehalogenase,HCH dehydrochlorinase,,linD,AY150583,2002,10.1128/AEM.68.12.6021-6028.2002,,,,
Lindane, Sphingomonas paucimobilis UT26 ,Purified (Kinetics),Dehalogenase,γ-hexachlorocyclohexane dehydrochlorinase,,linA,Not available,1999,10.1128/JB.181.17.5409-5413.1999,,,,
Lindane, Sphingomonas paucimobilis UT26 ,Purified (Kinetics),Dehalogenase,"1,3,4,6-tetrachloro-1,4-cyclohexadiene halidohydrolase",,linB,Not available,1999,10.1128/JB.181.17.5409-5413.1999,,,,
Lindane,Sphingobium sp. D4,Gene Only,Dehalogenase,HCH dehydrochlorinase,,linA,OK601307,2022,10.1016/j.jhazmat.2022.128764,,,,
Lindane,Sphingobium sp. D4,Gene Only,Dehalogenase,Haloalkane Dehalogenase,,linB,OK601308,2022,10.1016/j.jhazmat.2022.128764,,,,
Lindane,Sphingomonas sp. γ-1-7,Whole-cell / Crude,Dehalogenase,HCH dehydrochlorinase,,linA,Not available,2006,10.1128/AEM.72.1.622-627.2006,,,,
Dichlorvos,Not specified,Whole-cell / Crude,Phosphatase,Phosphoesterase,,opdA,Not available,2019,10.1016/j.chemosphere.2019.01.058,,,,
Dichlorvos,Not specified,Whole-cell / Crude,Phosphatase,Phosphoesterase,,mpd,Not available,2019,10.1016/j.chemosphere.2019.01.058,,,,
Isoxaflutole ,Phanerochaete chrysosporium (ATCC 24725),Purified (Activity),Peroxidase,Lignin peroxidases,,LiP (EC1.11.1.14),Not available,2000,10.1021/jf000397q,,,,
Isoxaflutole ,Phanerochaete chrysosporium (ATCC 24725),Purified (Activity),Peroxidase,Manganese-dependent peroxidases,,MnP,Not available,2000,10.1021/jf000397q,,,,
Isoxaflutole ,Trametes versicolor,Purified (Activity),Oxidoreductase,Laccase,,Lac (EC1.10.3.2),Not available,2000,10.1021/jf000397q,,,,
Dicamba ,Stenotrophomonas maltophilia DI-6,Structure Only,Monooxygenase,Dicamba monooxygenase,,dmo,AAV53699,2009,10.1016/j.jmb.2009.07.021,,,,
Dicamba ,Rhizorhabdus dicambivorans Ndbn-20 ,Purified (Kinetics),Oxidoreductase,THF-dependent demethylase,,dmt06,ON828423,2022,10.3389/fmicb.2022.978577,,,,
Dimethoate,Sphingomonas sp. DC-6,Purified (Kinetics),Hydrolase,Dimethoate amidohydrolase,,dmhA,KC432583,2016,10.1007/s10529-015-2027-6,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Dioxygenase,"2,4-dichlorophenoxyacetate dioxygenase",,tfdA,AAR31052.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Monooxygenase,"2,4-dichlorophenol 6-monooxygenase",,tdB,AAR31035.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Dioxygenase,"Chlorocatechol-1,2-dioxygenase",,tfdC,AAR31039.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Isomerase,Chloromuconate cycloisomerase,,tfdD,AAR31038.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Hydrolase,Dienelactone hydrolase,,tfdE,AAR31037.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Oxidoreductase,Maleylacetate reductase,,tfdF,AAR31036.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Transferase,Succinyl CoA: 3-oxoadipate CoA transferase alpha Subunit,,pcaI,ABD14379.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Transferase,Succinyl CoA: 3-oxoadipate CoA transferase betasubunit,,pcaJ,ABD14378.1,2023,10.1016/j.jhazmat.2023.131099,,,,
"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,Hydrolase,Beta-ketoadipyl-CoA thiolase,,pcaF,AMY25797.1,2023,10.1016/j.jhazmat.2023.131099,,,,
DDT,Pandoraea pnomenusa B356,Purified (Activity),Dioxygenase,Biphenyl dioxygenase,,bphA,AAC44526,2011,10.1016/j.abb.2011.09.016,,,,
DDT,Burkholderia xenovorans LB400,Purified (Activity),Dioxygenase,Biphenyl dioxygenase,,bphA,YP_556409,2011,10.1016/j.abb.2011.09.016,,,,
Methamidophos ,Enterobacter sp. Z1,Recombinant (Activity),Hydrolase,Organophosphorus hydrolase,,Oph,Not available,2020,10.1016/j.chemosphere.2020.128054,,,,
Phosmet,Agrobacterium radiobacter P230,Purified (Kinetics),Hydrolase,Organophosphorus hydrolase variant,,opdA,AY043245,2002,10.1128/AEM.68.7.3371-3376.2002,,,,
Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,Lyase,Phosphatidylserine decarboxylase,,psd,Not available,2022,10.21203/rs.3.rs-1375498/v1,,,,
Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,Transferase,tRNA ribosyltransferase,,tgt,Not available,2022,10.21203/rs.3.rs-1375498/v1,,,,
Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,Lyase,Adenylate 5'-phosphate decarboxylase,,pyrF,Not available,2022,10.21203/rs.3.rs-1375498/v1,,,,
Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,Lyase,Uroporphyrinogen decarboxylase,,hemF,Not available,2022,10.21203/rs.3.rs-1375498/v1,,,,
Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,Hydrolase,Acetal-dehyde phosphate hydrolase,,phnX,Not available,2022,10.21203/rs.3.rs-1375498/v1,,,,
Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,Hydrolase,GTP cyclohydrolase,,folE,Not available,2022,10.21203/rs.3.rs-1375498/v1,,,,
Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,Hydrolase,Metal dependent hydrolase,,BCG9842\U B0515,Not available,2022,10.21203/rs.3.rs-1375498/v1,,,,
Propylene oxide,Xanthobacter Strain Py2,Purified (Activity),Oxidoreductase,Pyridine Nucleotide-Disulfide Oxidoreductase,,X.ORF3,Not available,1996,10.1128/jb.178.22.6644-6646.1996,,,,
Quinclorac,Burkholderia cepacia WZ1,Whole-cell / Crude,Oxidoreductase,"Chlorocatechol 1,2-dioxygenase",,PDR,Not available,2009,10.1016/j.soilbio.2008.10.026,,,,
Quinclorac,Burkholderia cepacia WZ1,Whole-cell / Crude,Oxidoreductase,Phthalate dioxygenase reductase,,"1,2-CCD",Not available,2009,10.1016/j.soilbio.2008.10.026,,,,
Azoxystrobin ,Pseudomonas kermanshahensis MK113,Gene Only,Oxidoreductase,"Benzoate 1,2-dioxygenase reductase component",,benC,Not available,2023,10.1016/j.scitotenv.2023.164375,,,,
Azoxystrobin ,Pseudomonas kermanshahensis MK113,Gene Only,Oxidoreductase,"Protocatechuate 3,4-dioxygenase beta subunit",,pcaH,Not available,2023,10.1016/j.scitotenv.2023.164375,,,,
Azoxystrobin ,Rhodococcus fascians MK144,Gene Only,Oxidoreductase,"Protocatechuate 3,4-dioxygenase alpha subunit",,pcaG,Not available,2023,10.1016/j.scitotenv.2023.164375,,,,
Azoxystrobin ,Rhodococcus fascians MK144,Gene Only,Oxidoreductase,"Protocatechuate 3,4-dioxygenase beta subunit",,pcaH,Not available,2023,10.1016/j.scitotenv.2023.164375,,,,
Azoxystrobin ,Bacillus subtilis MK101,Gene Only,Hydrolase,Subtilisin-like proteases,,Not available,Not available,2023,10.1016/j.scitotenv.2023.164375,,,,
Carbendazim,Mycobacterium sp. SD-4,Purified (Activity),Hydrolase,Carbendazim hydrolase,,mheI,KX698097,2017,10.1016/j.jhazmat.2017.02.007,,,,
Carbendazim,Nocardioides sp. strain SG-4G,Purified (Kinetics),Hydrolase,Serine hydrolase,,mhel,GQ454794,2010,10.1128/AEM.02990-09,,,,
Iprodione ,Paenarthrobacter sp. YJN-5,Recombinant (Activity),Amidase,Amidase,,IpaH,AXF48699,2021,10.1111/1462-2920.15308,,,,
Iprodione ,Paenarthrobacter sp. YJN-5,Recombinant (Activity),Hydrolase,Peptidoglycan deacetylase,,ddaH,B5ZA76,2021,10.1111/1462-2920.15308,,,,
Iprodione ,Paenarthrobacter sp. YJN-5,Recombinant (Activity),Hydrolase,Thermostable carboxypeptidase 1,,duaH,P80092,2021,10.1111/1462-2920.15308,,,,
Iprodione ,Paenarthrobacter sp. YJN-5,Purified (Kinetics),Amidase,Amidase,,IpaH,MG601458,2018,10.1128/AEM.01150-18,,,,
Iprodione ,Azospirillum sp. A1-3,Gene Only,Not mentioned,Not mentioned,,IpaH,MG733131,2022,10.3389/fmicb.2022.1057030,,,,
Phosphonic acid,Aspergillus flavus,Whole-cell / Crude,Phosphatase,Phosphatase,,Not available,Not available,2008,10.1007/BF02816226,,,,
Phosphonic acid,Aspergillus sydowii,Whole-cell / Crude,Phosphatase,Phosphatase,,Not available,Not available,2008,10.1007/BF02816226,,,,
Phosphonic acid,Fusarium oxysporura ,Whole-cell / Crude,Phosphatase,Phosphatase,,Not available,Not available,2008,10.1007/BF02816226,,,,
Phosphonic acid,Ochrobactrum sp. BTU1,Whole-cell / Crude,Lyase,C–P lyase,,phn operon,Not available,2009,10.1016/j.micres.2024.127600,,,,
Thiacloprid,Ensifer adhaerens TMX-23,Purified (Kinetics),Hydrolase,Nitrile hydratase,,NhpA,Not available,2021,10.1111/jam.15172,,,,
Thiacloprid,Ensifer adhaerens TMX-23,Purified (Kinetics),Hydrolase,Nitrile hydratase,,NhcA,Not available,2021,10.1111/jam.15172,,,,
Triazophos ,Enterobacter sp. Z1,Recombinant (Activity),Hydrolase,Organophosphorus hydrolase,,oph,Not available,2020,10.1016/j.chemosphere.2020.128054,,,,
Triazophos ,Enterobacter sp. Z1,Recombinant (Activity),Oxidoreductase,3-hydroxyacyl-CoA dehydrogenase,,paaC,Not available,2020,10.1016/j.chemosphere.2020.128054,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Dehalogenase,γ-HCH dehydrochlorinase,,linA,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Dehalogenase,Haloalkane dehalogenase,,linB,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Oxidoreductase,Dehydrogenase,,linC,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Oxidoreductase,Reductive dechlorinase,,linD,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Oxidoreductase,Ring-cleavage dioxygenase,,linE,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Oxidoreductase,Maleylacetate reductase,,linF,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Not mentioned,β-ketoadipate pathway,,linG,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Not mentioned,β-ketoadipate pathway,,linH,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Not mentioned,β-ketoadipate pathway,,linI,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Not mentioned,β-ketoadipate pathway,,linJ,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Translocases,ABC transporter proteins,,linK,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Translocases,ABC transporter proteins,,linL,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Translocases,ABC transporter proteins,,linM,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Sphingobium japonicum UT26,Gene Only,Translocases,ABC transporter proteins,,linN,Not available,2010,10.1128/JB.00961-10,,,,
Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,Dehalogenase,Dehydrochlorinase,,linA,Not available,2023,10.1016/j.envpol.2022.120867,,,,
Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,Dehalogenase,Haloalkane dehalogenase,,linB,Not available,2023,10.1016/j.envpol.2022.120867,,,,
Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,Oxidoreductase,Dehydrogenase,,linC/linX,Not available,2023,10.1016/j.envpol.2022.120867,,,,
Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,Oxidoreductase,Dechlorinase,,linD,Not available,2023,10.1016/j.envpol.2022.120867,,,,
Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,Oxidoreductase,Dioxygenase,,linE,Not available,2023,10.1016/j.envpol.2022.120867,,,,
Lindane,Xanthomonas sp. ICH12,Whole-cell / Crude,Lyase,Dehydrodehalogenase,,linA,DQ910544,2007,10.1111/j.1365-2672.2006.03209.x,,,,
Lindane,Xanthomonas sp. ICH12,Whole-cell / Crude,Dehalogenase,Hydrolytic dehalogenase,,linB,DQ910545,2007,10.1111/j.1365-2672.2006.03209.x,,,,
Lindane,Sphingopyxis sp. MC4,Whole-cell / Crude,Dehalogenase,Dehydrochlorinase,,linA,Not available,2024,10.1016/j.jhazmat.2023.132545,,,,
Lindane,Sphingopyxis sp. MC4,Whole-cell / Crude,Dehalogenase,Haloalkane dehalogenase,,linB,Not available,2024,10.1016/j.jhazmat.2023.132545,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Dehalogenase,Dehydrochlorinase,,linA,DQ372106,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Dehalogenase,Halidohydrolase,,linB,DQ246619,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Oxidoreductase,Dehydrogenase,,linC,DQ462464,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Oxidoreductase,Reductive dechlorinase,,linD,DQ480725,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Oxidoreductase,Dioxygenase,,linE,DQ399709,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Oxidoreductase,Reductase,,linF,DQ399710,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Not mentioned,LysR-type transcriptional regulator,,linR,DQ399711,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium sp. BHC-A,Purified (Activity),Oxidoreductase,Dehydrogenase,,linX,DQ486136,2006,10.1111/j.1462-2920.2007.01350.x,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Dehalogenase,Dehydrochlorinase,,linA,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Dehalogenase,Haloalkane dehalogenase,,linB,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Oxidoreductase,Dehydrogenase,,linC,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Oxidoreductase,Dechlorinase,,linD,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Oxidoreductase,Dioxygenase,,linE,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Oxidoreductase,Reductase,,linF,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Dehalogenase,Dehydrochlorinase,,linA mutant,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Dehalogenase,Haloalkane dehalogenase,,linB mutant,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Oxidoreductase,Dehydrogenase,,linC mutant,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,Oxidoreductase,Dechlorinase,,linD mutant,Not available,2006,10.1271/bbb.70.1029,,,,
Lindane,Sphingobium indicum B90A,Whole-cell / Crude,Dehalogenase,Dehydrochlorinase,,linA,Not available,2021,10.1007/s11356-021-13073-8,,,,
Lindane,Sphingobium indicum B90A,Whole-cell / Crude,Dehalogenase,Haloalkane dehalogenase,,linB,Not available,2021,10.1007/s11356-021-13073-8,,,,
Lindane,Sphingobium indicum B90A,Whole-cell / Crude,Oxidoreductase,Dehydrogenase,,linC,Not available,2021,10.1007/s11356-021-13073-8,,,,
Lindane,Sphingobium indicum B90A,Gene Only,Oxidoreductase,Reductive dechlorinase,,linD,Not available,2021,10.1007/s11356-021-13073-8,,,,
Lindane,Sphingobium indicum B90A,Gene Only,Oxidoreductase,Maleylacetate reductase,,linF,Not available,2021,10.1007/s11356-021-13073-8,,,,
"2,4-D",Sphingomonas sp. TFD44,Purified (Kinetics),Oxidoreductase,"Chlorocatechol 1,2-dioxygenase",,TfdC,Not available,2005,10.1016/j.bbrc.2005.05.045,,,,
"2,4-D",Sphingomonas sp. TFD44,Purified (Kinetics),Oxidoreductase,"Chlorocatechol 1,2-dioxygenase",,TfdC2,AAT99373,2005,10.1016/j.bbrc.2005.05.045,,,,
"2,4-D",Cupriavidus campinensis BJ71,Gene Only + whole-cell/ Crude,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,tfdA,Not available,2014,10.1007/s11274-014-1680-6,,,,
"2,4-D",Ochrobactrum anthropi,Gene Only + whole-cell/ Crude,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,tfdA,Not available,2014,10.1007/s11274-014-1680-6,,,,
"2,4-D",Bacillus spp.,Gene Only + whole-cell/ Crude,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,tfdA,Not available,2014,10.1007/s11274-014-1680-6,,,,
"2,4-D",Stenotrophomonas sp.,Gene Only + whole-cell/ Crude,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,tfdA,Not available,2014,10.1007/s11274-014-1680-6,,,,
"2,4-D",Pseudomonas sp.,Gene Only + whole-cell/ Crude,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,tfdA,Not available,2014,10.1007/s11274-014-1680-6,,,,
"2,4-D",Pseudomonas putida SM1443,Whole-cell / Crude,Oxidoreductase,Dichlorophenol hydroxylase,,tfdB,Not available,2010,10.1016/j.jhazmat.2010.04.002,,,,
"2,4-D",Novosphingobium sp. DY4,Gene Only,Oxidoreductase,α-ketoglutarate-dependent dioxygenase,,tfdAa,Not available,2015,10.1007/s10532-015-9724-7,,,,
"2,4-D",Cupriavidus oxalaticus X32,Gene Only,Oxidoreductase,α-ketoglutarate-dependent dioxygenase,,tfdA,Not available,2020,10.1021/acs.jafc.9b05061,,,,
"2,4-D",Cupriavidus oxalaticus X32,Gene Only,Oxidoreductase,Chlorophenol hydroxylase,,tfdB,Not available,2020,10.1021/acs.jafc.9b05061,,,,
"2,4-D",Cupriavidus oxalaticus X32,Gene Only,Oxidoreductase,Dioxygenase,,tfdC,Not available,2020,10.1021/acs.jafc.9b05061,,,,
"2,4-D",Cupriavidus oxalaticus X32,Gene Only,Not mentioned,Not mentioned,,tfdD,Not available,2020,10.1021/acs.jafc.9b05061,,,,
"2,4-D",Cupriavidus oxalaticus X32,Gene Only,Not mentioned,Not mentioned,,tfdE,Not available,2020,10.1021/acs.jafc.9b05061,,,,
"2,4-D",Cupriavidus oxalaticus X32,Gene Only,Not mentioned,Not mentioned,,tfdF,Not available,2020,10.1021/acs.jafc.9b05061,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,TfdA,AY078159,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Oxidoreductase,"2,4-dichlorophenol hydroxylase",,tfdB,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Oxidoreductase,"Chlorocatechol 1,2-dioxygenase",,tfdC,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Isomerase,Chloromuconate cycloisomerase,,tfdD,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Hydrolase,Dienelactone hydrolase,,tfdE,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Oxidoreductase,Maleylacetate reductase,,tfdF,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Not mentioned,LysR-type transcriptional regulator,,tfdR,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Not mentioned,Transport protein,,tfdK,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Oxidoreductase,"Chlorocatechol 1,2-dioxygenase",,tfdCII,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Delftia acidovorans P4a,Gene Only,Hydrolase,Dienelactone hydrolase,,tfdEII,Not available,2003,10.1099/mic.0.26260-0,,,,
"2,4-D",Not specified,Whole-cell / Crude,Oxidoreductase,"2,4-D / α-ketoglutarate dioxygenase",,TfdA,Not available,1996,10.1128/aem.62.7.2470-2476.1996,,,,
