pesticidedb_protein_id,reported_protein_name,pesticide,microorganism,evidence_type,collection_category,enzyme_class,gene_name,ncbi_protein_accession,uniprot_accession,year,doi
PDBP0047,"2,4-dichlorophenol 6-monooxygenase","2,4-D",Cupriavidus pinatubonensis JMP134,Whole-cell / Crude,CURATED,Monooxygenase,tfdB,AAR31035.1,P27138,2023,10.1016/j.jhazmat.2023.131099
PDBP0048,"Chlorocatechol-1,2-dioxygenase","2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Dioxygenase,tfdC,AAR31039.1,P0A396,2023,10.1016/j.jhazmat.2023.131099
PDBP0049,Chloromuconate cycloisomerase,"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Isomerase,tfdD,AAR31038.1,P05404,2023,10.1016/j.jhazmat.2023.131099
PDBP0050,Dienelactone hydrolase,"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Hydrolase,tfdE,AAR31037.1,P27136,2023,10.1016/j.jhazmat.2023.131099
PDBP0051,Maleylacetate reductase,"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Oxidoreductase,tfdF,AAR31036.1,P27137,2023,10.1016/j.jhazmat.2023.131099
PDBP0052,Succinyl CoA: 3-oxoadipate CoA transferase alpha Subunit,"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Transferase,pcaI,ABD14379.1,,2023,10.1016/j.jhazmat.2023.131099
PDBP0053,Succinyl CoA: 3-oxoadipate CoA transferase betasubunit,"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Transferase,pcaJ,ABD14378.1,,2023,10.1016/j.jhazmat.2023.131099
PDBP0054,Beta-ketoadipyl-CoA thiolase,"2,4-D",Engineered Escherichia coli strain BL-3164,Whole-cell / Crude,CURATED,Hydrolase,pcaF,AMY25797.1,A0A143QTM9,2023,10.1016/j.jhazmat.2023.131099
PDBP0055,Biphenyl dioxygenase,DDT,Pandoraea pnomenusa B356,Purified (Activity),CURATED,Dioxygenase,bphA,AAC44526,Q46372,2011,10.1016/j.abb.2011.09.016
PDBP0056,Biphenyl dioxygenase,DDT,Burkholderia xenovorans LB400,Purified (Activity),CURATED,Dioxygenase,bphA,YP_556409,,2011,10.1016/j.abb.2011.09.016
PDBP0057,Organophosphorus hydrolase,Methamidophos,Enterobacter sp. Z1,Recombinant (Activity),CURATED,Hydrolase,Oph,Not available,,2020,10.1016/j.chemosphere.2020.128054
PDBP0058,Organophosphorus hydrolase variant,Phosmet,Agrobacterium radiobacter P230,Purified (Kinetics),CURATED,Hydrolase,opdA,AY043245,,2002,10.1128/AEM.68.7.3371-3376.2002
PDBP0059,Phosphatidylserine decarboxylase,Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,CURATED,Lyase,psd,Not available,,2022,10.21203/rs.3.rs-1375498/v1
PDBP0060,tRNA ribosyltransferase,Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,CURATED,Transferase,tgt,Not available,,2022,10.21203/rs.3.rs-1375498/v1
PDBP0061,Adenylate 5'-phosphate decarboxylase,Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,CURATED,Lyase,pyrF,Not available,,2022,10.21203/rs.3.rs-1375498/v1
PDBP0062,Uroporphyrinogen decarboxylase,Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,CURATED,Lyase,hemF,Not available,,2022,10.21203/rs.3.rs-1375498/v1
PDBP0063,Acetal-dehyde phosphate hydrolase,Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,CURATED,Hydrolase,phnX,Not available,,2022,10.21203/rs.3.rs-1375498/v1
PDBP0064,GTP cyclohydrolase,Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,CURATED,Hydrolase,folE,Not available,,2022,10.21203/rs.3.rs-1375498/v1
PDBP0065,Metal dependent hydrolase,Pinoxaden,Acinetobacter pittobacter strain T4P20-1,Whole-cell / Crude,CURATED,Hydrolase,BCG9842\U B0515,Not available,,2022,10.21203/rs.3.rs-1375498/v1
PDBP0066,Pyridine Nucleotide-Disulfide Oxidoreductase,Propylene oxide,Xanthobacter Strain Py2,Purified (Activity),CURATED,Oxidoreductase,X.ORF3,Not available,,1996,10.1128/jb.178.22.6644-6646.1996
PDBP0067,"Chlorocatechol 1,2-dioxygenase",Quinclorac,Burkholderia cepacia WZ1,Whole-cell / Crude,CURATED,Oxidoreductase,PDR,Not available,,2009,10.1016/j.soilbio.2008.10.026
PDBP0068,Phthalate dioxygenase reductase,Quinclorac,Burkholderia cepacia WZ1,Whole-cell / Crude,CURATED,Oxidoreductase,"1,2-CCD",Not available,,2009,10.1016/j.soilbio.2008.10.026
PDBP0069,"Benzoate 1,2-dioxygenase reductase component",Azoxystrobin,Pseudomonas kermanshahensis MK113,Gene Only,CURATED,Oxidoreductase,benC,Not available,,2023,10.1016/j.scitotenv.2023.164375
PDBP0070,"Protocatechuate 3,4-dioxygenase beta subunit",Azoxystrobin,Pseudomonas kermanshahensis MK113,Gene Only,CURATED,Oxidoreductase,pcaH,Not available,,2023,10.1016/j.scitotenv.2023.164375
PDBP0071,"Protocatechuate 3,4-dioxygenase alpha subunit",Azoxystrobin,Rhodococcus fascians MK144,Gene Only,CURATED,Oxidoreductase,pcaG,Not available,,2023,10.1016/j.scitotenv.2023.164375
PDBP0072,"Protocatechuate 3,4-dioxygenase beta subunit",Azoxystrobin,Rhodococcus fascians MK144,Gene Only,CURATED,Oxidoreductase,pcaH,Not available,,2023,10.1016/j.scitotenv.2023.164375
PDBP0073,Subtilisin-like proteases,Azoxystrobin,Bacillus subtilis MK101,Gene Only,CURATED,Hydrolase,Not available,Not available,,2023,10.1016/j.scitotenv.2023.164375
PDBP0074,Carbendazim hydrolase,Carbendazim,Mycobacterium sp. SD-4,Purified (Activity),CURATED,Hydrolase,mheI,KX698097,,2017,10.1016/j.jhazmat.2017.02.007
PDBP0075,Serine hydrolase,Carbendazim,Nocardioides sp. strain SG-4G,Purified (Kinetics),CURATED,Hydrolase,mhel,GQ454794,,2010,10.1128/AEM.02990-09
PDBP0076,Amidase,Iprodione,Paenarthrobacter sp. YJN-5,Recombinant (Activity),CURATED,Amidase,IpaH,AXF48699,,2021,10.1111/1462-2920.15308
PDBP0077,Peptidoglycan deacetylase,Iprodione,Paenarthrobacter sp. YJN-5,Recombinant (Activity),CURATED,Hydrolase,ddaH,B5ZA76,,2021,10.1111/1462-2920.15308
PDBP0078,Thermostable carboxypeptidase 1,Iprodione,Paenarthrobacter sp. YJN-5,Recombinant (Activity),CURATED,Hydrolase,duaH,P80092,,2021,10.1111/1462-2920.15308
PDBP0079,Amidase,Iprodione,Paenarthrobacter sp. YJN-5,Purified (Kinetics),CURATED,Amidase,IpaH,MG601458,,2018,10.1128/AEM.01150-18
PDBP0080,Not mentioned,Iprodione,Azospirillum sp. A1-3,Gene Only,CURATED,Not mentioned,IpaH,MG733131,,2022,10.3389/fmicb.2022.1057030
PDBP0081,Phosphatase,Phosphonic acid,Aspergillus flavus,Whole-cell / Crude,CURATED,Phosphatase,Not available,Not available,,2008,10.1007/BF02816226
PDBP0082,Phosphatase,Phosphonic acid,Aspergillus sydowii,Whole-cell / Crude,CURATED,Phosphatase,Not available,Not available,,2008,10.1007/BF02816226
PDBP0083,Phosphatase,Phosphonic acid,Fusarium oxysporura,Whole-cell / Crude,CURATED,Phosphatase,Not available,Not available,,2008,10.1007/BF02816226
PDBP0084,C–P lyase,Phosphonic acid,Ochrobactrum sp. BTU1,Whole-cell / Crude,CURATED,Lyase,phn operon,Not available,,2009,10.1016/j.micres.2024.127600
PDBP0085,Nitrile hydratase,Thiacloprid,Ensifer adhaerens TMX-23,Purified (Kinetics),CURATED,Hydrolase,NhpA,Not available,,2021,10.1111/jam.15172
PDBP0086,Nitrile hydratase,Thiacloprid,Ensifer adhaerens TMX-23,Purified (Kinetics),CURATED,Hydrolase,NhcA,Not available,,2021,10.1111/jam.15172
PDBP0087,Organophosphorus hydrolase,Triazophos,Enterobacter sp. Z1,Recombinant (Activity),CURATED,Hydrolase,oph,Not available,,2020,10.1016/j.chemosphere.2020.128054
PDBP0088,3-hydroxyacyl-CoA dehydrogenase,Triazophos,Enterobacter sp. Z1,Recombinant (Activity),CURATED,Oxidoreductase,paaC,Not available,,2020,10.1016/j.chemosphere.2020.128054
PDBP0089,γ-HCH dehydrochlorinase,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Dehalogenase,linA,Not available,,2010,10.1128/JB.00961-10
PDBP0090,Haloalkane dehalogenase,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Dehalogenase,linB,Not available,,2010,10.1128/JB.00961-10
PDBP0091,Dehydrogenase,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Oxidoreductase,linC,Not available,,2010,10.1128/JB.00961-10
PDBP0092,Reductive dechlorinase,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Oxidoreductase,linD,Not available,,2010,10.1128/JB.00961-10
PDBP0093,Ring-cleavage dioxygenase,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Oxidoreductase,linE,Not available,,2010,10.1128/JB.00961-10
PDBP0094,Maleylacetate reductase,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Oxidoreductase,linF,Not available,,2010,10.1128/JB.00961-10
PDBP0095,β-ketoadipate pathway,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Not mentioned,linG,Not available,,2010,10.1128/JB.00961-10
PDBP0096,β-ketoadipate pathway,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Not mentioned,linH,Not available,,2010,10.1128/JB.00961-10
PDBP0097,β-ketoadipate pathway,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Not mentioned,linI,Not available,,2010,10.1128/JB.00961-10
PDBP0098,β-ketoadipate pathway,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Not mentioned,linJ,Not available,,2010,10.1128/JB.00961-10
PDBP0099,ABC transporter proteins,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Translocases,linK,Not available,,2010,10.1128/JB.00961-10
PDBP0100,ABC transporter proteins,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Translocases,linL,Not available,,2010,10.1128/JB.00961-10
PDBP0101,ABC transporter proteins,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Translocases,linM,Not available,,2010,10.1128/JB.00961-10
PDBP0102,ABC transporter proteins,Lindane,Sphingobium japonicum UT26,Gene Only,CURATED,Translocases,linN,Not available,,2010,10.1128/JB.00961-10
PDBP0103,Dehydrochlorinase,Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,CURATED,Dehalogenase,linA,Not available,,2023,10.1016/j.envpol.2022.120867
PDBP0104,Haloalkane dehalogenase,Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,CURATED,Dehalogenase,linB,Not available,,2023,10.1016/j.envpol.2022.120867
PDBP0105,Dehydrogenase,Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,CURATED,Oxidoreductase,linC/linX,Not available,,2023,10.1016/j.envpol.2022.120867
PDBP0106,Dechlorinase,Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,CURATED,Oxidoreductase,linD,Not available,,2023,10.1016/j.envpol.2022.120867
PDBP0107,Dioxygenase,Lindane,Bacillus cereus SJPS-2,Whole-cell / Crude,CURATED,Oxidoreductase,linE,Not available,,2023,10.1016/j.envpol.2022.120867
PDBP0108,Dehydrodehalogenase,Lindane,Xanthomonas sp. ICH12,Whole-cell / Crude,CURATED,Lyase,linA,DQ910544,,2007,10.1111/j.1365-2672.2006.03209.x
PDBP0109,Hydrolytic dehalogenase,Lindane,Xanthomonas sp. ICH12,Whole-cell / Crude,CURATED,Dehalogenase,linB,DQ910545,,2007,10.1111/j.1365-2672.2006.03209.x
PDBP0110,Dehydrochlorinase,Lindane,Sphingopyxis sp. MC4,Whole-cell / Crude,CURATED,Dehalogenase,linA,Not available,,2024,10.1016/j.jhazmat.2023.132545
PDBP0111,Haloalkane dehalogenase,Lindane,Sphingopyxis sp. MC4,Whole-cell / Crude,CURATED,Dehalogenase,linB,Not available,,2024,10.1016/j.jhazmat.2023.132545
PDBP0112,Dehydrochlorinase,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Dehalogenase,linA,DQ372106,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0113,Halidohydrolase,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Dehalogenase,linB,DQ246619,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0114,Dehydrogenase,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Oxidoreductase,linC,DQ462464,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0115,Reductive dechlorinase,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Oxidoreductase,linD,DQ480725,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0116,Dioxygenase,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Oxidoreductase,linE,DQ399709,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0117,Reductase,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Oxidoreductase,linF,DQ399710,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0118,LysR-type transcriptional regulator,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Not mentioned,linR,DQ399711,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0119,Dehydrogenase,Lindane,Sphingobium sp. BHC-A,Purified (Activity),CURATED,Oxidoreductase,linX,DQ486136,,2006,10.1111/j.1462-2920.2007.01350.x
PDBP0120,Dehydrochlorinase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Dehalogenase,linA,Not available,,2006,10.1271/bbb.70.1029
PDBP0121,Haloalkane dehalogenase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Dehalogenase,linB,Not available,,2006,10.1271/bbb.70.1029
PDBP0122,Dehydrogenase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Oxidoreductase,linC,Not available,,2006,10.1271/bbb.70.1029
PDBP0123,Dechlorinase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Oxidoreductase,linD,Not available,,2006,10.1271/bbb.70.1029
PDBP0124,Dioxygenase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Oxidoreductase,linE,Not available,,2006,10.1271/bbb.70.1029
PDBP0125,Reductase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Oxidoreductase,linF,Not available,,2006,10.1271/bbb.70.1029
PDBP0126,Dehydrochlorinase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Dehalogenase,linA mutant,Not available,,2006,10.1271/bbb.70.1029
PDBP0127,Haloalkane dehalogenase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Dehalogenase,linB mutant,Not available,,2006,10.1271/bbb.70.1029
PDBP0128,Dehydrogenase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Oxidoreductase,linC mutant,Not available,,2006,10.1271/bbb.70.1029
PDBP0129,Dechlorinase,Lindane,Sphingobium japonicum UT26,Whole-cell / Crude,CURATED,Oxidoreductase,linD mutant,Not available,,2006,10.1271/bbb.70.1029
PDBP0130,Dehydrochlorinase,Lindane,Sphingobium indicum B90A,Whole-cell / Crude,CURATED,Dehalogenase,linA,Not available,,2021,10.1007/s11356-021-13073-8
PDBP0131,Haloalkane dehalogenase,Lindane,Sphingobium indicum B90A,Whole-cell / Crude,CURATED,Dehalogenase,linB,Not available,,2021,10.1007/s11356-021-13073-8
PDBP0132,Dehydrogenase,Lindane,Sphingobium indicum B90A,Whole-cell / Crude,CURATED,Oxidoreductase,linC,Not available,,2021,10.1007/s11356-021-13073-8
PDBP0133,Reductive dechlorinase,Lindane,Sphingobium indicum B90A,Gene Only,CURATED,Oxidoreductase,linD,Not available,,2021,10.1007/s11356-021-13073-8
PDBP0134,Maleylacetate reductase,Lindane,Sphingobium indicum B90A,Gene Only,CURATED,Oxidoreductase,linF,Not available,,2021,10.1007/s11356-021-13073-8
PDBP0135,"Chlorocatechol 1,2-dioxygenase","2,4-D",Sphingomonas sp. TFD44,Purified (Kinetics),CURATED,Oxidoreductase,TfdC,Not available,,2005,10.1016/j.bbrc.2005.05.045
PDBP0136,"Chlorocatechol 1,2-dioxygenase","2,4-D",Sphingomonas sp. TFD44,Purified (Kinetics),CURATED,Oxidoreductase,TfdC2,AAT99373,Q5YB91,2005,10.1016/j.bbrc.2005.05.045
PDBP0137,"2,4-D / α-ketoglutarate dioxygenase","2,4-D",Cupriavidus campinensis BJ71,Gene Only + whole-cell/ Crude,CURATED,Oxidoreductase,tfdA,Not available,,2014,10.1007/s11274-014-1680-6
PDBP0138,"2,4-D / α-ketoglutarate dioxygenase","2,4-D",Ochrobactrum anthropi,Gene Only + whole-cell/ Crude,CURATED,Oxidoreductase,tfdA,Not available,,2014,10.1007/s11274-014-1680-6
PDBP0139,"2,4-D / α-ketoglutarate dioxygenase","2,4-D",Bacillus spp.,Gene Only + whole-cell/ Crude,CURATED,Oxidoreductase,tfdA,Not available,,2014,10.1007/s11274-014-1680-6
PDBP0140,"2,4-D / α-ketoglutarate dioxygenase","2,4-D",Stenotrophomonas sp.,Gene Only + whole-cell/ Crude,CURATED,Oxidoreductase,tfdA,Not available,,2014,10.1007/s11274-014-1680-6
PDBP0141,"2,4-D / α-ketoglutarate dioxygenase","2,4-D",Pseudomonas sp.,Gene Only + whole-cell/ Crude,CURATED,Oxidoreductase,tfdA,Not available,,2014,10.1007/s11274-014-1680-6
PDBP0142,Dichlorophenol hydroxylase,"2,4-D",Pseudomonas putida SM1443,Whole-cell / Crude,CURATED,Oxidoreductase,tfdB,Not available,,2010,10.1016/j.jhazmat.2010.04.002
PDBP0143,α-ketoglutarate-dependent dioxygenase,"2,4-D",Novosphingobium sp. DY4,Gene Only,CURATED,Oxidoreductase,tfdAa,Not available,,2015,10.1007/s10532-015-9724-7
PDBP0144,α-ketoglutarate-dependent dioxygenase,"2,4-D",Cupriavidus oxalaticus X32,Gene Only,CURATED,Oxidoreductase,tfdA,Not available,,2020,10.1021/acs.jafc.9b05061
PDBP0145,Chlorophenol hydroxylase,"2,4-D",Cupriavidus oxalaticus X32,Gene Only,CURATED,Oxidoreductase,tfdB,Not available,,2020,10.1021/acs.jafc.9b05061
PDBP0146,Dioxygenase,"2,4-D",Cupriavidus oxalaticus X32,Gene Only,CURATED,Oxidoreductase,tfdC,Not available,,2020,10.1021/acs.jafc.9b05061
