acquisition_priority,pesticide,is_oa,download_status,count
3,Propylene oxide,True,"download_error: <urlopen error [Errno 8] nodename nor servname provided, or not known>",1
3,Propylene oxide,True,no_pdf_url,2
3,Prothioconazole,True,no_pdf_url,1
3,Pyrimethanil,True,downloaded_open_access_pdf,1
3,Tebuconazole,False,not_attempted,3
3,Tebuconazole,True,downloaded_open_access_pdf,1
3,Tebuconazole,True,no_pdf_url,1
3,Thiabendazole,False,not_attempted,1
3,Thiacloprid,False,not_attempted,1
3,Thiacloprid,True,downloaded_open_access_pdf,1
4,Acibenzolar-S-methyl,False,not_attempted,1
4,Fluxapyroxad,True,downloaded_open_access_pdf,1
4,Imazamox,False,not_attempted,1
4,Penthiopyrad,True,"download_error: <urlopen error [Errno 8] nodename nor servname provided, or not known>",1
4,Propamocarb,False,not_attempted,1
4,Propargite,False,not_attempted,1
