paper_id,filename,title_from_filename,file_status,curation_priority,priority_reason,curation_decision,next_action
CPF-P021,Biodegradation_of_two_organophosphorus_pesticides_in_whole_corn_silage_as_affect.pdf,Biodegradation of two organophosphorus pesticides in whole corn silage as affect,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P022,Bioremediation_of_chlorpyrifos_residues_using_some_indigenous_species_of_bacteri.pdf,Bioremediation of chlorpyrifos residues using some indigenous species of bacteri,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P023,Biotransformation_of_Chlorpyrifos__i_Shewanella_oneidensis__i__MR_1_in_the_Prese.pdf,Biotransformation of Chlorpyrifos Shewanella oneidensis MR 1 in the Prese,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P024,Changes_of_field_incurred_chlorpyrifos_and_its_toxic_metabolite_residues_in_rice.pdf,Changes of field incurred chlorpyrifos and its toxic metabolite residues in rice,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P025,Characteristics_of_Aflatoxin_B_sub_1__sub__Degradation_by__i_Stenotrophomonas_ac.pdf,Characteristics of Aflatoxin B1 Degradation by Stenotrophomonas ac,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P026,Chemotaxis_and_degradation_of_organophosphate_compound_by_a_novel_moderately_the.pdf,Chemotaxis and degradation of organophosphate compound by a novel moderately the,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P027,Chlorpyrifos_Disrupts_Acetylcholine_Metabolism_Across_Model_Blood_Brain_Barrier_.pdf,Chlorpyrifos Disrupts Acetylcholine Metabolism Across Model Blood Brain Barrier,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P028,Chlorpyrifos___diisopropylphosphorofluoridate___and_parathion_induced_behavioral.pdf,Chlorpyrifos diisopropylphosphorofluoridate and parathion induced behavioral,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P029,Chlorpyrifos_and_chlorpyrifos_oxon_impair_the_transport_of_membrane_bound_organe.pdf,Chlorpyrifos and chlorpyrifos oxon impair the transport of membrane bound organe,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P030,Chlorpyrifos_and_neurodevelopmental_effects__a_literature_review_and_expert_elic.pdf,Chlorpyrifos and neurodevelopmental effects a literature review and expert elic,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P031,Chlorpyrifos_degradation_efficiency_of__i_Bacillus__i__sp__laccase_immobilized_o.pdf,Chlorpyrifos degradation efficiency of Bacillus sp laccase immobilized o,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P032,Chlorpyrifos_degradation_via_photoreactive_TiO_sub_2__sub__nanoparticles__Assess.pdf,Chlorpyrifos degradation via photoreactive TiO2 nanoparticles Assess,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P033,Chlorpyrifos_fate_in_the_Arctic__Importance_of_analyte_structure_in_interactions.pdf,Chlorpyrifos fate in the Arctic Importance of analyte structure in interactions,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P034,Chlorpyrifos_inhibits_neural_induction_via_Mfn1_mediated_mitochondrial_dysfuncti.pdf,Chlorpyrifos inhibits neural induction via Mfn1 mediated mitochondrial dysfuncti,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P035,Chlorpyrifos_modulates_the_mouse_gut_microbiota_and_metabolic_activity_.pdf,Chlorpyrifos modulates the mouse gut microbiota and metabolic activity,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P036,Chronic_Exposure_to_Chlorpyrifos_Damages_Thyroid_Activity_and_Imbalances_Hepatic.pdf,Chronic Exposure to Chlorpyrifos Damages Thyroid Activity and Imbalances Hepatic,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P037,Cnr1_sup______sup__has_minimal_impact_on_chlorpyrifos_mediated_effects_in_the_mo.pdf,Cnr1 has minimal impact on chlorpyrifos mediated effects in the mo,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P038,Co_expression_network_of_long_non_coding_RNA_and_mRNA_reveals_molecular_phenotyp.pdf,Co expression network of long non coding RNA and mRNA reveals molecular phenotyp,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P039,Colorimetric_sensing_of_chlorpyrifos_through_negative_feedback_inhibition_of_the.pdf,Colorimetric sensing of chlorpyrifos through negative feedback inhibition of the,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P040,Combined_biostimulation_and_bioaugmentation_for_chlorpyrifos_degradation_in_labo.pdf,Combined biostimulation and bioaugmentation for chlorpyrifos degradation in labo,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P041,Comparative_Genomics_of_a_Paddy_Field_Bacterial_Isolate__i_Ochrobactrum__i__sp__.pdf,Comparative Genomics of a Paddy Field Bacterial Isolate Ochrobactrum sp,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P042,Concentration_dependent_effects_of_chlorpyrifos_oxon_on_peroxisome_proliferator_.pdf,Concentration dependent effects of chlorpyrifos oxon on peroxisome proliferator,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P043,Conditions_Optimizing_and_Application_of_Laccase_mediator_System__LMS__for_the_L.pdf,Conditions Optimizing and Application of Laccase mediator System LMS for the L,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P044,Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf,Conserved Metabolic and Evolutionary Themes in Microbial Degradation of Carbamat,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P045,Constructing_Direct_Z_Scheme_Y2TmSbO7_GdYBiNbO7_Heterojunction_Photocatalyst_wit.pdf,Constructing Direct Z Scheme Y2TmSbO7 GdYBiNbO7 Heterojunction Photocatalyst wit,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P046,Crude_Oil_Degrading_Fingerprint_and_the_Overexpression_of_Oxidase_and_Invasive_G.pdf,Crude Oil Degrading Fingerprint and the Overexpression of Oxidase and Invasive G,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P047,Cytochrome_P450_specific_human_PBPK_PD_models_for_the_organophosphorus_pesticide.pdf,Cytochrome P450 specific human PBPK PD models for the organophosphorus pesticide,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P048,Decontamination_of_Chlorpyrifos_Residue_in_Soil_by_Using__i_Mentha_piperita__i__.pdf,Decontamination of Chlorpyrifos Residue in Soil by Using Mentha piperita,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P049,Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf,Degradation of Pesticide Residues in Water Soil and Food Products via Cold Pla,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P050,Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf,Degradation of Pesticides Using Semiconducting and Tetrapyrrolic Macrocyclic Pho,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P051,Degradation_of_Xenobiotic_Pollutants__An_Environmentally_Sustainable_Approach_.pdf,Degradation of Xenobiotic Pollutants An Environmentally Sustainable Approach,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P052,Degradation_of_a_New_Herbicide_Florpyrauxifen_Benzyl_in_Water__Kinetics__Various.pdf,Degradation of a New Herbicide Florpyrauxifen Benzyl in Water Kinetics Various,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P053,Degradation_of_a_Novel_Pesticide_Antiviral_Agent_Vanisulfane_in_Aqueous_Solution.pdf,Degradation of a Novel Pesticide Antiviral Agent Vanisulfane in Aqueous Solution,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P054,Degradation_of_different_wastewater_by_a_biological_sponge_iron_system__microbia.pdf,Degradation of different wastewater by a biological sponge iron system microbia,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P055,Degradation_of_the_herbicide_paraquat_by_macromycetes_isolated_from_southeastern.pdf,Degradation of the herbicide paraquat by macromycetes isolated from southeastern,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P056,Degradation_of_the_neonicotinoid_pesticide_imidacloprid_by_electrocoagulation_an.pdf,Degradation of the neonicotinoid pesticide imidacloprid by electrocoagulation an,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P057,Degradation_strategies_of_pesticide_residue__From_chemicals_to_synthetic_biology.pdf,Degradation strategies of pesticide residue From chemicals to synthetic biology,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P058,Determination_of_CHLORPYRIFOS_by_GC_ECD_in_water_and_its_sorption_mechanism_stud.pdf,Determination of CHLORPYRIFOS by GC ECD in water and its sorption mechanism stud,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P059,Development_of_a_UPLC_MS_MS_method_for_pesticide_analysis_in_paddy_water_and_eva.pdf,Development of a UPLC MS MS method for pesticide analysis in paddy water and eva,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P060,Developmental_neurotoxicants_target_neurodifferentiation_into_the_serotonin_phen.pdf,Developmental neurotoxicants target neurodifferentiation into the serotonin phen,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P061,Dichlorvos__chlorpyrifos_oxon_and_Aldicarb_adducts_of_butyrylcholinesterase__det.pdf,Dichlorvos chlorpyrifos oxon and Aldicarb adducts of butyrylcholinesterase det,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P062,Effect_of_chlorpyrifos_on_soil_microbial_diversity_and_its_biotransformation_by_.pdf,Effect of chlorpyrifos on soil microbial diversity and its biotransformation by,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P063,Effect_of_developmental_chlorpyrifos_exposure__on_endocannabinoid_metabolizing_e.pdf,Effect of developmental chlorpyrifos exposure on endocannabinoid metabolizing e,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P064,Effective_degradation_of_synthetic_micropollutants_and_real_textile_wastewater_v.pdf,Effective degradation of synthetic micropollutants and real textile wastewater v,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P065,Effects_of_chlorpyrifos_on_non_cholinergic_toxicity_endpoints_in_immortalized_an.pdf,Effects of chlorpyrifos on non cholinergic toxicity endpoints in immortalized an,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P066,Effects_of_chlorpyrifos_on_the_crustacean_Litopenaeus_vannamei_.pdf,Effects of chlorpyrifos on the crustacean Litopenaeus vannamei,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P067,Effects_of_nickel__chlorpyrifos_and_their_mixture_on_the_Dictyostelium_discoideu.pdf,Effects of nickel chlorpyrifos and their mixture on the Dictyostelium discoideu,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P068,Effects_of_soil_pH_on_the_biodegradation_of_chlorpyrifos_and_isolation_of_a_chlo.pdf,Effects of soil pH on the biodegradation of chlorpyrifos and isolation of a chlo,HTML placeholder saved as .pdf,High,Likely microbial/enzyme/pathway evidence if the real PDF is obtained,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P069,Efficiency_of_the_intestinal_bacteria_in_the_degradation_of_the_toxic_pesticide_.pdf,Efficiency of the intestinal bacteria in the degradation of the toxic pesticide,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P070,Efficient_Knocking_Out_of_the_Organophosphorus_Insecticides_Degradation_Gene__i_.pdf,Efficient Knocking Out of the Organophosphorus Insecticides Degradation Gene,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P071,Efficient_Nucleophilic_Degradation_of_an_Organophosphorus_Pesticide__Diazinon__M.pdf,Efficient Nucleophilic Degradation of an Organophosphorus Pesticide Diazinon M,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P072,Electrochemical_biosensor_based_on_cellulose_nanofibers_graphene_oxide_and_acety.pdf,Electrochemical biosensor based on cellulose nanofibers graphene oxide and acety,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P073,Enhanced_Biodegradation_of_Phenylurea_Herbicides_by__i_Ochrobactrum_anthrophi__i.pdf,Enhanced Biodegradation of Phenylurea Herbicides by Ochrobactrum anthrophi i,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P074,Enhanced_Carbofuran_Degradation_Using_Immobilized_and_Free_Cells_of__i_Enterobac.pdf,Enhanced Carbofuran Degradation Using Immobilized and Free Cells of Enterobac,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P075,Enhancement_of_adsorption_efficiency_of_crystal_violet_and_chlorpyrifos_onto_pec.pdf,Enhancement of adsorption efficiency of crystal violet and chlorpyrifos onto pec,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P076,Enhancing_the_promiscuous_phosphotriesterase_activity_of_a_thermostable_lactonas.pdf,Enhancing the promiscuous phosphotriesterase activity of a thermostable lactonas,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P077,Enzymatic_degradation_of_organophosphorus_insecticides_decreases_toxicity_in_pla.pdf,Enzymatic degradation of organophosphorus insecticides decreases toxicity in pla,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P078,Evaluation_of_Highly_Detectable_Pesticides_Sprayed_in__i_Brassica_napus__i__L___.pdf,Evaluation of Highly Detectable Pesticides Sprayed in Brassica napus L,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P079,Evaluation_of_developmental_toxicity_of_chlorpyrifos_through_new_approach_method.pdf,Evaluation of developmental toxicity of chlorpyrifos through new approach method,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P080,Exposure_Levels_of_Pyrethroids__Chlorpyrifos_and_Glyphosate_in_EU_An_Overview_of.pdf,Exposure Levels of Pyrethroids Chlorpyrifos and Glyphosate in EU An Overview of,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P081,Exposure_to_Chlorpyrifos_Alters_Proliferation__Differentiation_and_Fatty_Acid_Up.pdf,Exposure to Chlorpyrifos Alters Proliferation Differentiation and Fatty Acid Up,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P082,Exposure_to_chlorpyrifos_in_gaseous_and_particulate_form_in_greenhouses__a_pilot.pdf,Exposure to chlorpyrifos in gaseous and particulate form in greenhouses a pilot,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P083,Facile_synthesis_and_characterization_of_magnetic_nanocomposite_ZnO_CoFe_sub_2__.pdf,Facile synthesis and characterization of magnetic nanocomposite ZnO CoFe2,HTML placeholder saved as .pdf,Low,Likely unrelated to chlorpyrifos pathway curation,Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P084,Fate_of_chlorpyrifos__omethoate__cypermethrin__and_deltamethrin_during_wheat_mil.pdf,Fate of chlorpyrifos omethoate cypermethrin and deltamethrin during wheat mil,HTML placeholder saved as .pdf,Low,"Likely abiotic, toxicology, residue, sensor, or review record; not primary microbial pathway evidence",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
CPF-P085,Fitness_costs_associated_with_laboratory_induced_resistance_to_chlorpyrifos_in_S.pdf,Fitness costs associated with laboratory induced resistance to chlorpyrifos in S,HTML placeholder saved as .pdf,Medium,"Chlorpyrifos-related, but needs the real article PDF before curation",Cannot curate from current file,Re-download the real article PDF or provide DOI/full text
