pesticide,priority_group,specific_next_action,current_pathway_status,stepwise_arrow_count,folder_found,real_pdf_count,html_placeholder_count,top_candidate_papers,doi_candidates_from_queue,automated_evidence_signal,needed_information_for_kegg_like_arrow,recommended_next_action,sample_files_from_usb_folder
Fenitrothion,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,46,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Solanum_Nigrum__i__Fruit_Extract_Increases_Toxicity_of_Fenitrothion_A_Synthet.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Review_on_the_Degradation_of_Pollutants_by_Fenton_Like_Systems_Based_on_Zero_V.pdf
Dimethoate,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,43,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Molecularly_Imprinted_Quartz_Crystal_Microbalance_Sensor_Based_on_Erbium.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf
Chlorantraniliprole,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,33,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_mechanism_based_approach_unveils_metabolic_routes_potentially_mediating_chlora.pdf | A_reference_gene_set_for_sex_pheromone_biosynthesis_and_degradation_genes_from_t.pdf | Biochemical_basis_of_synergism_between_pathogenic_fungus_Metarhizium_anisopliae_.pdf | Chitosan_Delivered_Chlorantraniliprole_for_Pest_Control__Preparation_Optimizatio.pdf
Clothianidin,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,31,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf
Methomyl,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,31,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | An_outbreak_of_food_borne_illness_due_to_methomyl_pesticide_intoxication_in_Kore.pdf | Applying_molecular_oxygen_for_organic_pollutant_degradation__Strategies__mechani.pdf | Beneficial_effects_of_folic_acid_on_the_kidneys_and_testes_of_adult_albino_rats_.pdf
Diquat,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,29,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Periplaneta__i___i_americana__i__Extract_Pretreatment_Alleviates_Oxidative_St.pdf | Absorption_and_excretion_of_diquat_and_paraquat_in_rats_.pdf | Analysis_of_Human_microRNA_Expression_Profiling_During_Diquat_Induced_Renal_Prox.pdf | Biodegradation_Capabilities_of_Paraquat_Degrading_Bacteria_Immobilized_on_Nanoce.pdf
Emamectin benzoate,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Application_of_Solid_Dispersion_Technique_to_Improve_Solubility_and_Sustain_Rele.pdf | Assessment_of_the_effect_of_sub_lethal_acute_toxicity_of_Emamectin_benzoate_in__.pdf | Comparative_analyses_of_the_effects_of_sublethal_doses_of_emamectin_benzoate_and.pdf | CRISPR_Cas9_Based_Functional_Characterization_of_SfUGT50A15_Reveals_Its_Roles_in.pdf
Fenpropathrin,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | _i_Punica_granatum__i___Pomegranate__Peel_Extract_Pre_Treatment_Alleviates_Fenpr.pdf | Ameliorative_effects_of_date_palm_kernel_extract_against_fenpropathrin_induced_m.pdf | Antioxidant_Role_of__i_PcGSTd1__i__in_Fenpropathrin_Resistant_Population_of_the_.pdf
Mesotrione,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Adsorption_and_degradation_of_imazapic_in_soils_under_different_environmental_co.pdf | Aquatic_Macrophytes_in_the_Remediation_of_Atrazine_in_Water__A_Study_on_Herbicid.pdf | Atrazine__triketone_herbicides__and_their_degradation_products_in_sediment__soil.pdf | Bacillus_megaterium_strains_derived_from_water_and_soil_exhibit_differential_res.pdf
Metalaxyl,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Applying_the_Crystalline_Sponge_Method_to_Agrochemicals__Obtaining_X_ray_Structu.pdf | Characterizing_the_Mechanisms_of_Metalaxyl__Bronopol_and_Copper_Sulfate_against_.pdf | Conclusion_on_the_peer_review_of_the_pesticide_risk_assessment_of_the_active_sub.pdf
Prochloraz,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Dissipation_and_Dietary_Risk_Assessment_of_Prochloraz_in_Strawberries_under_Gree.pdf | Dissipation_and_Distribution_of_Prochloraz_in_Bananas_and_a_Risk_Assessment_of_I.pdf
Thiacloprid,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,25,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Myzus_persicae__i__Management_through_Combined_Use_of_Beneficial_Insects_and_.pdf | A_Mechanistic_Approach_Toward_Enhanced_Remediation_Potential_of_Thiacloprid_by_Z.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Application_of_Fe_MOFs_in_Photodegradation_and_Removal_of_Air_and_Water_Pollutan.pdf
Dinotefuran,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Adverse_outcome_pathway_based_assessment_of_pulmonary_toxicity_from_the__i_in_vi.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf
Profenofos,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",_i_Bacilli___i_Mediated_Degradation_of_Xenobiotic_Compounds_and_Heavy_Metals_.pdf | A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | Abiotic_Degradation_of_the_Toxin_Simplexin_by_Soil_Collected_from_a__lt_i_gt_Pim.pdf | Aerobic_dichlorvos_degradation_by__i_Pseudomonas_stutzeri__i__smk__complete_path.pdf
Tebuconazole,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Attenuation_of_toxicity_and_occurrence_of_degradation_products_of_the_fungicide_.pdf | Degradation_dynamics_and_dissipation_kinetics_of_an_imidazole_fungicide__Prochlo.pdf | Degradation_of_Pesticides_Using_Semiconducting_and_Tetrapyrrolic_Macrocyclic_Pho.pdf | Dissipation_Kinetics_and_Risk_Assessment_of_Diniconazole__Dinotefuran__Metconazo.pdf
Thiabendazole,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,24,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Characterization_of_Acetamiprid_Biodegradation_by_the_Microbial_Consortium_ACE_3.pdf | Comparative_Degradation_of_a_Thiazole_Pollutant_by_an_Advanced_Oxidation_Process.pdf | Cyclins_A_and_B_associate_with_chromatin_and_the_polar_regions_of_spindles__resp.pdf | Efficient_Degradation_of_2_Mercaptobenzothiazole_and_Other_Emerging_Pollutants_b.pdf
Heptachlor,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,20,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Anaerobic_biodegradation_of_chlorophenols_in_fresh_and_acclimated_sludge_.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf
Fludioxonil,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,19,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_Fungicide__Fludioxonil__Formed_the_Polyploid_Giant_Cancer_Cells_and_Induced_Me.pdf | Aggressiveness_and_Patulin_Production_in__i_Penicillium_expansum__i__Multidrug_R.pdf | Combining_Culture_Dependent_and_Independent_Approaches_for_the_Optimization_of_E.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf
Indoxacarb,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,19,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",A_systemic_study_of_indoxacarb_resistance_in_Spodoptera_litura_revealed_complex_.pdf | Behavioral_and_Transcriptomic_Analyses_in_the_Indoxacarb_Response_of_a_Non_Targe.pdf | Characterization_of_Indoxacarb_Resistance_in_the_Fall_Armyworm__Selection__Inher.pdf | Characterization_of_Spodoptera_littoralis__Lepidoptera__Noctuidae__resistance_to.pdf
Sulfoxaflor,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,18,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Differences_in_the_Sublethal_Effects_of_Sulfoxaflor_and_Acetamiprid_on_the__i_Ap.pdf | Efficient_Biodegradation_of_the_Neonicotinoid_Insecticide_Flonicamid_by_Pseudami.pdf | Impact_of_Sulfoxaflor_on_Brown_Marmorated_Stink_Bug__Developmental_and_Reproduct.pdf
Captan,Placeholder files - redownload PDFs by DOI/title,"Redownload real PDF files for the top candidate titles/DOIs, then rerun PDF readability audit and pathway screening.",Full-text re-download needed,0,Yes,0,16,,,,"Readable PDFs containing chromatograms, metabolite tables, pathway schemes, or product identification.","Replace placeholder or unreadable files with real PDFs, then screen for products/intermediates.",Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Dislodgeable_Foliar_Residue_Measurements_and_Assessment_of_Dermal_Exposure_to_Ca.pdf | Effect_of_plasma_activated_water_and_buffer_solution_combined_with_ultrasound_on.pdf | Effects_of_1_3_butadiene__isoprene__and_their_photochemical_degradation_products.pdf
