pesticide,evidence_source,pdf_file,probable_title,doi,year,microorganism,evidence_type,gene,enzyme_or_protein,substrate,products_or_metabolites,experimental_method,database_use_recommendation,curator_notes,curation_folder
Thiamethoxam,PDF automated candidate; manual validation required,"An endophytic bacterial strain, Enterobacter cloacae TMX-6, enhances the degradation of thiamethoxam in rice plants..pdf",Contents lists available at ScienceDirect,10.1016/j.chemosphere.2020.128751,2021,B1B. Appl. Environ. Micro-; Pandey; Sciences; TMX-23 is similar to; TMX-6; TMX-6 2.1. Materials Rice,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,An investigation of Ca-doped MgO nanoparticles for the improved catalytic degradation of thiamethoxam pesticide subjected to visible light irradiation..pdf,www.nature.com/scientificreports,10.1038/s41598-024-51738-9,2024,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Application of melatonin and PGPR alleviates thiamethoxam induced toxicity by regulating the TCA cycle in iBrassica junceai L..pdf,Contents lists available at ScienceDirect,10.1016/j.sjbs.2022.01.039,2022,MTCC 3315; MTCC 3315 PGPR in; inoculation 43 species of; was cultured by adding,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Assessing the effectiveness of imidacloprid and thiamethoxam via root irrigation against Megalurothrips usitatus (Thysanoptera Thripidae) and its residual effects on cowpea..pdf,https://doi.org/10.1093/jee/toad166,10.1002/jsfa.9074; 10.1002/ps.4152,2025,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Assessing the toxicity of thiamethoxam, in natural LUFA 2.2 soil, through three generations of Folsomia candida..pdf",Ecotoxicology (2018) 27:764–771,10.1007/s10646-017; 10.1007/s10646-017-1765-8,2018,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Ball milling and acetic acid co-modified sludge biochar enhanced by electrochemistry to activate peroxymonosulfate for sustainable degradation of environmental concentration neonicotinoids..pdf,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2022.130336,2023,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Biodegradation and detoxification of neonicotinoid insecticide thiamethoxam by white-rot fungus Phanerochaete chrysosporium..pdf,Contents lists available at ScienceDirect,10.1002/ps.4024; 10.1007/978-3-319-77386-5_7,2021,Alcaligenes faecalis PMS-1. Int; TMX-23; TMX-23. Appl. https; in the toxicology research; sordida. J. Hazard. Mater; was induced on potato,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Biodegradation and Metabolic Pathway of the Neonicotinoid Insecticide Thiamethoxam by iLabrys portucalensisi F11..pdf,Molecular Sciences,10.3390/ijms232214326; 10.3390/ijms232214326/s1,2022,B2. Bull Environ. Contam; Capable of Fluorobenzene Degradation; F11 via Ortho Cleavage; IMBL 4.1 and Pseudomonas; IMBL 5.2 were able; L. portucalensis F11,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Biodegradation of flonicamid by Ensifer adhaerens CGMCC 6315 and enzymatic characterization of the nitrile hydratases involved..pdf,Zhao et al. Microb Cell Fact (2021) 20:133,10.1186/s12934-021-01620-4,2021,Rhodococcus sp. BCH2 and; TMX-23. https; for protein expression experi,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Biodegradation of pesticide in agricultural soil employing entomopathogenic fungi Current state of the art and future perspectives..pdf,Contents lists available at ScienceDirect,10.1016/J.CHEMOSPHERE.4.2017.10.011; 10.1016/j.heliyon.2023.e23406,2024,Cladosporium cladosporioides Hu-01; Metarhizium anisopliae was suggested; a pure fungal strain; in response to the; separation and microbial degradation; soil microbes. For fungal,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth.pdf,Biodegradation (2012) 23:297–310,10.1007/s10532-011-9509-6,2012,B. amyloliquefaciens IN937a and; B. pumilus SE34 more; Bordetella sp. B9. Biodegradation; FZB24; GB03. The PGPR strains; IN937a,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Biodegradation of the neonicotinoid insecticide thiamethoxam by the nitrogen-fixing and plant-growth-promoting rhizobacterium Ensifer adhaerens strain TMX-23..pdf,Appl Microbiol Biotechnol (2013) 97:4065–4074,10.1007/s00253-012-4638-3,2013,MRL3. Ecotoxicology 20; MRM6. Bull Environ Contam; N7 isolated from toAlexander; PS19. Pestic Biochem Phys; TMX-23 Guang-can Zhou; TMX-23 enriched in MSM,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Cardiotoxicity and myocardial infarction-associated DNA damage induced by thiamethoxam in vitro and in vivo Protective role of Trigonella foenum-graecum seed-derived polysaccharide..pdf,Received: 20 June 2018 Revised: 24 October 2018 Accepted: 3 November 2018,10.1002/tox.22682,2025,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Cellulose Nanocrystals Loaded with Thiamethoxam Fabrication, Characterization, and Evaluation of Insecticidal Activity against iPhenacoccus solenopsisi Tinsley (Hemiptera Pseudococcidae)..pdf",Cellulose Nanocrystals Loaded with Thiamethoxam:,10.3390/nano10040788,2020,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Changed degradation behavior of pesticides when present in mixtures..pdf,Eco-Environment & Health 1 (2022) 23–30,10.1007/BF02716843; 10.1007/s00374-002-0485-1,2022,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Characterization and metabolic analysis of domesticated anaerobic bacteria for effective thiamethoxam bioremediation Enzymatic, genetic, and pathway insights..pdf",Environmental Research 279 (2025) 121813,10.1002/anie.202005739; 10.1007/s00253-012-4638,2025,M1. Electron. J. Biotechnol; TMX-23. Appl. 2023. Enhanced,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Chronic exposure to imidacloprid or thiamethoxam neonicotinoid causes oxidative damages and alters carotenoid-retinoid levels in caged honey bees (Apis mellifera)..pdf,www.nature.com/scientificreports,10.1007/s10646-010-0546-4; 10.1021/acs.est.6b00678,2018,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Co-Mn-Fe spinel-carbon composite catalysts enhanced persulfate activation for degradation of neonicotinoid insecticides (Non) radical path identification, degradation pathway and toxicity analysis..pdf",Contents lists available at ScienceDirect,10.1002/adfm.201102361; 10.1002/adma.201305459,2023,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Comparison of Combined Dissipation Behaviors and Dietary Risk Assessments of Thiamethoxam, Bifenthrin, Dinotefuran, and Their Mixtures in Tea..pdf",Comparison of Combined Dissipation Behaviors and Dietary,10.3390/foods13193113; 10.3390/foods13193113/s1,2024,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Comparison of linuron degradation in the presence of pesticide mixtures in soil under laboratory conditions..pdf,Environ Monit Assess (2013) 185:8109–8114,10.1007/s10661-013-3158-7,2013,,candidate_pathway/metabolite,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Comparison of the effectiveness of thiamethoxam and its main metabolite clothianidin after foliar spraying and root irrigation to control Myzus persicae on peach..pdf,www.nature.com/scientificreports,10.1038/s41598-022-20659-w,2022,of Aphis gossypii Glover,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Considering degradation kinetics of pesticides in plant uptake models proof of concept for potato..pdf,Received: 31 July 2022 Revised: 7 November 2022 Accepted article published: 13 November 2022 Published online in Wiley Online Library: 24 November 2022,10.1002/ps.7184; 10.1002/ps.7241,2025,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Context-Dependent Effect of Dietary Phytochemicals on Honey Bees Exposed to a Pesticide, Thiamethoxam..pdf",https://doi.org/10.1093/jisesa/ieab053,10.1093/jisesa/ieab053,2021,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf,PUBLISHED 14 September 2022,10.1001/archneurol; 10.1001/jamaneurol.2013.6030,2022,CF-BD. In the presence; CL4 has that are; IM-2. J. Agric. Food; Klebsiella concentrations; Rhodococcus sp. BCH2 and; across several agricultural and,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Deciphering the biodegradation of thiamethoxam by Phanerochaete chrysosporium with natural siderite Synergistic mechanisms, transcriptomics characterization, and molecular simulation..pdf",Contents lists available at ScienceDirect,10.1016/S1003-6326(18)64709-0; 10.1016/j,2024,W18 reveals its adaptative,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Degradation Dynamics and Dietary Risk Assessments of Two Neonicotinoid Insecticides during Lonicera japonica Planting, Drying, and Tea Brewing Processes.pdf","Subscriber access provided by University of Newcastle, Australia",10.1021/acs.jafc.6b04658,2017,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Degradation of Neonicotinoids and Caffeine from Surface Water by Photolysis..pdf,Degradation of Neonicotinoids and Caffeine from Surface,10.3390/molecules26237277,2021,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Degradation of sex pheromone and plant volatile components by an antennal glutathione S-transferase in the oriental fruit moth,Grapholita molesta Busck (Lepidoptera Tortricidae)..pdf",Degradation of sex pheromone and plant volatile,10.1002/arch.21512,2018,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Degradation of the insecticides thiamethoxam and imidacloprid by zero-valent metals exposed to ultrasonic irradiation in water medium electrospray ionization mass spectrometry monitoring..pdf,RAPID COMMUNICATIONS IN MASS SPECTROMETRY,10.1002/rcm; 10.1002/rcm.3749,2025,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Degradation of the neonicotinoid pesticide imidacloprid by electrocoagulation and ultrasound..pdf,www.nature.com/scientificreports,10.1038/s41598-024-59568-5,2024,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Degradation of the Neonicotinoid Pesticides in the Atmospheric Pressure Ionization Source..pdf,"B American Society for Mass Spectrometry, 2017 J. Am. Soc. Mass Spectrom. (2018) 29:373Y381",10.1007/s13361-017-1832-7,2018,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Degradation of thiamethoxam by the synergetic effect between anodic oxidation and Fenton reactions..pdf,Contents lists available at ScienceDirect,10.1016/j.jhazmat.2016.02.064,2016,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Degradation of Thiamethoxam in aqueous solution by ozonation Influencing factors, intermediates, degradation mechanism and toxicity assessment..pdf",Chemosphere 146 (2016) 105e112,10.1016/j.chemosphere.2015.09.009,2016,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Degradation of Three Herbicides and Effect on Bacterial Communities under Combined Pollution..pdf,Degradation of Three Herbicides and Effect on Bacterial,10.3390/toxics12080562; 10.3390/toxics12080562/s1,2024,DN36. Appl. Microbiol. Biotechnol; Nocardioides of sp. Nocardioides; Nocardioides sp. DN36 from; could e; could efficiently degrade prometryn; of Pseudomonas oleovorans that,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Degradation Processes of Pesticides Used in Potato Cultivations..pdf,Degradation Processes of Pesticides,10.1002/cbf.1411; 10.1002/jms.1204,2016,BSF01; Bacillus subtilis BSF01 and; Brevibacterium aureum and its; CPN 1. Biodegradation 19; DeI-1 and DeII 2; DeI-1 was more effective,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Determination of the residue dynamics and dietary risk of thiamethoxam and its metabolite clothianidin in citrus and soil by LC-MSMS..pdf,"Pesticides, Food Contaminants, and Agricultural Wastes",10.1007/s10661-017; 10.1007/s12161-013-9710-9,2019,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Dissipation Behavior and Acute Dietary Risk Assessment of Thiamethoxam and Its Metabolite Clothianidin on Spinach..pdf,Dissipation Behavior and Acute Dietary Risk Assessment of,10.3390/molecules27072209; 10.3390/molecules27072209/s1,2022,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Dissipation Behavior and Dietary Risk Assessment of Thiamethoxam, Pyraclostrobin, and Their Metabolites in Home-Style Pickled Cowpea..pdf",Dissipation Behavior and Dietary Risk Assessment of,10.3390/foods12183337; 10.3390/foods12183337/s1,2023,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,Dissipation Kinetics and Environmental Risk Assessment of Thiamethoxam in the Sandy Clay Loam Soil of Tropical Sugarcane Crop Ecosystem..pdf,Bulletin of Environmental Contamination and Toxicology,10.1007/s00128-020-02951-5; 10.1016/j.foodc,2020,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Dissipation of neonicotinoid insecticides imidacloprid, indoxacarb and thiamethoxam on pomegranate (Punica granatum L.)..pdf",Ecotoxicology and Environmental Safety 171 (2019) 130–137,10.1016/j.ecoenv.2018.12.070,2019,,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
Thiamethoxam,PDF automated candidate; manual validation required,"Dissipation, Bioconcentration and Dietary Risk Assessment of Thiamethoxam and Its Metabolites in iAgaricus bisporusi and Substrates under Different Application Methods..pdf","Dissipation, Bioconcentration and Dietary Risk Assessment of",10.3390/toxics11060500; 10.3390/toxics11060500/s1,2023,mixed with 25 kg,candidate_gene/enzyme_plus_pathway,,,Thiamethoxam,,,Review against paper before integration,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707
