pesticide,pdf_file,probable_title,doi_candidates,year_candidates,candidate_microorganisms_or_strains,biodegradation_term_hits,molecular_term_hits,pathway_term_hits,automated_evidence_signal,review_decision,review_notes,curation_folder,pesticide_mentions,pesticide_degradation_contexts,microbial_contexts_near_pesticide,gene_enzyme_contexts_near_pesticide,abiotic_or_irrelevant_flags,title_has_pesticide,title_has_degradation_term,best_pesticide_context,review_score,review_priority,recommended_review_action,likely_database_use
Abamectin,Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism..pdf,Research in Microbiology 166 (2015) 408e418,10.1016/j.resmic.2015.04.002,2012; 2013; 2014; 2015,ABM biodegradation products of; ADP adsorption to layered; Burkholderia sp GB-01 for; DP-2. J Enhanced biotransformation; E56; KB2. Int Biodeter Biodegr,171,17,64,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Abamectin/PesticideDB_curation_Abamectin_20260707,14,13,13,2,1,0,0,"Research in Microbiology 166 (2015) 408e418 www.elsevier.com/locate/resmic Original article Degradation of abamectin by newly isolated Stenotrophomonas maltophilia ZJB-14120 and characterization of its abamectin-tolerance mechanism Yuan-Shan Wang a,b, Xing-Chang Zheng a,b, Qi-Wei Hu a,b, Yu-Guo Zheng a,b,* a Institute of Bioengineering, Zhejiang University of Technology, No. 18, Chaowang Road, Hangzhou, Zhejiang 310014, PR China b Engineering Research Center of Bioconversion and Biopurification of Ministry of Education, Zhejiang University of Technology, No. 18, Chaowang Road, Hangzhou, Zhejiang 310014, PR Ch",189,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Penthiopyrad,Stereoselective degradation behavior of the novel chiral antifungal agrochemical penthiopyrad in soil..pdf,Environmental Research 194 (2021) 110680,10.1016/j.envres.2020.110680,2018; 2019; 2020; 2021,,106,6,34,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707,127,25,17,2,1,0,0,"Environmental Research 194 (2021) 110680 Contents lists available at ScienceDirect Environmental Research journal homepage: www.elsevier.com/locate/envres Stereoselective degradation behavior of the novel chiral antifungal agrochemical penthiopyrad in soil Zhengyi Liu, Dan Chen, Jiahua Han, Ye Chen, Kankan Zhang * State Key Laboratory Breeding Base of Green Pesticide and Agricultural Bioengineering, Key Laboratory of Green Pesticide and Agricultural Bioengineering, Ministry of Education, Guizhou University, Guiyang, 550025, China A R T I C L E I N F O A B S T R A C T Keywords: Penthiopyrad is a chiral carboxamide fungicide with a broad spectrum of fungicidal activity. However, there is Penthiopyrad no report on the analysis of the enantio",189,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Phosmet,"Photolysis experiments on phosmet, an organophosphorus insecticide..pdf","5990 J. Agric. Food Chem. 2003, 51, 5990−5995",10.1021/jf034253y,1998; 1999; 2000; 2003,,51,6,114,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Phosmet/PesticideDB_curation_Phosmet_20260707,62,28,8,2,1,0,0,"5990 J. Agric. Food Chem. 2003, 51, 5990−5995 Photolysis Experiments on Phosmet, an Organophosphorus Insecticide KATRIN SINDERHAUF AND WOLFGANG SCHWACK* Institut für Lebensmittelchemie, Universität Hohenheim, Garbenstrasse 28, D-70593 Stuttgart, Germany The organophosphorus insecticide phosmet is used in plant protection as well as against parasites on animals. Phosmet showed numerous photoinduced reaction pathways, which first were studied in the presence of model environments for animal fur lipids (e.g., wool wax). The model solvents for saturated and unsaturated lipids were cyclohexane and cyclohexene, whereas methanol and 2-propanol were used as models for primary and secondary alcohol moieties of lipids. The measured degradation rates over an irradiation period of 7 h in all sol",189,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Thiamethoxam,"Comparison of Combined Dissipation Behaviors and Dietary Risk Assessments of Thiamethoxam, Bifenthrin, Dinotefuran, and Their Mixtures in Tea..pdf",Comparison of Combined Dissipation Behaviors and Dietary,10.3390/foods13193113; 10.3390/foods13193113/s1,2021; 2022; 2023; 2024,,40,35,40,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707,86,20,2,11,1,0,0,"lique hypulina Foods 2024, 13, 3113. https://doi.org/10.3390/foods13193113 https://www.mdpi.com/journal/foods Foods 2024, 13, 3113 2 of 13 Wehrli), and stick tea thrip (Dendrothrips minowai Priesner) are notable, inflicting substan tial damage on tea yield and quality [2]. To combat these threats, farmers often opt for pesticide mixtures containing two or more varieties, as this method is considered more effective than individual pesticide applications [3,4]. For example, emamectin benzoate and thiamethoxam were used in combination to control both tea geometrid and tea green leafhopper [5]. By offering a broader spectrum of pest control, mixed pesticides enhance efficacy in tea cultivation [6]. Pesticides play a crucial role in managing pests, pathogens, and weeds in tea cultivation. Despite undergoing natural processes like degradation through hydrolysis, photolysis, and microbial break",189,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Fluxapyroxad,Setting of import tolerances for fluxapyroxad in certain root crops and coffee beans..pdf,ADOPTED: 27 November 2019,10.2903/j.efsa; 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2011.2196; 10.2903/j.efsa.2013.3312,2018; 2019; 2020; 2025,,13,13,59,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Fluxapyroxad/PesticideDB_curation_Fluxapyroxad_20260707,22,4,4,10,0,0,0,"xad in certain root crops and coffee beans Assessment The European Food Safety Authority (EFSA) received an application from BASF SE to set import tolerances for the active substance ﬂuxapyroxad in various crops. The detailed description of the notiﬁed uses of ﬂuxapyroxad in Brazil for coffee beans and in the United States for the group of other root and tuber vegetables (except sugar beets), which are the basis for the current maximum residue level (MRL) application, is reported in Appendix A. Fluxapyroxad is the ISO common name for 3-(diﬂuoromethyl)-1-methyl-20 -(3,4,5-triﬂuorophenyl)1H-pyrazole-4-carboxanilide (IUPAC). The chemical structures of the active substance and its main metabolite are reported in Appendix E. Fluxapyroxad is an active substance approved in accordance with Regulation (EC) No 1107/20091 by Regulation (EU) No 589/20122 which entered into force on 1 January 2013.",187,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Vinclozolin,Degradation of iprodione by a soil Arthrobacter-like strain..pdf,"APPLIED AND ENVIRONMENTAL MICROBIOLOGY, Sept. 1995, p. 3216–3220 Vol. 61, No. 9",,1990; 1991; 1992; 1995,MA6 could not use; MA6 cultivated iprodione; MA6 or in an; MA6 was isolated on; MA6. in the place; PATRICIA ATHIEL,146,1,104,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707,13,13,12,0,0,0,0,"ontrast, in the sterile control medium, iprodione was spontaneously transformed into hydantoic acid and an iprodione isomer. Chemical and biological transformations of iprodione seem to occur through two different pathways. One biological degradation pathway is proposed. Agronomists periodically observe the failure of soil-applied Walker (17) demonstrated that 3,5-dichloroaniline (3,5-D) pesticides to control targeted pests and disease. Pesticide fail- was a degradation product of iprodione and vinclozolin and ure could be due to acquired resistance of the organisms; appeared concomitantly with the disappearance of these funhowever, in many cases it is known to be the result of a highly gicides. He described a test, based on colorimetric characterlimited persistence of the active ingredient (13). ization of 3,5-D, for identifying soils in which rapid degrada Except for some recalcitrant,",187,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Propamocarb,"Degradation of propamocarb-hydrochloride in tomatoes, potatoes and cucumber using HPLC-DAD and QuEChERS methodology..pdf","See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/225374534",10.1007/s00128-012-0703-y,2009; 2010; 2012; 2014,,6,1,10,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707,24,6,10,2,0,0,0,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/225374534 Degradation of Propamocarb-hydrochloride in Tomatoes, Potatoes and Cucumber Using HPLC-DAD and QuEChERS Methodology Article in Bulletin of Environmental Contamination and Toxicology · June 2012 DOI: 10.1007/s00128-012-0703-y · Source: PubMed CITATIONS READS 14 2,842 2 authors, including: Sherif Hussein Abd-Alrahman Agricultural Research Center 88 PUBLICATIONS 1,198 CITATIONS SEE PROFILE All content following this page was uploaded by Sherif Hussein Abd-Alrahman on 16 May 2014. The user has requested enhancement of the do",185,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Vinclozolin,"Simultaneous determination of vinclozolin and detection of its degradation products in mouse plasma, serum and urine, and from rabbit bile, by high-performance liquid chromatography..pdf",Simultaneous determination of vinclozolin and detection of its degradation,10.1016/j.chroma.2006.02.062,2003; 2004; 2005; 2006,,49,0,104,candidate_pathway/metabolite,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707,92,36,6,0,0,1,1,"Journal of Chromatography A, 1115 (2006) 8–18 Simultaneous determination of vinclozolin and detection of its degradation products in mouse plasma, serum and urine, and from rabbit bile, by high-performance liquid chromatography Mugunthu R. Dhananjeyan a,∗ , Paul W. Erhardt a , Cynthia Corbitt b a Center for Drug Design and Development, College of Pharmacy, University of Toledo, Toledo, OH 43606, USA b Department of Biology, University of Louisville, Louisville KY 40292, USA Received 17 November 2005; received in revised form 15 February 2006; accepted 21 February 2006 Available on",185,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Mandipropamid,Modification of the existing maximum residue levels for mandipropamid in various crops..pdf,APPROVED: 21 January 2019,10.2903/j.efsa; 10.2903/j.efsa.2007.32r; 10.2903/j.efsa.2018; 10.2903/j.efsa.2018.5284,2017; 2018; 2019; 2025,,62,16,80,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Mandipropamid/PesticideDB_curation_Mandipropamid_20260707,145,13,2,5,0,0,0,"s studies and the capabilities of enforcement analytical methods, the MRL review proposed the residue deﬁnition for enforcement as: ‘mandipropamid (any ratio of constituent isomers)’. The residue deﬁnition for enforcement set in Regulation (EC) No 396/2005 is equivalent to the above mentioned residue deﬁnition, although it does not detail that it covers any ratio of constituent isomers. The residue deﬁnition for risk assessment was proposed by the MRL review for fruits and leafy vegetables as: ‘mandipropamid (any ratio of constituent isomers)’. The MRL review proposed a tentative residue deﬁnition for risk assessment for root crops as: ‘sum of mandipropamid and SYN 500003’, pending on the submission of toxicological information for hazard characterisation of the metabolite SYN 500003. The tentative residue deﬁnition for risk assessment for root crop commodities was used for the root cate",183,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Penthiopyrad,Modification of the existing maximum residue levels for penthiopyrad in Florence fennels and celeries..pdf,ADOPTED: 2 September 2020,10.2903/j.efsa; 10.2903/j.efsa.2012.2948; 10.2903/j.efsa.2016.4648; 10.2903/j.efsa.2018.5147,2018; 2019; 2020; 2025,,81,21,106,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707,191,29,3,4,0,0,0,"i Abstract In accordance with Article 6 of Regulation (EC) No 396/2005, the applicant Corteva submitted a request to the competent national authority in Italy to modify the existing maximum residue levels (MRLs) for the active substance penthiopyrad in Florence fennels and celeries. The data submitted in support of the request were found to be sufﬁcient to derive MRL proposals for Florence fennels and celeries. Adequate analytical methods for enforcement are available to control the residues of penthiopyrad in the commodities under consideration at the validated limit of quantiﬁcation (LOQ) of 0.01 mg/kg. Based on the risk assessment results, EFSA concluded that the short-term and long-term intake of penthiopyrad residues and of its metabolite PAM, resulting from the use of penthiopyrad according to the reported agricultural practice is unlikely to present a risk to consumer health. The",183,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Propamocarb,Modification of the existing maximum residue level for propamocarb in honey..pdf,Approved: 27 October 2023,10.2903/j; 10.2903/j.efsa.2023.8422,2021; 2022; 2023; 2025,,23,10,67,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Propamocarb/PesticideDB_curation_Propamocarb_20260707,171,8,7,0,0,0,0,"sted information. Based on the conclusions derived by EFSA in the framework of Directive 91/414/EEC, the data evaluated under previous MRL assessments, and the additional data provided by the EMS in the framework of this application, the following conclusions are derived. The metabolism of propamocarb following foliar and soil applications was investigated in crops belonging to the groups of fruit crops, root crops and leafy crops. Studies investigating the effect of processing on the nature of propamocarb (hydrolysis studies) demonstrated that the active substance is stable under processing conditions. In rotational crops, the confined study did not indicate that a different metabolism is expected in rotational crops. Based on the metabolic pattern identified in metabolism studies, hydrolysis studies, the toxicological relevance of metabolites, the residue definitions for plant products",183,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Pymetrozine,Residue Behavior of Methoxyfenozide and Pymetrozine in Chinese Cabbage and Their Health Risk Assessment..pdf,Residue Behavior of Methoxyfenozide and Pymetrozine in,10.3390/foods11192995; 10.3390/foods11192995/s1,2019; 2020; 2021; 2022,,19,5,42,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Pymetrozine/PesticideDB_curation_Pymetrozine_20260707,92,9,1,7,1,1,0,"cs and influence of environmental factors on the dissipation of methoxyfenozide and pymetrozine residues in Chinese cabbage were investigated. Analyses were performed using a modified QuEchERS (Quick, Easy, Cheap, Effective, Rugged, and Safe) and an optimized high performance liquid chromatography-tandem mass spectrometry (HPLC-MS/MS). The observed half-lives of methoxyfenozide and pymetrozine in cabbage samples ranged between two sampling seasons: in May–June, half-lives of methoxyfenozide and pymetrozine were 1.20 days and 1.89 days, respectively; during October–November, half-lives of methoxyfenozide and pymetrozine were 11.8 and 2.80 days, respectively. Meanwhile, a negative Spearman correlation was found between the residual concentrations and temperature (p < 0.01). This indicates that higher temperatures resulted in higher dissipation rates for methoxyfenozide and pymetrozine, sug",183,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Trifloxystrobin,Modification of the existing maximum residue levels and setting of import tolerances for trifloxystrobin in various crops (1).pdf,Approved: 28 March 2025,10.2903/j.efsa.2025.9387,2022; 2023; 2024; 2025,,78,16,154,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707,224,18,3,4,0,0,0,"ion of the evaluation report, considering the outcome of the meeting and the clarification of the applicant. This version replaced the previously submitted evaluation reports, and therefore, EFSA resumed the assessment. Based on the conclusions derived by EFSA in the framework of Regulation (EC) No 1107/2009, the data evaluated under previous MRL assessments and the additional data provided by the EMS in the framework of this application, the following conclusions are derived. The metabolism of trifloxystrobin was investigated following foliar application in the fruit, root, cereals and pulses/ oilseeds crop groups. The metabolism of trifloxystrobin was similar in all crops. The parent compound was the major component of the total radioactive residues (TRR). In addition, the three isomers (CGA 357262 (M2), CGA 357261 (M3) and CGA 331409 (M4)) and the metabolite CGA 321113 (M5) were also",183,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Trifloxystrobin,Simultaneous detection and degradation patterns of kresoxim-methyl and trifloxystrobin residues in citrus fruits by HPLC combined with QuEChERS.pdf,"This article was downloaded by: [University of Tennessee, Knoxville]",10.1080/03601234.2013.761877,2011; 2012; 2013; 2015,,16,0,31,candidate_pathway/metabolite,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Trifloxystrobin/PesticideDB_curation_Trifloxystrobin_20260707,55,10,27,0,0,0,0,"uary 2015, At: 05:10 Publisher: Taylor & Francis Informa Ltd Registered in England and Wales Registered Number: 1072954 Registered office: Mortimer House, 37-41 Mortimer Street, London W1T 3JH, UK Journal of Environmental Science and Health, Part B: Pesticides, Food Contaminants, and Agricultural Wastes Publication details, including instructions for authors and subscription information: http://www.tandfonline.com/loi/lesb20 Simultaneous detection and degradation patterns of kresoxim-methyl and trifloxystrobin residues in citrus fruits by HPLC combined with QuEChERS a a b b Jie Zhu , Xian J. Dai , Jian J. Fang & Hua M. Zhu a College of Life Science , China Jiliang University , Hangzhou , China b Quzhou Center of Calibration and Testing for Quality and Technical Supervision , Quzhou , China Published online: 01 Mar 2013. To cite this article: Jie Zhu , Xian J. Dai , Jian J. Fang & Hua M.",183,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Penthiopyrad,Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies.pdf,Influence of Bacillus subtilis and Trichoderma,10.3390/molecules25061421,2018; 2019; 2020; 2022,B1 and its application; Bacillus sp. N1. J; NY97-1. Int. J. Environ; by plants and antagonized; was inoculated into a,120,11,41,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707,109,31,40,1,1,0,0,"molecules Article Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies Magdalena Podbielska 1, * , Małgorzata Kus-Liśkiewicz 1 , Bartosz Jagusztyn 1 , Bartosz Piechowicz 2 , Stanisław Sadło 3,† , Magdalena Słowik-Borowiec 1 , Magdalena Twarużek 4 and Ewa Szpyrka 1 1 Department of Biotechnology, Institute of Biology and Biotechnology, University of Rzeszów, Pigonia 1, 35-310 Rzeszow, Poland; mkus@univ.rzeszow.pl (M.K.-L.); bartoszjagusztyn@wp.pl (B.J.); m.slowik_borowiec@interia.pl (M.S.-B.); ewaszpyrka@interia.pl (E",181,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Penthiopyrad,"Systemic enantioselectivity study of penthiopyrad enantioselective bioactivity, acute toxicity, degradation and influence on tomato..pdf",Received: 8 November 2022 Revised: 3 January 2023 Accepted article published: 1 February 2023 Published online in Wiley Online Library: 16 February 2023,10.1002/ps.7388,2021; 2022; 2023; 2025,of Daphnia magna. Aquat,29,14,14,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Penthiopyrad/PesticideDB_curation_Penthiopyrad_20260707,19,9,12,1,1,0,0,"Research Article Received: 8 November 2022 Revised: 3 January 2023 Accepted article published: 1 February 2023 Published online in Wiley Online Library: 16 February 2023 (wileyonlinelibrary.com) DOI 10.1002/ps.7388 Systemic enantioselectivity study of penthiopyrad: enantioselective bioactivity, acute toxicity, degradation and inﬂuence on tomato Rui Liu,a Yue Deng,a Di Wu,b Yuping Liu,a Zikang Wang,a Simin Yu,a Yufan Nie,a Wentao Zhu,a Zhiqiang Zhoua and Jinling Diaoa* Abstract BACKGROUND: In order to promote the green development of agriculture, it is important to study the enantioselective effect of chiral pesticides. The bioactivity of the chiral fungicide penthiopyrad (PEN) racemate and enantiomers against phytopathogens, toxicity to non-target organi",181,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Thiamethoxam,Degradation of the Neonicotinoid Pesticides in the Atmospheric Pressure Ionization Source..pdf,"B American Society for Mass Spectrometry, 2017 J. Am. Soc. Mass Spectrom. (2018) 29:373Y381",10.1007/s13361-017-1832-7,2015; 2016; 2017; 2018,,74,5,77,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707,51,38,1,8,1,0,0,"arch Institute, Chinese Academy of Agricultural Sciences, 9 South Meiling Road, Hangzhou, 310008, People’s Republic of China 2 Key Laboratory of Tea Quality and Safety Control, Ministry of Agriculture, 9 South Meiling Road, Hangzhou, 310008, People’s Republic of China 3 Laboratory of Quality and Safety Risk Assessment for Tea (Hangzhou), Ministry of Agriculture, 9 South Meiling Road, Hangzhou, 310008, People’s Republic of China Abstract. During the analysis of neonicotinoid pesticide standards (thiamethoxam, clothianidin, imidacloprid, acetamiprid, and thiacloprid) by mass spectrometry, the degradation of these pesticides (M-C=N-R is degraded into M-C=O, M is the skeleton moiety, and R is NO2 or CN) was observed in the atmospheric pressure ionization interfaces (ESI and APCI). In APCI, the degradation of all the five neonicotinoid pesticides studied took place, and the primary mechanism",181,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Thiamethoxam,Maize (Zea mays) seeds can detect above-ground weeds; thiamethoxam alters the view..pdf,Received: 17 July 2014 Revised: 4 September 2014 Accepted article published: 4 November 2014 Published online in Wiley Online Library: 12 December 2014,10.1002/ps.3789; 10.1002/ps.3936,2013; 2014; 2015; 2025,,11,82,18,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707,74,6,1,21,0,0,0,d delay seed germination. Thiamethoxam as a seed treatment has been observed to enhance seed germination. No previous work has explored the eﬀect of thiamethoxam on the physiological response of buried maize seed when germinating in the presence of above-ground weeds. We hypothesised that the changes in red:far red reﬂected from above-ground weeds would be detected by maize seed phytochrome and delay seed germination by decreasing the level of GA and increasing ABA. We further hypothesised that thiamethoxam would overcome this delay in germination. RESULTS: Thiamethoxam enhanced seed germination in the presence of above-ground weeds by increasing GA signalling and downregulating DELLA protein and ABA signalling genes. An increase in amylase activity and a degradation of starch were also observed. CONCLUSIONS: Far red reﬂected from the above-ground weeds was capable of penetrating below t,181,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Thiamethoxam,The dissipation of thiamethoxam and its main metabolite clothianidin during strawberry growth and jam-making process..pdf,www.nature.com/scientificreports,10.1038/s41598-018-33334-w,2014; 2016; 2017; 2018,,22,3,34,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiamethoxam/PesticideDB_curation_Thiamethoxam_20260707,80,34,2,5,0,0,0,"www.nature.com/scientificreports OPEN The dissipation of thiamethoxam and its main metabolite clothianidin during strawberry Received: 2 May 2018 Accepted: 20 September 2018 growth and jam-making process Published: xx xx xxxx Na Liu1, Xinglu Pan2, Qingxi Yang3, Mingshan Ji3 & Zhihong Zhang 1 Few studies focused on the residue of thiamethoxam and its metabolite clothianidin on strawberry where it is widely used, despite this is essential to assess the potential food risk of thiamethoxam and its main metabolite clothianidin. In this study, the dissipation of thiame",181,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Thiophanate-Methyl,Characterization of the ultraviolet-visible photoproducts of thiophanate-methyl using high performance liquid chromatography coupled with high resolution tandem mass spectrometry-Detection in grapes and tomatoes..pdf,Contents lists available at ScienceDirect,10.1016/j.chroma.2016.02; 10.1016/j.chroma.2016.02.078,2012; 2014; 2015; 2016,,34,4,119,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707,57,26,12,3,2,0,0,"ion of the ultraviolet–visible photoproducts of thiophanate-methyl using high performance liquid chromatography coupled with high resolution tandem mass spectrometry—Detection in grapes and tomatoes Houda Chayata, Yannick Lassalle, Édith Nicol, Sophia Manolikakes, Yasmine Souissi, Sophie Bourcier, Corinne Gosmini, Stéphane Bouchonnet ∗ LCM, CNRS, École Polytechnique, Université Paris-Saclay, 91128 Palaiseau, France a r t i c l e i n f o a b s t r a c t Article history: UV–visible irradiation of thiophanate-methyl (TM) led to the formation of nine photoproducts that were Received 13 January 2016 characterized by high performance liquid chromatography coupled with high resolution Fourier transReceived in revised form 25 February 2016 form ion cyclotron resonance mass spectrometry (FTICR-MS). Although carbendazime has been reported Accepted 26 February 2016 in the literature to be the major",178,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Thiophanate-Methyl,Peer review of the pesticide risk assessment of the active substance thiophanate-methyl..pdf,CONCLUSION ON PESTICIDES PEER REVIEW,10.1016/j.foodcont.2014.03.003; 10.2903/j.efsa.2008.622; 10.2903/j.efsa.2009.1438; 10.2903/j.efsa.2010,2016; 2017; 2018; 2025,,157,17,153,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Thiophanate-Methyl/PesticideDB_curation_Thiophanate_Methyl_20260707,168,13,9,5,3,0,0,"lation (EC) No 1107/2009 of the European Parliament and of the Council. The conclusions laid down in this report were reached on the basis of the evaluation of the representative uses of thiophanate-methyl as a fungicide on wine grapes, tomato, aubergine, leek, fresh beans with pods and wheat (winter and durum), as proposed by the applicant. Full details of the representative uses can be found in Appendix A of this report. Data were submitted to conclude that the proposed representative uses of thiophanate-methyl result in a sufﬁcient fungicidal efﬁcacy against the target organisms. A data gap has been identiﬁed for a search of the scientiﬁc peer-reviewed open literature on the active substance and its relevant metabolites, in the mammalian toxicology section, for a detailed assessment of the published literature and for a tomato processing study considered relevant by EFSA that should h",177,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Vinclozolin,Chiral separation and enantioselective degradation of vinclozolin in soils..pdf,Chiral Separation and Enantioselective Degradation of Vinclozolin,10.1002/chir; 10.1002/chir.22284,2011; 2013; 2014; 2025,,45,1,14,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Vinclozolin/PesticideDB_curation_Vinclozolin_20260707,87,21,17,1,2,1,1,"CHIRALITY 26:155–159 (2014) Chiral Separation and Enantioselective Degradation of Vinclozolin in Soils HUI LIU, DONGHUI LIU, ZHIGANG SHEN, MINGJING SUN, ZHIQIANG ZHOU,* AND PENG WANG Department of Applied Chemistry, China Agricultural University, Beijing, China ABSTRACT Vinclozolin is a chiral fungicide with potential environmental problems. The chi ral separation of the enantiomers and enantioselective degradation in soil were investigated in this work. The enantiomers were separated by high-performance liquid chromatography (HPLC) on Chiralpak IA, IB, and AZ-H chiral columns under nor",177,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
Imazamox,Photosynthetic Performance of the Imidazolinone Resistant Sunflower Exposed to Single and Combined Treatment by the Herbicide Imazamox and an Amino Acid Extract..pdf,published: 25 October 2016,10.1002/jpln.200800174; 10.1002/ps.3710; 10.1002/ps.993; 10.1007/s00122-011,2013; 2014; 2015; 2016,,10,16,12,candidate_gene/enzyme_plus_pathway,,,/Volumes/WENTBROKE/Pesticide degradation database/pesticidepdf/Imazamox/PesticideDB_curation_Imazamox_20260707,93,9,2,4,0,0,0,"erences between treated and untreated plants at 14 DAT only amino acid extract (AAE) did not have any effects on were smaller than at 7 DAT. While the recovery of E was almost sunflower plants at 7 and 14 DAT, but the growth of plants complete, the inhibition of A still was 19.9 % lower than in exposed to the combined treatment (AAE + imazamox) was less untreated control plants. retarded and their performance was better as compared with that Application of only AAE did not have any effect on of imazamox-treated plants. This effect was limited at 7 DAT and leaf gas exchange parameters of sunflower plants, but adding more pronounced at 14 DAT. of AAE to the imazamox solution (combined treatment) resulted in a slight improvement of plant performance in Leaf Imazamox Residues comparison to just imazamox. At 7 DAT the A of plants The resistance of IMI-R sunflower plants to imazamox is due to",175,High,Review first: likely useful for pathway/protein evidence extraction.,Pesticide-specific microbial degradation candidate
