pesticide_folder,total_pdf_named_files,pdf_header_files,html_placeholder_files,unknown_or_unreadable_files,sample_pdf_header_files,sample_placeholder_files
Ametoctradin,3,3,0,0,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf | Modification of the existing maximum residue level for ametoctradin in honey..pdf | Modification of the existing maximum residue levels for ametoctradin in herbs and edible flowers..pdf,
Aminopyralid,6,6,0,0,Aminopyralid Soil Residues Affect Crop Rotation in North Dakota Soils.pdf | Field degradation of aminopyralid and clopyralid and microbial community response to application in Alaskan soils..pdf | Modification of the existing maximum residue level for aminopyralid in maize..pdf | Modification of the existing maximum residue levels for aminopyralid in certain cereals..pdf | Review of the existing maximum residue levels for aminopyralid according to Article 12 of Regulation (EC) No 3962005..pdf,
Amitraz,7,0,7,0,,Amitraz_Marker_Residues_in_Honey_from_Honeybee_Colonies_Treated_with_Apiwarol_.pdf | Amitraz_and_Its_Metabolites__Oxidative_Stress_Mediated_Cytotoxicity_in_HepG2_Cel.pdf | Bacterial_degradation_of_monocyclic_aromatic_amines_.pdf | Differentially_expressed_genes_in_response_to_amitraz_treatment_suggests_a_propo.pdf | Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf
Amitrole,3,0,3,0,,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Effects_of_Ca_sup_2___sup__and_fulvic_acids_on_atrazine_degradation_by_nano_TiO_.pdf | The_effects_of_pesticide_mixtures_on_degradation_of_pendimethalin_in_soils_.pdf
Azinphos-Methyl,5,0,5,0,,Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf | Organophosphorus_pesticide_degradation_product_in_vitro_metabolic_stability_and_.pdf | Photodegradation_of_pesticides_using_compound_specific_isotope_analysis__CSIA___.pdf | Screening_for__i_Lactobacillus_plantarum__i__Strains_That_Possess_Organophosphor.pdf | Sonochemical_degradation_of_pesticides_in_aqueous_solution__investigation_on_the.pdf
Azoxystrobin,36,0,36,0,,1_Tetradecanol__Diethyl_Phthalate_and_Tween_80_Assist_in_the_Formation_of_Thermo.pdf | A_Leaf_Disc_Assay_for_Evaluating_the_Response_of_Tea___i_Camellia_sinensis__i___.pdf | Acute_exposure_to_a_commercial_formulation_of_Azoxystrobin_alters_antioxidant_en.pdf | An_Overview_of_Strobilurin_Fungicide_Degradation_Current_Status_and_Future_Persp.pdf | Antagonistic_Effect_of_Azoxystrobin_Poly__Lactic_Acid__Microspheres_with_Control.pdf
Benalaxyl,2,0,2,0,,Review_of_the_existing_maximum_residue_levels_for_benalaxyl_M_according_to_Artic.pdf | The_Removal_of_Atrazine_and_Benalaxyl_by_the_Fly_Ash_Released_from_Kosovo_A_Powe.pdf
Bentazone,14,0,14,0,,A_Brief_Photocatalytic_Study_of_ZnO_Containing_Cerium_towards_Ibuprofen_Degradat.pdf | Adsorption_of_bentazone_in_the_profiles_of_mineral_soils_with_low_organic_matter.pdf | An_Overview_of_Photocatalytic_Membrane_Degradation_Development_.pdf | Bioaugmentation_has_temporary_effect_on_anaerobic_pesticide_biodegradation_in_si.pdf | Combined_effects_of_micropollutants_and_their_degradation_on_prokaryotic_communi.pdf
Benzovindiflupyr,7,7,0,0,Conclusion on the peer review of the pesticide risk assessment of the active substance benzovindiflupyr..pdf | Modification of the existing maximum residue levels for benzovindiflupyr in fresh herbs and edible flowers..pdf | Modification of the existing maximum residue levels for benzovindiflupyr in leeks and spring onionsgreen onionsWelsh onions..pdf | Non-UV light influences the degradation rate of crop protection products..pdf | Stereoselective toxicity Investigating the adverse effects of benzovindiflupyr on Xenopus laevis tadpoles..pdf,
Bifenazate,4,0,4,0,,Modification_of_the_existing_maximum_residue_level_for_bifenazate_in_elderberrie.pdf | Modification_of_the_existing_maximum_residue_level_for_bifenazate_in_soya_bean_.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_bifenazate_.pdf | Updated_peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_bif.pdf
Bifenthrin,24,0,24,0,,Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf | Bifenthrin_Residues_in_Table_Grapevine__Method_Optimization__Dissipation_and_Rem.pdf | Bifenthrin_at_Sublethal_Concentrations_Suppresses_Mating_and_Laying_of_Female__i.pdf | Bifenthrin_induced_neurotoxicity_in_rats__involvement_of_oxidative_stress_.pdf | Bifenthrin_s_Environmental_Fate__An_Insight_Into_Its_Soil_Sorption_and_Degradati.pdf
Bitertanol,4,4,0,0,"Kinetic aspects and identification of by-products during the ozonation of bitertanol in agricultural wastewaters..pdf | Stereoselective Separation of the Fungicide Bitertanol Stereoisomers by High-Performance Liquid Chromatography and Their Degradation in Cucumber..pdf | Stereoselective bioactivity, toxicity and degradation of the chiral triazole fungicide bitertanol..pdf | Stereoselective environmental behavior and biological effects of the chiral bitertanol..pdf",
Bixafen,2,2,0,0,Degradation dynamics and dissipation kinetics of an imidazole fungicide (Prochloraz) in aqueous medium of varying pH..pdf | Realistic exposure of the fungicide bixafen in soil and its toxicity and risk to natural earthworm populations after multiyear use in cereal..pdf,
Boscalid,14,0,14,0,,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Dissipation_Residue_Behaviors_and_Dietary_Risk_Assessment_of_Boscalid_and_Pyracl.pdf | Dissipation_kinetics_and_biological_degradation_by_yeast_and_dietary_risk_assess.pdf | Effect_of_two_anti_fungal_treatments__metrafenone_and_boscalid_plus_kresoxim_met.pdf
Broflanilide,4,4,0,0,"Multi-centre discriminating concentration determination of broflanilide and potential for cross-resistance to other public health insecticides in Anopheles vector populations..pdf | Optimization and Application of the QuEChERS-UHPLC-QTOF-MS Method for the Determination of Broflanilide Residues in Agricultural Soils..pdf | Photolysis of the novel meta-diamide insecticide broflanilide in solutions Kinetics, degradation pathway, DFT calculation and ecotoxicity assessment..pdf | Residues Analysis and Dissipation Dynamics of Broflanilide in Rice and Its Related Environmental Samples..pdf",
Buprofezin,13,0,13,0,,Buprofezin_Is_Metabolized_by_CYP353D1v2__a_Cytochrome_P450_Associated_with_Imida.pdf | Conclusion_regarding_the_peer_review_of_the_pesticide_risk_assessment_of_the_act.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_of_Acephate_and_Its_Intermediate_Methamidophos__Mechanisms_and_Bioch.pdf | Effect_of_Processing_on_Residual_Buprofezin_Levels_in_Ginseng_Products_.pdf
Cadusafos,4,0,4,0,,Biodegradation_of_chlorpyrifos_by_enterobacter_strain_B_14_and_its_use_in_biorem.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Degradation_kinetics_and_physiological_studies_of_organophosphates_degrading_mic.pdf | Microbial_degradation_of_halogenated_aromatics__molecular_mechanisms_and_enzymat.pdf
Captan,16,0,16,0,,Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Dislodgeable_Foliar_Residue_Measurements_and_Assessment_of_Dermal_Exposure_to_Ca.pdf | Effect_of_plasma_activated_water_and_buffer_solution_combined_with_ultrasound_on.pdf | Effects_of_1_3_butadiene__isoprene__and_their_photochemical_degradation_products.pdf | Importance_of_Hydrogen_Sulfide__Thiosulfate__and_Methylmercaptan_for_Growth_of_T.pdf
carbaryl,50,0,50,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_Novel_Paper_Based_Electrochemical_Biosensor_Based_on_N_O_Rich_Covalent_Organic.pdf | A_Simple_and_Reliable_Dispersive_Liquid_Liquid_Microextraction_with_Smartphone_B.pdf | A_bispecific_nanobody_with_high_sensitivity_efficiency_for_simultaneous_determin.pdf | Acetylcholinesterase_Biosensor_Based_on_Functionalized_Renewable_Carbon_Platform.pdf
Carbendazim,47,0,47,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Cu_sub_2__sub_O_ZnO_PET_Composite_Membrane_for_the_Photocatalytic_Degrad.pdf | A_Sensitive_and_Selective_Electrochemical_Aptasensor_for_Carbendazim_Detection_.pdf | Aerobic_and_Anaerobic_Biodegradation_of_1_2_Dibromoethane_by_a_Microbial_Consort.pdf | An_Amidase_Gene___i_ipaH__i___Is_Responsible_for_the_Initial_Step_in_the_Iprodio.pdf
Chlorantraniliprole,33,0,33,0,,A_mechanism_based_approach_unveils_metabolic_routes_potentially_mediating_chlora.pdf | A_reference_gene_set_for_sex_pheromone_biosynthesis_and_degradation_genes_from_t.pdf | Biochemical_basis_of_synergism_between_pathogenic_fungus_Metarhizium_anisopliae_.pdf | CRISPR_Cas9_Based_Functional_Characterization_of_SfUGT50A15_Reveals_Its_Roles_in.pdf | Chitosan_Delivered_Chlorantraniliprole_for_Pest_Control__Preparation_Optimizatio.pdf
Chlordane,16,0,16,0,,Alterations_in_macrophage_phagocytosis_and_inflammatory_tone_following_exposure_.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biodegradation_of_crystal_violet_by_the_white_rot_fungus_Phanerochaete_chrysospo.pdf | Biodegradation_of_pentachlorophenol_by_the_white_rot_fungus_Phanerochaete_chryso.pdf | Burning_question__Rethinking_organohalide_degradation_strategy_for_bioremediatio.pdf
Chlorfenapyr,8,0,8,0,,A_Comprehensive_Review_of_the_Current_Knowledge_of_Chlorfenapyr__Synthesis__Mode.pdf | Degradation_strategies_of_pesticide_residue__From_chemicals_to_synthetic_biology.pdf | Determination_of_Market__Field_Samples__and_Dietary_Risk_Assessment_of_Chlorfena.pdf | Preparation_and_performance_of_chlorfenapyr_microcapsules_with_a_degradable_poly.pdf | Residual_Behavior_and_Dietary_Risk_Assessment_of_Chlorfenapyr_and_Its_Metabolite.pdf
Chlormequat,5,0,5,0,,Effects_of_different_concentrations_of_chlormequat_chloride_on_bacterial_communi.pdf | Herbicidal_Ionic_Liquids__A_Promising_Future_for_Old_Herbicides__Review_on_Synth.pdf | Modification_of_the_existing_maximum_residue_level_for_chlormequat_in_oat_.pdf | Quantitative_Modeling_of_the_Degradation_of_Pesticide_Residues_in_Wheat_Flour_Su.pdf | Urinary_biomarker_concentrations_of_captan__chlormequat__chlorpyrifos_and_cyperm.pdf
Chlorothalonil,39,1,38,0,Chlorothalonil_10.1186_s13568-017-0530-y.pdf,A_novel_hydrolytic_dehalogenase_for_the_chlorinated_aromatic_compound_chlorothal.pdf | A_pulsed_dose_study_evaluating_chronic_toxicity_of_chlorothalonil_to_fish__A_cas.pdf | Antibody_free_colorimetric_detection_of_chlorothalonil_in_cucumber__i_via__i__th.pdf | BOK_Is_a_Non_canonical_BCL_2_Family_Effector_of_Apoptosis_Regulated_by_ER_Associ.pdf | Biodegradation_of_agave_Comiteco_bagasse_by__i_Pleurotus__i__spp___a_source_of_c.pdf
Chlorpropham,11,0,11,0,,A_multifunctional_enzyme_portfolio_for_α_chaconine_and_α_solanine_degradation_in.pdf | An_Amidase_Gene___i_ipaH__i___Is_Responsible_for_the_Initial_Step_in_the_Iprodio.pdf | Biodegradation_of_phenmedipham_by_novel__i_Ochrobactrum_anthropi__i__NC_1_.pdf | Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf | Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf
Chlorpyrifos,171,0,171,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | A_biomarker_validation_study_of_prenatal_chlorpyrifos_exposure_within_an_inner_c.pdf | A_modeling_framework_for_estimating_children_s_residential_exposure_and_dose_to_.pdf | Aerobic_dichlorvos_degradation_by__i_Pseudomonas_stutzeri__i__smk__complete_path.pdf
Chlorpyrifos-Methyl,73,1,72,0,Chlorpyrifos-methyl_10.1590_0001-3765201920180694.pdf,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Application_of_Fe_MOFs_in_Photodegradation_and_Removal_of_Air_and_Water_Pollutan.pdf
Clethodim,2,0,2,0,,Chiral_method_validation_and_stereoselective_degradation_of_profoxydim_isomers_i.pdf | Metabolic_profile_and_behavior_of_clethodim_and_spirotetramat_in_herbs_during_pl.pdf
Clofentezine,1,1,0,0,Peer review of the pesticide risk assessment of the active substance clofentezine..pdf,
Clothianidin,31,0,31,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf | Biodegradation_and_Metabolic_Pathway_of_the_Neonicotinoid_Insecticide_Thiamethox.pdf | Clothianidin_resistant_Anopheles_gambiae_adult_mosquitoes_from_Yaoundé__Cameroon.pdf
Cyantraniliprole,10,0,10,0,,Cyantraniliprole_seed_treatment_effectively_controls_wireworms___i_Pleonomus_can.pdf | Development_of_a_nanobody_based_ELISA_for_the_detection_of_the_insecticides_cyan.pdf | Dissipation_of_the_Insecticide_Cyantraniliprole_and_Its_Metabolite_IN_J9Z38_in_P.pdf | Evaluation_of_Cyantraniliprole_and_Other_Commercial_Fly_Baits_under_Laboratory_a.pdf | Exposure_to_Cyantraniliprole_Adversely_Impacts_Fitness_of__i_Harmonia_axyridis__.pdf
Cyazofamid,5,0,5,0,,Dissipation__Residue_and_Human_Dietary_Risk_Assessment_of_Pyraclostrobin_and_Cya.pdf | Peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_cyazofamid_.pdf | Residue_and_risk_assessment_of_fluopicolide_and_cyazofamid_in_grapes_and_soil_us.pdf | The_Dissipation_of_Cyazofamid_and_Its_Main_Metabolite_CCIM_During_Wine_Making_Pr.pdf | Updated_peer_review_of_the_pesticide_risk_assessment_of_the_active_substance_cya.pdf
Cycloxydim,3,0,3,0,,Dynamics_of_the_Degradation_of_Acetyl_CoA_Carboxylase_Herbicides_in_Vegetables_.pdf | Modification_of_the_existing_maximum_residue_level_for_cycloxydim_in_strawberrie.pdf | Modification_of_the_existing_maximum_residue_levels_for_cycloxydim_in_various_cr.pdf
Cyflumetofen,4,0,4,0,,Modification_of_the_existing_maximum_residue_levels_for_cyflumetofen_in_various_.pdf | Molecular_Mechanisms_Underlying_Metabolic_Resistance_to_Cyflumetofen_and_Bifenth.pdf | Residue_and_Dietary_Risk_Assessment_of_Chiral_Cyflumetofen_in_Apple_.pdf | Review_of_the_existing_maximum_residue_levels_for_cyflumetofen_according_to_Arti.pdf
Cyfluthrin,20,0,20,0,,Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf | Degradation_of_Organophosphorus_and_Pyrethroid_Insecticides_in_Beverages__Implic.pdf | Degradation_of_Xenobiotic_Pollutants__An_Environmentally_Sustainable_Approach_.pdf | Degradation_of_insecticides_used_for_indoor_spraying_in_malaria_control_and_poss.pdf | Dynamics_of_the_Dissipation_of_Acetamiprid__Azoxystrobin__and_β_Cyfluthrin_in_Ja.pdf
cyfluthrin.beta.cyfluthrin,48,0,48,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf | Biodegradation_and_metabolic_pathway_of_fenvalerate_by_Citrobacter_freundii_CD_9.pdf | Biodegradation_of_Allethrin_by_a_Novel_Fungus__i_Fusarium_proliferatum__i__Strai.pdf
Cyhalothrin,50,0,50,0,,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf | Adsorption_and_Photocatalytic_Degradation_of_Pesticides_into_Nanocomposites__A_R.pdf | Bacterial_Cytochrome_P450_Involvement_in_the_Biodegradation_of_Fluorinated_Pyret.pdf | Biodegradation_and_metabolic_pathway_of_fenvalerate_by_Citrobacter_freundii_CD_9.pdf | Biodegradation_of_Allethrin_by_a_Novel_Fungus__i_Fusarium_proliferatum__i__Strai.pdf
cyhalothrin. lambda-cyhalothrin,25,0,25,0,,Construction_of_Lambda_Cyhalothrin_Nano_Delivery_System_with_a_High_Loading_Cont.pdf | De_Novo_Transcriptomic_Analyses_Revealed_Some_Detoxification_Genes_and_Related_P.pdf | Enhancing_soil_health__microbial_count__and_hydrophilic_methomyl_and_hydrophobic.pdf | Environmental_Safety_Assessments_of_Lipid_Nanoparticles_Loaded_with_Lambda_Cyhal.pdf | Expression__Characterization__Fermentation__Immobilization__and_Application_of_a.pdf
Cyhexatin,1,1,0,0,Degradation and residues of cyclohexyltin compounds in orchard soil following field application of cyhexatin..pdf,
cypermethrin.alpha-cypermethrin,14,0,14,0,,Biodegradation_of_monocrotophos__cypermethrin___fipronil_by__i_Proteus_myxofacie.pdf | Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf | Effect_of_Insecticides_Imidacloprid_and_Alpha_Cypermethrin_on_the_Development_of.pdf | Evaluate_the_Toxicity_of_Pyrethroid_Insecticide_Cypermethrin_before_and_after_Bi.pdf | Evaluating_the_Compatibility_of_Spinosad_and_Alpha_Cypermethrin_for_Controlling_.pdf
cypermethrin.zeta-cypermethrin,1,0,1,0,,Evaluate_the_Toxicity_of_Pyrethroid_Insecticide_Cypermethrin_before_and_after_Bi.pdf
Cyproconazole,2,0,2,0,,Biodegradation_of_propiconazole_by_newly_isolated_Burkholderia_sp__strain_BBK_9_.pdf | Quantitative_Modeling_of_the_Degradation_of_Pesticide_Residues_in_Wheat_Flour_Su.pdf
Cyprodinil,12,0,12,0,,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf | Conditions_Optimizing_and_Application_of_Laccase_mediator_System__LMS__for_the_L.pdf | Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf | Effect_of_cyprodinil_and_fludioxonil_pesticides_on_bovine_liver_catalase_activit.pdf | Effect_of_plasma_activated_water_and_buffer_solution_combined_with_ultrasound_on.pdf
Cyromazine,8,0,8,0,,Assembly_Driven_Oxidative_Degradation_of_Melarsomine_Triggered_by_Cyanuric_Acid_.pdf | Bacterial_degradation_of_N_cyclopropylmelamine__The_steps_to_ring_cleavage_.pdf | Biodegradation_of_cyromazine_by_melamine_degrading_bacteria_.pdf | Role_of_Insect_Gut_Microbiota_in_Pesticide_Degradation__A_Review_.pdf | Sample_Preparation_of_Eggs_From_Laying_Hens_Using_QuEChERS_Dispersive_Extraction.pdf
DDT(Dichlorodiphenyltrichloroethane),1,1,0,0,DDT_10.4014_jmb.1701.01073.pdf,
Deltamethrin,72,0,72,0,,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_novel_miRNA__miR_13664__targets_CpCYP314A1_to_regulate_deltamethrin_resistance.pdf | Absence_of_close_range_excitorepellent_effects_in_malaria_mosquitoes_exposed_to_.pdf | Acute_Toxicity__Bioaccumulation_and_Elimination_Rate_of_Deltamethrin_and_Cyperme.pdf | Acute_Toxicity__Neurotoxic__Immunotoxic__and_Behavioral_Effects_of_Deltamethrin_.pdf
Dicamba,31,0,31,0,,2_4_D_and_dicamba_resistance_mechanisms_in_wild_radish__subtle__complex_and_popu.pdf | A_Tetrahydrofolate_Dependent_Methyltransferase_Catalyzing_the_Demethylation_of_D.pdf | A_Three_Component_Enzyme_System_Catalyzes_the_O_Demethylation_of_the_Herbicide_D.pdf | Bacterial_Dispersal_Promotes_Biodegradation_in_Heterogeneous_Systems_Exposed_to_.pdf | Biodegradation_effects_of_o_cresol_by__i_Pseudomonas_monteilii__i__SHY_on_mustar.pdf
Dichlobenil,8,0,8,0,,Biodegradation_of_nitriles_in_shale_oil_.pdf | Degradation_and_mineralization_of_nanomolar_concentrations_of_the_herbicide_dich.pdf | Degradation_of_Acetonitrile_by_Pseudomonas_putida_.pdf | Fungal_degradation_of_aromatic_nitriles__Enzymology_of_C_N_cleavage_by_Fusarium_.pdf | Mass_Transfer_Limited_Biodegradation_at_Low_Concentrations_Evidence_from_Reactiv.pdf
Dichlorvos,49,1,48,0,Dichlorvos_10.1186_s12864-018-4960-y.pdf,A_Comprehensive_Review_of_Multifunctional_Nanozymes_for_Degradation_and_Detectio.pdf | A_Novel_Organophosphorus_Acid_Anhydrolase_from_Deep_Sea_Sediment_with_High_Degra.pdf | A_Review_of_Microalgae__and_Cyanobacteria_Based_Biodegradation_of_Organic_Pollut.pdf | A_VILLAGE_SCALE_TRIAL_WITH_DICHLORVOS_AS_A_RESIDUAL_FUMIGANT_INSECTICIDE_IN_SOUT.pdf | A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf
Dicofol,13,0,13,0,,A_refined_method_for_analysis_of_4_4__dicofol_and_4_4__dichlorobenzophenone_.pdf | Biodegradation_of_DDT__1_1_1_trichloro_2_2_bis_4_chlorophenyl_ethane__by_the_whi.pdf | Burning_question__Rethinking_organohalide_degradation_strategy_for_bioremediatio.pdf | Degradation_of_endrin__aldrin__and_DDT_by_soil_microorganisms_.pdf | Differential_Bioaccumulation_Patterns_of_α__β_Hexachlorobenzene_and_Dicofol_in_A.pdf
Dieldrin,45,0,45,0,,A_review_on_WO_sub_3__sub__photocatalysis_used_for_wastewater_treatment_and_pest.pdf | Aldrin_and_dieldrin__a_review_of_research_on_their_production__environmental_dep.pdf | An_invertebrate_model_of_the_developmental_neurotoxicity_of_insecticides__effect.pdf | Bacterial_degradation_of_aromatic_compounds_.pdf | Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf
Difenoconazole,25,0,25,0,,A_Cheminformatics_Study_Regarding_the_Human_Health_Risks_Assessment_of_the_Stere.pdf | Antifungal_Activity_of_Difenoconazole_Loaded_Microcapsules_against__i_Curvularia.pdf | Bioaccessibility_of_Difenoconazole_in_Rice_Following_Industry_Standard_Processin.pdf | Biodegradation_of_phenol_contaminated_soil_and_plant_growth_promotion_by__i_Myro.pdf | Cellulose_Based_Hectocycle_Nanopolymers__Synthesis__Molecular_Docking_and_Adsorp.pdf
Diflubenzuron,16,0,16,0,,Activity_of_meadowfoam__Limnanthes_alba__seed_meal_glucolimnanthin_degradation_p.pdf | Aerobic_Degradation_of_Clothianidin_to_2_Chloro_methyl_Thiazole_and_Methyl_3__Th.pdf | Anaerobic_biodegradation_of_2_4_dichlorophenol_in_freshwater_lake_sediments_at_d.pdf | Anaerobic_biodegradation_of_chlorophenols_in_fresh_and_acclimated_sludge_.pdf | Characterization_of_a_chitin_synthase_encoding_gene_and_effect_of_diflubenzuron_.pdf
