pesticide_folder,file_name,readability_status
Abamectin,Evaluation of degradation kinetics for abamectin in formulations using a stability indicating method..pdf,pdf_header
Abamectin,Intensification of abamectin pesticide degradation using the combination of ultrasonic cavitation and visible-light driven photocatalytic process Synergistic effect and optimization study..pdf,pdf_header
Abamectin,Lethal and sublethal effects of pesticides on Chrysoperla carnea larvae (Neuroptera Chrysopidae) and the influence of rainfastness in their degradation pattern over time..pdf,pdf_header
Abamectin,Microbial degradation of abamectin in reservoir water.pdf,pdf_header
Abamectin,Photodegradation of the acaricide abamectin a kinetic study..pdf,pdf_header
Abamectin,Release and Degradation of Microencapsulated Spinosad and Emamectin Benzoate..pdf,pdf_header
Abamectin,Role of Insect Gut Microbiota in Pesticide Degradation A Review..pdf,pdf_header
Abamectin,Soil fumigation alters adsorption and degradation behavior of pesticides in soil..pdf,pdf_header
Abamectin,Study of the degradation in aqueous solution of a refractory organic compound avermectin type used as pesticide in agriculture..pdf,pdf_header
Abamectin,Time profile of abamectin and doramectin excretion and degradation in sheep faeces..pdf,pdf_header
Acephate,A Comprehensive Review of Multifunctional Nanozymes for Degradation and Detection of Organophosphorus Pesticides in the Environment..pdf,pdf_header
Acephate,Aerobic dichlorvos degradation by iPseudomonas stutzerii smk complete pathway and implications for toxicity in iMus musculusi..pdf,pdf_header
Acephate,Aflatoxin Bâ‚ degradation by a Pseudomonas strain..pdf,pdf_header
Acephate,Are the issues involving acephate already resolved A scientometric review..pdf,pdf_header
Acephate,Biodegradation of Uric Acid by Bacillus paramycoidesi-YC02..pdf,pdf_header
Acephate,Biodegradation of acephate and methamidophos by a soil bacterium Pseudomonas aeruginosa strain Is-6..pdf,pdf_header
Acephate,Biodegradation of acephate by Bacillus paramycoides NDZ and its degradation pathway..pdf,pdf_header
Acephate,Biodegradation of pesticide in agricultural soil employing entomopathogenic fungi Current state of the art and future perspectives..pdf,pdf_header
Acephate,Contribution of insect gut microbiota and their associated enzymes in insect physiology and biodegradation of pesticides..pdf,pdf_header
Acephate,Cytotoxic and Genotoxic Effects of Acephate on Human Sperm..pdf,pdf_header
Acephate,Degradation and mineralization kinetics of acephate in humid tropic soils of Malaysia..pdf,pdf_header
Acephate,Degradation of Acephate and Its Intermediate Methamidophos Mechanisms and Biochemical Pathways.pdf,pdf_header
Acephate,"Degradation of acephate by Enterobacter asburiae, Bacillus cereus and Pantoea agglomerans isolated from diamondback moth Plutella xylostella (L), a pest of cruciferous crops..pdf",pdf_header
Acephate,"Dissipation kinetics, residue determination and consumer risk assessment of acephate on green pea by gas chromatography-electron capture detector..pdf",pdf_header
Acephate,Effect of plasma-activated water and buffer solution combined with ultrasound on fungicide degradation and quality of cherry tomato during storage..pdf,pdf_header
Acephate,"Efficient biodegradation of acephate by iPseudomonas pseudoalcaligenesi PS-5 in the presence and absence of heavy metal ions [Cu(II) and Fe(III)], and humic acid..pdf",pdf_header
Acephate,Enhanced photocatalytic degradation of acephate pesticide over MCM-41Cosub3subOsub4sub nanocomposite synthesized from rice husk silica gel and Peach leaves..pdf,pdf_header
Acephate,Environmental behavior of the chiral organophosphorus insecticide acephate and its chiral metabolite methamidophos enantioselective transformation and degradation in soils..pdf,pdf_header
Acephate,Gas-phase mechanisms of degradation of hazardous organophosphorus compounds do they follow a common pattern of alkaline hydrolysis reaction as in phosphotriesterase.pdf,pdf_header
Acephate,Gut microbial degradation of organophosphate insecticides-induces glucose intolerance via gluconeogenesis..pdf,pdf_header
Acephate,"Hydrolysis and Photolysis Kinetics, and Identification of Degradation Products of the Novel Bactericide 2-(4-Fluorobenzyl)-5-(Methylsulfonyl)-1,3,4-Oxadiazole in Water..pdf",pdf_header
Acephate,Insight Into Microbial Applications for the Biodegradation of Pyrethroid Insecticides..pdf,pdf_header
Acephate,Kinetic Study of the Biodegradation of Acephate by Indigenous Soil Bacterial Isolates in the Presence of Humic Acid and Metal Ions..pdf,pdf_header
Acephate,Mechanisms of oxidative response during biodegradation of malathion by S. oneidensis MR-1..pdf,pdf_header
Acephate,Microbial Degradation of Pesticide Residues and an Emphasis on the Degradation of Cypermethrin and 3-phenoxy Benzoic Acid A Review..pdf,pdf_header
Acephate,MoS2 and MoS2 Nanocomposites for Adsorption and Photodegradation of Water Pollutants A Review.pdf,pdf_header
Acephate,Novel pathway of acephate degradation by the microbial consortium ZQ01 and its potential for environmental bioremediation..pdf,pdf_header
Acephate,One-pot hydrothermal synthesis of a carbon quantum dotCaFesub2subOsub4sub hybrid nanocomposite for carcinogenic Congo red dye degradation..pdf,pdf_header
Acephate,Photocatalytic decomposition of acephate in irradiated TiO2 suspensions..pdf,pdf_header
Acephate,"Photocatalytic degradation of Acephate, Omethoate, and Methyl parathion by Fe3O4@SiO2@mTiO2 nanomicrospheres..pdf",pdf_header
Acephate,"Photocatalytic degradation of acephate in pak choi, Brassica chinensis, with Ce-doped TiO2..pdf",pdf_header
Acephate,Photocatalytic degradation of dimethoate in Bok choy using cerium-doped nano titanium dioxide..pdf,pdf_header
Acephate,Photocatalytic degradation of organophosphate and phosphonoglycine pesticides using TiO2 immobilized on silica gel..pdf,pdf_header
Acephate,Potential of the insecticides acephate and methamidophos to contaminate groundwater..pdf,pdf_header
Acephate,Rapid Degradation of Rhodamine B through Visible-Photocatalytic Advanced Oxidation Using Self-Degradable Natural Perylene Quinone Derivatives-Hypocrellins..pdf,pdf_header
Acephate,Residue analysis of acephate and its metabolite methamidophos in open field and greenhouse pakchoi (Brassica campestris L.) by gas chromatography-tandem mass spectrometry..pdf,pdf_header
Acephate,Role of Insect Gut Microbiota in Pesticide Degradation A Review..pdf,pdf_header
Acephate,Screening for Lactobacillus plantarum Strains That Possess Organophosphorus Pesticide-Degrading Activity and Metabolomic Analysis of Phorate Degradation.pdf,pdf_header
Acephate,Screening organophosphorus nerve agent degradation products in pesticide mixtures by GC-ICPMS..pdf,pdf_header
Acephate,Sonochemical degradation of pesticides in aqueous solution investigation on the influence of operating parameters and degradation pathway - a systematic review..pdf,pdf_header
Acephate,The fate of acephate and carbaryl in water..pdf,pdf_header
Acephate,The mechanisms and process of acephate degradation by hydroxyl radical and hydrated electron..pdf,pdf_header
Acetamiprid,Acetamiprid_10.1371_journal.pone.0082603.pdf,pdf_header
Acetamiprid,Acetamiprid_10.3389_fmicb.2020.01429.pdf,pdf_header
Acetochlor,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf,html_placeholder
Acetochlor,Biodegradation_of_di_n_Butyl_Phthalate_by_Achromobacter_sp__Isolated_from_Rural_.pdf,html_placeholder
Acetochlor,Characterization_of_a_Sequential_UV_Photolysis_Biodegradation_Process_for_Treatm.pdf,html_placeholder
Acetochlor,Characterization_of_a_novel_amidohydrolase_with_promiscuous_esterase_activity_fr.pdf,html_placeholder
Acetochlor,Constructing_Direct_Z_Scheme_Y2TmSbO7_GdYBiNbO7_Heterojunction_Photocatalyst_wit.pdf,html_placeholder
Acetochlor,Contribution_of_insect_gut_microbiota_and_their_associated_enzymes_in_insect_phy.pdf,html_placeholder
Acetochlor,Degradation_of_Three_Herbicides_and_Effect_on_Bacterial_Communities_under_Combin.pdf,html_placeholder
Acetochlor,Degradation_of_a_New_Herbicide_Florpyrauxifen_Benzyl_in_Water__Kinetics__Various.pdf,html_placeholder
Acetochlor,Degradation_of_acetochlor_and_beneficial_effect_of_phosphate_solubilizing__i_Bac.pdf,html_placeholder
Acetochlor,Degradation_of_atrazine_and_bromacil_in_two_forestry_waste_products_.pdf,html_placeholder
Acetochlor,Effect_of_Biochar_on_the_Degradation_Dynamics_of_Chlorantraniliprole_and_Acetoch.pdf,html_placeholder
Acetochlor,Impact_of_Natural_Organic_Matter_Competition_on_the_Adsorptive_Removal_of_Acetoc.pdf,html_placeholder
Acetochlor,Insights_into_the_Toxicity_and_Degradation_Mechanisms_of_Imidacloprid_Via_Physic.pdf,html_placeholder
Acetochlor,Metabolic_pathway_involved_in_2_methyl_6_ethylaniline_degradation_by_Sphingobium.pdf,html_placeholder
Acetochlor,Microbial_degradation_of_contaminants_of_emerging_concern__metabolic__genetic_an.pdf,html_placeholder
Acetochlor,Mixture_Toxicity_of_Bensulfuron_Methyl_and_Acetochlor_to_Red_Swamp_Crayfish__Pro.pdf,html_placeholder
Acetochlor,New_Insight_into_the_Chloroacetanilide_Herbicide_Degradation_Mechanism_through_a.pdf,html_placeholder
Acetochlor,Optimization_of_fed_batch_fermentation_and_direct_spray_drying_in_the_preparatio.pdf,html_placeholder
Acetochlor,Photodegradation_of_pesticides_using_compound_specific_isotope_analysis__CSIA___.pdf,html_placeholder
Acetochlor,Research_Progress_on_the_Degradation_of_Organic_Pollutants_in_Water_by_Activated.pdf,html_placeholder
Acetochlor,Synergetic_Effect_of_Ultrasound__the_Heterogeneous_Fenton_Reaction_and_Photocata.pdf,html_placeholder
Acetochlor,The_Degradation_Characteristics_and_Soil_Remediation_Capabilities_of_the_Butachl.pdf,html_placeholder
Acetochlor,The_migration_of_acetochlor_from_feed_to_milk_.pdf,html_placeholder
Acetochlor,UV_and_temperature_effects_on_chloroacetanilide_and_triazine_herbicides_degradat.pdf,html_placeholder
Acibenzolar-S-methyl,Attenuation and soil biodegradation of fungicides by using vegetated buffer strips in vineyards during a simulated rainfall-runoff event..pdf,pdf_header
Acibenzolar-S-methyl,Biodegradation of soil-applied pesticides by selected strains of plant growth-promoting rhizobacteria (PGPR) and their effects on bacterial growth..pdf,pdf_header
Acibenzolar-S-methyl,Influence of Bacillus subtilis and Trichoderma harzianum on Penthiopyrad Degradation under Laboratory and Field Studies.pdf,pdf_header
Acibenzolar-S-methyl,Modification of the existing maximum residue level for acibenzolar-S-methyl in hazelnuts..pdf,pdf_header
Acibenzolar-S-methyl,Modification of the existing maximum residue levels for acibenzolar-S-methyl in aubergines and cucurbits with edible and inedible peel..pdf,pdf_header
Acibenzolar-S-methyl,Modification of the existing maximum residue levels for acibenzolar-S-methyl in beans with pods and peas with pods..pdf,pdf_header
Acibenzolar-S-methyl,Modification of the existing maximum residue levels for acibenzolar-S-methyl in grapes..pdf,pdf_header
Acibenzolar-S-methyl,Postharvest acibenzolar-S-methyl treatment maintains storage quality and retards softening of apple fruit..pdf,pdf_header
Afidopyropen,"Characterization of Field-Evolved Resistance to Afidopyropen, a Novel Insecticidal Toxin Developed from Microbial Secondary Metabolites, in iBemisia tabacii..pdf",pdf_header
Aldicarb,A_Critical_Review_on_Metal_Organic_Frameworks_and_Their_Composites_as_Advanced_M.pdf,html_placeholder
Aldicarb,Accelerated_degradation_of_aldicarb_and_its_metabolites_in_cotton_field_soils_.pdf,html_placeholder
Aldicarb,Aldicarb_related_suicide_attempt_cases_in_North_of_France__2012_2021__.pdf,html_placeholder
Aldicarb,Application_of_physiologically_based_modelling_and_transcriptomics_to_probe_the_.pdf,html_placeholder
Aldicarb,BK_channel_density_is_regulated_by_endoplasmic_reticulum_associated_degradation_.pdf,html_placeholder
Aldicarb,Biodegradation_and_bioremediation_of_pesticide_in_soil__concept__method_and_rece.pdf,html_placeholder
Aldicarb,Carbamate_C_N_Hydrolase_Gene__i_ameH__i__Responsible_for_the_Detoxification_Step.pdf,html_placeholder
Aldicarb,Comparison_of_Variable_and_Single_Rate_Applications_of_Aldicarb_on_Cotton_Yield_.pdf,html_placeholder
Aldicarb,Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf,html_placeholder
Aldicarb,Current_Approaches_to_and_Future_Perspectives_on_Methomyl_Degradation_in_Contami.pdf,html_placeholder
Aldicarb,Degradation_of_a_New_Herbicide_Florpyrauxifen_Benzyl_in_Water__Kinetics__Various.pdf,html_placeholder
Aldicarb,Dichlorvos__chlorpyrifos_oxon_and_Aldicarb_adducts_of_butyrylcholinesterase__det.pdf,html_placeholder
Aldicarb,Efficacy_of_Aldicarb_to_Rotylenchulus_reniformis_and_Biodegradation_in_Cotton_Fi.pdf,html_placeholder
Aldicarb,Factors_affecting_degradation_of_aldicarb_and_ethoprop_.pdf,html_placeholder
Aldicarb,Growth_and_yield_responses_of_soybean_to_aldicarb_.pdf,html_placeholder
Aldicarb,Hapten_designs_based_on_aldicarb_for_the_development_of_a_colloidal_gold_immunoc.pdf,html_placeholder
Aldicarb,Immobilized_cells_of_a_novel_bacterium_increased_the_degradation_of__i_N___i_met.pdf,html_placeholder
Aldicarb,Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf,html_placeholder
Aldicarb,Microbial_aldicarb_transformation_in_aquifer__lake__and_salt_marsh_sediments_.pdf,html_placeholder
Aldicarb,Microbiology_and_Biochemistry_of_Pesticides_Biodegradation_.pdf,html_placeholder
Aldicarb,One_Step_Synthesized_ZnO_np_Based_Optical_Sensors_for_Detection_of_Aldicarb_via_.pdf,html_placeholder
Aldicarb,Stimulation_of_methanogenesis_by_aldicarb_and_several_other_N_methyl_carbamate_p.pdf,html_placeholder
Aldicarb,Synergistic_interaction_of_a_consortium_of_the_brown_rot_fungus__i_Fomitopsis_pi.pdf,html_placeholder
Aldicarb,The_effect_of_bacteria_addition_on_DDT_biodegradation_by_BROWN_ROT_fungus__i_Glo.pdf,html_placeholder
Aldicarb,The_novel_nematicide_wact_86_interacts_with_aldicarb_to_kill_nematodes_.pdf,html_placeholder
Aldrin,A_Multi_Level_Systems_Biology_Analysis_of_Aldrin_s_Metabolic_Effects_on_Prostate.pdf,html_placeholder
Aldrin,Biochar_in_co_contaminated_soil_manipulates_arsenic_solubility_and_microbiologic.pdf,html_placeholder
Aldrin,Biodegradability_and_biodegradation_pathways_of_chlorinated_cyclodiene_insectici.pdf,html_placeholder
Aldrin,Biodegradation_of_atrazine_and_ligninolytic_enzyme_production_by_basidiomycete_s.pdf,html_placeholder
Aldrin,Biodegradation_of_pesticide_in_agricultural_soil_employing_entomopathogenic_fung.pdf,html_placeholder
Aldrin,Biodegradation_of_α_endosulfan_via_hydrolysis_pathway_by_Stenotrophomonas_maltop.pdf,html_placeholder
Aldrin,Bioleaching_of_iron_from_laterite_soil_using_an_isolated_Acidithiobacillus_ferro.pdf,html_placeholder
Aldrin,Characterizations_of_novel_pesticide_degrading_bacterial_strains_from_industrial.pdf,html_placeholder
Aldrin,Conjugation_of_the_ubiquitin_activating_enzyme_UBE1_with_the_ubiquitin_like_modi.pdf,html_placeholder
Aldrin,Conserved_Metabolic_and_Evolutionary_Themes_in_Microbial_Degradation_of_Carbamat.pdf,html_placeholder
Aldrin,Development_of_a_UPLC_MS_MS_method_for_pesticide_analysis_in_paddy_water_and_eva.pdf,html_placeholder
Aldrin,Fenton_Mediated_Biodegradation_of_Chlorendic_Acid___A_Highly_Chlorinated_Organic.pdf,html_placeholder
Aldrin,Gender_specific_changes_in_energy_metabolism_and_protein_degradation_as_major_pa.pdf,html_placeholder
Aldrin,Hydrolysis_and_Photolysis_Kinetics__and_Identification_of_Degradation_Products_o.pdf,html_placeholder
Aldrin,Identification_and_degradation_characteristics_of_Bacillus_cereus_strain_WD_2_is.pdf,html_placeholder
Aldrin,Influence_of__i_Bacillus_subtilis__i__and__i_Trichoderma_harzianum__i__on_Penthi.pdf,html_placeholder
Aldrin,Influence_of_a_Commercial_Biological_Fungicide_containing__i_Trichoderma_harzian.pdf,html_placeholder
Aldrin,Microbial_Degradation_of_Aldrin_and_Dieldrin__Mechanisms_and_Biochemical_Pathway.pdf,html_placeholder
Aldrin,Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf,html_placeholder
Aldrin,Microbial_Degradation_of_a_Recalcitrant_Pesticide__Chlordecone_.pdf,html_placeholder
Aldrin,Soil_bacteria_showing_a_potential_of_chlorpyrifos_degradation_and_plant_growth_e.pdf,html_placeholder
Aldrin,Spaceflight_affects_neuronal_morphology_and_alters_transcellular_degradation_of_.pdf,html_placeholder
Aldrin,Study_on_the_biodegradation_of_persistent_organic_pollutants__POPs__.pdf,html_placeholder
Aldrin,Trip12__a_HECT_domain_E3_ubiquitin_ligase__targets_Sox6_for_proteasomal_degradat.pdf,html_placeholder
Ametoctradin,Accelerated Biodegradation of the Agrochemical Ametoctradin by Soil-Derived Microbial Consortia..pdf,pdf_header
Ametoctradin,Modification of the existing maximum residue level for ametoctradin in honey..pdf,pdf_header
Ametoctradin,Modification of the existing maximum residue levels for ametoctradin in herbs and edible flowers..pdf,pdf_header
Aminopyralid,Aminopyralid Soil Residues Affect Crop Rotation in North Dakota Soils.pdf,pdf_header
Aminopyralid,Field degradation of aminopyralid and clopyralid and microbial community response to application in Alaskan soils..pdf,pdf_header
Aminopyralid,Modification of the existing maximum residue level for aminopyralid in maize..pdf,pdf_header
Aminopyralid,Modification of the existing maximum residue levels for aminopyralid in certain cereals..pdf,pdf_header
Aminopyralid,Review of the existing maximum residue levels for aminopyralid according to Article 12 of Regulation (EC) No 3962005..pdf,pdf_header
Aminopyralid,Sulfate radical-based oxidation of the aminopyralid and picloram herbicides The role of amino group on pyridine ring..pdf,pdf_header
Amitraz,Amitraz_Marker_Residues_in_Honey_from_Honeybee_Colonies_Treated_with_Apiwarol_.pdf,html_placeholder
Amitraz,Amitraz_and_Its_Metabolites__Oxidative_Stress_Mediated_Cytotoxicity_in_HepG2_Cel.pdf,html_placeholder
Amitraz,Bacterial_degradation_of_monocyclic_aromatic_amines_.pdf,html_placeholder
Amitraz,Differentially_expressed_genes_in_response_to_amitraz_treatment_suggests_a_propo.pdf,html_placeholder
Amitraz,Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf,html_placeholder
Amitraz,The_University_of_Minnesota_Biocatalysis_Biodegradation_Database__improving_publ.pdf,html_placeholder
Amitraz,Transcriptomic_analysis_to_elucidate_the_response_of_honeybees__Hymenoptera__Api.pdf,html_placeholder
Amitrole,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf,html_placeholder
Amitrole,Effects_of_Ca_sup_2___sup__and_fulvic_acids_on_atrazine_degradation_by_nano_TiO_.pdf,html_placeholder
Amitrole,The_effects_of_pesticide_mixtures_on_degradation_of_pendimethalin_in_soils_.pdf,html_placeholder
Azinphos-Methyl,Microbial_Degradation_of_Pesticide_Residues_and_an_Emphasis_on_the_Degradation_o.pdf,html_placeholder
Azinphos-Methyl,Organophosphorus_pesticide_degradation_product_in_vitro_metabolic_stability_and_.pdf,html_placeholder
Azinphos-Methyl,Photodegradation_of_pesticides_using_compound_specific_isotope_analysis__CSIA___.pdf,html_placeholder
Azinphos-Methyl,Screening_for__i_Lactobacillus_plantarum__i__Strains_That_Possess_Organophosphor.pdf,html_placeholder
Azinphos-Methyl,Sonochemical_degradation_of_pesticides_in_aqueous_solution__investigation_on_the.pdf,html_placeholder
Azoxystrobin,1_Tetradecanol__Diethyl_Phthalate_and_Tween_80_Assist_in_the_Formation_of_Thermo.pdf,html_placeholder
Azoxystrobin,A_Leaf_Disc_Assay_for_Evaluating_the_Response_of_Tea___i_Camellia_sinensis__i___.pdf,html_placeholder
Azoxystrobin,Acute_exposure_to_a_commercial_formulation_of_Azoxystrobin_alters_antioxidant_en.pdf,html_placeholder
Azoxystrobin,An_Overview_of_Strobilurin_Fungicide_Degradation_Current_Status_and_Future_Persp.pdf,html_placeholder
Azoxystrobin,Antagonistic_Effect_of_Azoxystrobin_Poly__Lactic_Acid__Microspheres_with_Control.pdf,html_placeholder
Azoxystrobin,Bioaugmentation_of_Soil_Contaminated_with_Azoxystrobin_.pdf,html_placeholder
Azoxystrobin,Bitter_gourd_has_the_highest_azoxystrobinon_residue_after_open_field_application.pdf,html_placeholder
Azoxystrobin,Changed_degradation_behavior_of_pesticides_when_present_in_mixtures_.pdf,html_placeholder
Azoxystrobin,Degradation_of_Pesticide_Residues_in_Water__Soil__and_Food_Products_via_Cold_Pla.pdf,html_placeholder
Azoxystrobin,Detoxification_Esterase_StrH_Initiates_Strobilurin_Fungicide_Degradation_in__i_H.pdf,html_placeholder
Azoxystrobin,Dissipation_and_Residue_of_Metalaxyl_M_and_Azoxystrobin_in_Scallions_and_Cumulat.pdf,html_placeholder
Azoxystrobin,Dissipation_kinetics_and_biological_degradation_by_yeast_and_dietary_risk_assess.pdf,html_placeholder
Azoxystrobin,Dynamics_of_the_Dissipation_of_Acetamiprid__Azoxystrobin__and_β_Cyfluthrin_in_Ja.pdf,html_placeholder
Azoxystrobin,Effect_of_azoxystrobin_fungicide_on_the_physiological_and_biochemical_indices_an.pdf,html_placeholder
Azoxystrobin,Effect_of_pesticide_inoculation__duration_of_composting__and_degradation_time_on.pdf,html_placeholder
